State (User order)	H3K9me3_WT	H3K9me3_Zfrp8	H3K27me3_WT	H3K27me3_Zfrp8
1	0.9767127384375599	0.959722030118811	0.9582647131520197	0.9432475162446422
2	0.9687583029645844	0.9858687255544828	0.21064432038156025	0.04815775532896811
3	0.7472856863381582	0.08323557862886334	0.008757878617686171	0.027436535403994163
4	0.3263496161598422	0.8833500559839799	0.9887364175485912	0.9977108344034502
5	0.17019320016747747	0.07859594566355677	0.8996683721691108	0.917235282878876
6	0.2531261271245043	0.012609026130355368	0.8330605177951933	0.11523257967632362
7	0.030098896344011302	0.9927508228328377	0.002474606928397616	0.977821867288522
8	0.0795610784996362	0.8158420496195923	0.006071914864803438	0.1722692698029642
9	0.0062241589930838335	0.017594818363451566	0.08891978133505878	0.33969988763658127
10	0.0020322287318987006	0.0010430233327088645	5.70316261547399E-4	0.0034943219709132486
