State (User order)	WT_H3k9me3	Nup44A_H3k9me3	WT_H3k27me3	Nup44A_H3k27me3
1	0.9650314542868003	0.9828091431276719	0.9964724587219048	0.9957274350937038
2	0.9823963922911993	0.9803731467748996	0.036449029944959035	0.008259363405534787
3	0.7428627168361284	0.06714836613886285	0.005353712141015205	0.05384944847358826
4	0.13864617843441687	0.8300323703864163	0.9546012968314189	1.0
5	0.9519739276505602	0.9769626593278764	0.6179794865778082	0.5973452841530567
6	0.23921236409759544	0.03402659549228133	0.884692763650283	0.5730054427446621
7	0.015084125223516131	0.14011576094317169	0.16084467612798364	0.9471466283884481
8	0.08136115436007947	0.3246557134825818	0.0045685020365469585	0.029684595096796596
9	8.953611019166243E-4	0.004323643340714135	0.006766613526421379	0.33974119715876355
10	0.0013952196446011308	0.0010142267612478649	5.499197088664063E-4	0.003112290883167117
