#Diffusion Coefficient in um^2/s; Linear fit performed on the 4 first points of trajectories > 6 points
#Pixel size= .17um ; Frame rate= .03sec
ROI	Trace	D(um2/s)	MSD(0)	MSE
 1	 24	 .0167729737930239	 .0111108315653145	 .786848080510958
 5	 34	 .020686244449213	 .00775215430153706	 .700982985497366
 3	 44	 .0130125016359228	 .12338030313145	 .00397436077869995
 1	 143	 1E-05	 .013724547849978	 .216165103103181
 2	 170	 .00206341288361313	 .00939886515602694	 .0490341316125876
 3	 172	 .00711973249565092	 .0126326328333471	 .510498087214024
 5	 203	 1E-05	 .0657409280681144	 .0440329502744503
 3	 234	 1.6362002610956	 .00792876316591461	 .991128804836993
 4	 381	 .0202401458170894	 .00560181177654678	 .988944853716394
 1	 383	 1E-05	 .0112712751987096	 .145972291747757
 5	 452	 .00632669084587541	 .0112833661279293	 .805949352503473
 3	 463	 1.27467619720173	-.0514321174831959	 .938197954865041
 1	 532	 1E-05	 .00888958331323374	 .117372668269942
 2	 609	 1E-05	 .0195431517598532	 .872520266857034
 1	 710	 .0051264090474715	 .00620356946300043	 .431006506737363
 2	 755	 .172334955706901	 .0254808770176665	 .904884163310901
 2	 888	 1E-05	 .0279863068061072	 .360707091138088
 5	 891	 1E-05	 .0149321725717682	 .0664623131291598
 1	 1025	 .00227856183007472	 .00569340081096351	 .216537287060043
 1	 1036	 1E-05	 .0210708449706652	 .212998389740853
 2	 1108	 .00615523836200674	 .013212441614482	 .39569591957186
 5	 1164	 1E-05	 .027507397497368	 .282217393303441
 1	 1231	 1E-05	 .00742140200543283	 .531445803462401
 1	 1310	 1E-05	 .00507036026401355	 .421586460890616
 1	 1328	 .0208758329303186	 .00380787307138734	 .927209853284618
 5	 1329	 .00372265088863354	 .0162255223345308	 .0307408703925584
 5	 1361	 .0113048471272422	 .00659690678649318	 .0926906692278732
 5	 1598	 1E-05	 .0173983079606105	 .0303110002593906
 5	 1670	 1E-05	 .0147070762698692	 .186438846108573
 1	 1758	 .0112920241128251	 .0257154658404993	 .224018826957568
 3	 1762	 .00920030372820227	 .00770182990863141	 .84144046601544
 1	 1763	 .00726228665624829	 .0156546620988432	 .667612854129604
 1	 1874	 .00895069118701555	 .00792958557127028	 .559051386527973
 3	 1962	 .737357872625576	 .024338776757608	 .965303280257082
 5	 2220	 1E-05	 .0150667836567164	 .869658611046061
 3	 2461	 1E-05	 .113831385895196	 .513152995071283
 1	 2797	 .00156442535969292	 .0133557923190449	 .00789305768168724
 1	 3036	 1E-05	 .0159151218085216	 .859110070231342
 5	 3072	 1E-05	 .0202719796956792	 .200582807803272
 2	 3174	 1E-05	 .0166637441377713	 .0744812695087391
 5	 3274	 .0108829546819268	 .0147628498105635	 .7018925446412
 5	 3276	 1E-05	 .0307129828653594	 .00635393664229478
 2	 3281	 .0199878586040246	 .0107170801238684	 .439345310884631
 2	 3416	 1E-05	 .0163110682170244	 .00103071058004289
 5	 3540	 .00959838750936502	 .00893159145582217	 .731404168750938
 1	 3644	 1.3831737410603	 .0719730578527398	 .857899013138591
 2	 3652	 .0224887319945557	 .00604802140623999	 .699344975181908
 5	 3742	 1E-05	 .00507660570788111	 .0915597060604683
 1	 3780	 1E-05	 .00666827914117715	 .6246166318307
 1	 3812	 .0154118157609954	 .0594236952210595	 .0288116189003381
 1	 4110	 .811827113292724	 .133324579408922	 .781882193703266
 2	 4151	 .0477680330919712	 .0104761965516834	 .639286107295926
 3	 4165	 .000990843077547526	 .0013286825785016	 .0373973590719807
 1	 4234	 .301357721062644	 .0521451539506848	 .42582245637635
 1	 4386	 .00144153825852584	 .00933715906659585	 .0053469550822498
 1	 4403	 1E-05	 .331433867439919	 .318612055765194
 1	 4513	 1E-05	 .223813273981139	 .0315537417381921
 1	 4662	 1E-05	 .00499580998267894	 .130751970873144
 2	 4720	 1E-05	 .0851015030547141	 .12988575849242
 2	 4737	 .0332958654982344	 .017317916731398	 .679792556291895
 1	 4796	 1E-05	 .0221940652904151	 .274321115842486
 3	 4834	 1E-05	 .0197242342718848	 .823204058057224
 4	 4948	 .0220541309618046	 .00846165324074546	 .457483676462658
 1	 4996	 1E-05	 .020276679618992	 .267233329707982
 5	 5127	 .0417683637463268	 .0200755213746001	 .558623068004138
 2	 5155	 .046269974448442	 .013248506017194	 .819186897357866
 3	 5286	 1E-05	 .00407309808141211	 .283518466344912
 2	 5313	 .00254068391430358	 .0183702126393259	 .00988942127053072
 4	 5473	 1E-05	 .026403392441509	 .0482036369082935
 2	 5530	 .00530239394690265	 .0175240797928139	 .293702279546337
 3	 5545	 1E-05	 .00650306119808727	 1.8433316961719E-07
 1	 5616	 1E-05	 .0636730843992497	 .202508250511515
 2	 5727	 .00891102085457685	 .0300026743036032	 .0280795685076902
 5	 5773	 1E-05	 .0385192366064891	 .00202060499937362
 1	 5788	 .264864318617281	 .0152950056268887	 .971883495321809
 2	 5944	 .00913085823889227	 .0169875365660755	 .0468934647135218
 1	 5973	 1E-05	 .030434473716142	 .011616278383105
 5	 5994	 .0133532647536263	 .0397736667760963	 .0323543198771087
 2	 6059	 .034170624825627	 .081529956856489	 .0797144295276061
 1	 6111	 1E-05	 .0788810090316356	 .198839275430111
 1	 6150	 1E-05	 .0534397927714166	 .497051909526257
 1	 6181	 1E-05	 .0113967923316361	 .0180077603273856
 1	 6226	 1E-05	 .0431767660863424	 .109704639284513
 1	 6290	 .0819061934291068	 .0277545332138189	 .875522848581927
 1	 6491	 .00866167247188824	 .0264587960308842	 .108439012500301
 1	 6503	 .0499776385536453	 .0105437895697823	 .992266748774235
 2	 6619	 1E-05	 .0152412410110317	 .960488862006761
 1	 6712	 .00453559486506581	 .0123625206545162	 .455485325923271
 1	 6724	 .00953549207483127	 .0142304249429202	 .689573536844847
 1	 6727	 1E-05	 .0157171701713596	 .128738354799525
 1	 6790	 .031489627466131	 .0243956492015437	 .603296617170405
 2	 6833	 .169182483179258	 .00699620890764377	 .549399147477502
 3	 6932	 .00103338469517418	 .0068582818675815	 .0516357407450863
 1	 7256	 .047295763007442	 .0233150467576683	 .752695287025732
 2	 7288	 1E-05	 .0118951789270624	 .464428902757125
 1	 7317	 .0150347645333405	 .0295107561756339	 .183064378218699
 3	 7337	 .000390842771837485	 .00534400407941849	 .0532438191632759
 5	 7343	 1E-05	 .0233466995286894	 .590706245144096
 1	 7424	 .101857778967406	 .0171703253407322	 .970216026942546
 2	 7431	 1E-05	 .0321783054307414	 .629833749035715
 5	 7560	 1E-05	 .0308591296523463	 .823154402043089
 2	 7581	 1E-05	 .0255721023483643	 .6007317181589
 1	 7676	 1E-05	 .0722213855844889	 .0417380398083086
 1	 7794	 1E-05	 .0393832525891912	 .138311693092429
 1	 7917	 .00862038046833967	 .0382560743559643	 .0394542351373951
 4	 8002	 1E-05	 .0136923903318572	 .759447847230569
 1	 8090	 5.01934080994796	-.482581003439136	 .991341642981865
 1	 8215	 .824385069617821	 .0992480882342002	 .916660097884896
 5	 8232	 1E-05	 .0219547721743846	 .166238680863342
 2	 8260	 .000371877087682569	 .0180246387759941	 .000946690155697483
 2	 8383	 .0409325046199191	 .0131659728348768	 .229937878948605
 5	 8400	 .0230771503533937	 .0232604060081997	 .117441186212714
 5	 8401	 1E-05	 .0112357831879906	 .137666762049576
 1	 8444	 1.02890769849318	 .0227148285671362	 .988643836798047
 3	 8448	 1E-05	 .00511929152979962	 .0140174982276898
 4	 8555	 .00542714727892522	 .00222324862013173	 .944403021165667
 5	 8610	 1E-05	 .0207165944784522	 .492038530257995
 1	 8655	 .312580128301649	 .1303639158912	 .921467528978155
 5	 8706	 1E-05	 .00999366666041072	 .75909785459778
 4	 8765	 .000901313138781529	 .00818173911205196	 .030844907308181
 5	 8908	 .0169654043731354	 .00805643004879809	 .389018885107733
 5	 9074	 .000936708534556688	 .0106742065251873	 .140421386441133
 5	 9137	 1E-05	 .0385276064736957	 .786930420900104
