"frame","x [nm]","y [nm]","z [nm]","sigma1 [nm]","sigma2 [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty [nm]","detections"
1.0,36131.72370579138,40891.128179477986,-232.17103948673227,342.21649442706155,186.50017615947476,415.4386707292642,9.811820148604113,9.483579652867242,33954.86516938536,46.234208914252946,1.0
1.0,37753.00756078061,41930.53029053639,-460.6509628392612,493.37272310271766,184.97968549911835,704.2109671978097,10.223907484202005,5.771860867594412,21381.65795296432,27.268559195964016,1.0
1.0,37729.54873847484,41931.28890672498,-476.51019400602144,505.6918663508163,186.35072475536478,717.7581070373417,10.047264690307747,5.750258219423483,20922.925387367042,27.493112352997684,1.0
1.0,39600.131211266314,43516.494846148344,-118.11295777977327,285.18006318669734,202.146528509194,479.1790481949411,7.544908305944047,4.136965744754364,13397.886586333108,21.41501533278069,1.0
1.0,35198.60652886352,40387.3429889061,-198.18957656788427,324.6956401752197,190.7350707842057,1599.089799386431,7.188843769401011,11.725758596733868,NaN,16.007379414930618,2.0
2.0,35155.73477177526,40320.018976521176,-185.53159001093616,317.41116090294304,191.69996008174905,758.7376875506079,7.226095194506283,6.401540617043391,18677.548811066692,19.751745892775478,1.0
2.0,37709.168571817216,41940.6146833933,-269.9710009082398,363.8254735946608,183.50213449557532,661.5218361138243,9.357327061759936,5.1644325178252,18130.93604719808,20.952851779256722,1.0
3.0,37748.50110216239,41912.27927678211,-198.58140530807464,324.1450659620287,190.0780209277647,570.6841743954221,8.609927859178775,4.728699937504356,18191.377007933388,21.076378678358065,1.0
4.0,35269.664333490684,40421.93357502583,-216.7185139225965,333.7707951546408,188.03932800470207,655.1996907655407,5.950423462300435,3.4835372333219516,8338.008714816197,17.058886993945325,1.0
4.0,37919.696478958744,41949.2309494141,-301.6018544965354,382.9432788795803,181.8302300123964,239.83544668540054,6.7226973263104215,3.320757824057733,12147.250482435136,37.278962451641256,1.0
5.0,37847.68919343232,41901.247672032965,-328.57853137834076,399.993549871929,181.00678368280896,256.81652846391415,6.372094137788381,3.1415883516563037,10225.848418674204,35.320505678177305,1.0
5.0,35232.507468557065,40430.64683743191,-157.4228687394982,303.76887423411034,195.89037279606075,3831.458203176971,6.0248379877209,21.669371014091215,NaN,11.35979629519898,6.0
6.0,36652.909952957,41225.028854221244,-540.3365708152863,557.6690558153106,193.80658551962912,299.20922868876715,6.847851875334953,3.8528292510397972,11545.907288486014,48.94205477709536,1.0
8.0,37866.31638699251,41934.0224101997,-328.53314709290106,399.9642890011993,181.00770326913394,260.22546637195626,6.196664251404511,2.5227372396049472,7484.210694392879,31.450864514301667,1.0
11.0,35205.73069674342,40414.5216674077,-174.1221189767151,311.71638921849774,193.2737475584639,4468.141786612228,6.07406752449041,22.428831475137827,NaN,10.301529127611984,6.0
13.0,37994.7794832488,42119.83127214095,-379.5116435850442,434.05620850078134,180.9641588694838,215.44109446097264,5.964333872846068,2.50251187507674,8035.30259897146,38.157781114340466,1.0
14.0,38459.554922171585,42670.07881213149,-72.56411918966968,265.83049510749066,211.16506110013307,231.27218387322603,5.391313058427662,2.107056762414122,6107.110600378851,26.84733670628833,1.0
17.0,35200.51230972645,40398.33399491463,-157.76621235777148,303.82146601893106,195.74702018896346,1928.5013004646144,5.512946879556758,10.134633481312875,NaN,12.120085891564488,3.0
20.0,35151.84889608696,40406.56828838206,-161.52866018927708,306.0743142758606,195.53102523708307,1708.5991985705555,4.884081390245413,9.298091848016021,NaN,12.753335721230451,3.0
22.0,36800.205689573966,41222.81441430121,-350.7149152800424,414.4971882511718,180.7453560253662,219.2617938195799,5.856570138965791,2.3326114584373685,6481.521504551269,35.22033979946069,1.0
23.0,36420.74512702998,41189.55978891667,-356.1282635731754,418.1143032061952,180.7382534648522,243.5951626015367,5.564347859133549,3.2983718171131824,9995.357126885636,39.11986938357154,1.0
23.0,35210.84987310144,40419.058730811295,-185.71396200631887,318.0516378142987,192.11884534449374,5994.991076266056,5.111791735628285,31.22671109194929,NaN,10.385534353675638,9.0
24.0,35246.39983054051,40402.40555297658,-210.67916825453096,330.53114324776044,188.69033726300847,534.9425040247545,5.247393430394526,2.505840694184273,6511.020650193513,17.637817612093713,1.0
33.0,35185.09649185994,40376.723437560126,-145.5943401501253,297.8007067781798,197.4700535824372,723.0709374584451,4.979565580105618,3.5489942710590654,8977.083270034911,15.415394673943393,1.0
34.0,35113.42815006354,40320.74984160699,-125.75018495074043,288.67339285117515,200.83558288807967,3683.995251440087,5.530684737216384,22.731533585339516,NaN,11.921748630274188,5.0
35.0,35143.14275199109,40313.10023455213,-191.41412205905175,320.4267582512052,190.95276453505136,723.8658858042263,5.458004174560644,4.128862417852306,9429.683134183644,16.64661850151148,1.0
37.0,35155.51702850637,40351.77687506148,-106.37278244398695,280.0055782820631,204.3198016917031,702.2996075744021,6.140977354668238,4.873633095660324,14012.926405511538,17.374396550512134,1.0
41.0,35189.82090857801,40414.536926305984,-165.5892968846334,307.7317129359411,194.67240224143157,7271.608558610003,4.433172144314239,39.796163976073814,NaN,10.449950951525773,14.0
48.0,35135.012710361436,40412.15071772255,-206.48882780816805,328.303554206484,189.15836764401192,694.8398661551528,4.3847757001580945,3.380311624423811,5600.464702186744,16.14643152702442,1.0
53.0,35155.07591278448,40413.894636608056,-149.218091565833,299.5180375293283,196.8963548944513,418.41605961032167,4.441685870443138,3.300023806287903,6597.52670418089,21.76376063365545,1.0
57.0,35218.911231921236,40416.758034838844,-184.1681924764352,317.2503605720745,192.30802758602456,4521.747979994007,4.546619429558634,23.472819362045218,NaN,10.664675695002824,8.0
65.0,35204.75122289107,40428.75283056503,-180.9989499495142,315.5885560628489,192.68057041941606,2750.7906276248914,4.24054765726658,14.25047439632443,NaN,11.418809642496921,5.0
70.0,35181.469712836806,40425.571189362265,-191.27934882059972,320.43938981285277,191.0359267457276,3176.660333172532,4.28653026669997,16.196397923361793,NaN,11.092100671259365,5.0
72.0,35212.200973193874,40427.678664915635,-166.98533771043685,308.11730683137864,194.22833275489248,509.1271186516208,4.413134464509148,2.9802920627413543,6782.641280553989,18.583735332505604,1.0
120.0,39076.610346497626,43338.28571758741,-381.808834757969,435.65016228694947,181.00883122685758,231.17950829567772,4.052486795268406,1.5031062455880086,3636.1508047773887,30.310003605850312,1.0
130.0,36273.74025875993,40969.31447113838,-280.33586777179875,369.98610875899396,182.87029056083193,211.32969012113335,5.062228564498267,1.7847865354776522,4618.885863805272,30.536803587184966,1.0
132.0,36023.49659672649,40824.71610155524,-238.13550288113538,345.5366492768202,185.95476022195393,228.61735635578006,4.525467095079776,1.619332727382555,4068.159758714744,27.400809255636705,1.0
133.0,35919.61032763488,40626.69416558625,-193.02961779141685,321.2606307864074,190.75218094324242,225.3749863028239,4.598096276556494,1.9987367281506279,5410.422310890879,28.43398173204154,1.0
134.0,36388.83446391489,40950.29013493215,-261.560946076624,358.9011829516561,184.0749798086255,206.43053800250584,4.619438713544616,1.631078394440843,4546.041342984136,29.76697150068929,1.0
136.0,36464.19690286316,41200.3811960732,-112.02147729288316,282.4790178071499,203.26103654893188,199.93390396578013,4.729244975698082,1.9558633431446586,5874.074966160863,29.286713975726812,1.0
138.0,37621.68738709885,41946.36919465812,-385.1407529079801,437.9709262983696,181.08077228136705,219.86900716405725,4.443071127821052,1.99584388339742,5537.094515570459,34.32134003694618,1.0
139.0,38268.44807793597,42573.49828540983,-313.4596281568111,390.3533064409461,181.39996555786155,230.10113408826092,4.182397005557657,2.051164681207402,6259.175132114157,31.120930793123502,1.0
190.0,37311.11635433329,41722.9180536872,-261.01125958814316,358.58165039682575,184.1142980279424,189.17600821099245,4.125940425683343,1.6599283344547793,4493.942099403509,31.611525912893743,1.0
190.0,37308.52762211247,41722.238475821556,-241.58268320480025,347.4708405361531,185.65189800694378,185.24303906336374,4.193683457401257,1.6731747107947372,4358.7382196777535,31.645341128199764,1.0
221.0,36269.13600999809,38686.93070088512,-29.212512313752782,249.2315028575852,221.21710527160374,193.23891112827212,4.040108595263728,1.5083986255900248,4191.658763877084,27.247751222118943,1.0
222.0,35911.909218322406,38754.24288252437,53.30958813996731,222.5321327935833,244.30980996162072,466.67043308052416,4.608649729310811,1.9986888625792607,4456.694099268694,16.876612675609103,1.0
276.0,36112.660454066034,40916.998827429794,-378.3305829120905,433.2386419905569,180.94275672031873,244.50624896471365,4.391461539154826,1.6298092566944486,4152.342550866616,29.76355283932931,1.0
280.0,37296.102557231694,41644.20830824127,-212.1236700383462,331.30287963339737,188.53209854751304,196.23882551434338,4.875182901842235,2.7182535096557654,7595.570740770731,35.949931448835414,1.0
