"frame","x [nm]","y [nm]","z [nm]","sigma1 [nm]","sigma2 [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty [nm]","detections"
1.0,46783.010002721116,48874.155046114,-911.131533934368,935.6126376644736,298.52911552867283,944.5303964311038,4.1270293606451345,2.5575813300120362,6484.5811364375895,32.948946204093296,1.0
1.0,47295.70519256799,48905.11180361866,-1033.8278936138834,1089.2239459430775,356.2542897100397,1486.7273139632487,4.2362363648112575,3.3709927018942953,8617.830081676739,34.481926599169924,1.0
1.0,48559.22117743006,48878.962926147855,-944.353197569164,975.8033835783583,313.02630104361504,1844.5057226985973,5.723148833482768,3.1145010848523076,5566.730220735824,23.688869445987727,1.0
1.0,49992.76380398121,48774.48990593742,-970.4831641808427,1008.146007267104,325.0197830090708,1544.991029009512,4.883171787590137,3.264197017318085,7082.2230558636,28.94246864085587,1.0
2.0,46697.574262549155,48916.300235132134,-954.7384830008654,988.5807756859155,317.730771831757,806.8902312892544,4.02955578890774,2.2800251983593536,5235.414950694343,38.192305272042574,1.0
2.0,48064.153291238596,48910.58846756852,-1047.6883953265533,1107.4692223513591,363.49649508197587,1549.3668577261908,4.289995683163686,2.561489759066124,5611.891154718757,30.032039679751502,1.0
2.0,48256.34944833435,48902.07521550254,-974.8207219829237,1013.5771738287651,327.0610508592333,1404.028917321206,4.980098906644501,2.8773514984536166,6325.613380513842,29.506637106492374,1.0
2.0,48366.03870052911,48878.390642061284,-958.184994654422,992.843620920214,319.3101857247861,1388.4810010899198,4.780798535215337,2.47652684386992,4885.7339427001125,27.078046632686128,1.0
2.0,50048.541180153945,48796.624360359616,-996.6894109603359,1041.229734135894,337.5709003390391,987.5800175764864,4.256014725312569,2.4121231823764973,6343.748364043941,36.711776860674846,1.0
2.0,50076.10466751188,48799.93846654629,-919.6799517258095,945.8548531742309,302.179082513773,854.4368898051051,4.278012660751452,2.1365332357877156,5956.258070637934,33.33004683038422,1.0
3.0,46631.56340430797,48880.17489978236,-890.1447725352108,910.7597860913949,289.8044704173866,757.4289716619778,4.113759460141477,2.4881969606452747,5733.566160557127,36.69245504661647,1.0
3.0,48069.575726887975,48944.73091282254,-1008.960140557197,1056.943370005301,343.627704598797,1388.2932721618251,4.4215783017178065,2.69991656953015,5875.327091708308,30.883509907325347,1.0
