NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Fcgr2b	62	2.6099088191986084	0.039526418	Yes	
row_1	Ctss	63	2.581700325012207	0.093768805	Yes	
row_2	Itgb2	71	2.481226921081543	0.14417182	Yes	
row_3	Igsf6	118	1.9976390600204468	0.17478487	Yes	
row_4	Il1b	129	1.9124716520309448	0.2124974	Yes	
row_5	Spi1	158	1.7651870250701904	0.242671	Yes	
row_6	Cfp	171	1.7172924280166626	0.2757889	Yes	
row_7	Mmp9	249	1.4489725828170776	0.28721997	Yes	
row_8	Ptprc	258	1.4295769929885864	0.31528056	Yes	
row_9	Srgn	270	1.391952633857727	0.3418099	Yes	
row_10	Capg	343	1.1599193811416626	0.3484024	Yes	
row_11	Ets1	396	1.060570240020752	0.35784584	Yes	
row_12	Gpr65	401	1.046972632408142	0.37885544	Yes	
row_13	Flna	471	0.945874810218811	0.38169155	Yes	
row_14	Tnf	495	0.9068905711174011	0.39506662	Yes	
row_15	Hcls1	503	0.8967900276184082	0.41218007	Yes	
row_16	Cdkn2a	509	0.8888847827911377	0.42962128	Yes	
row_17	Stab1	523	0.8729432821273804	0.44475222	Yes	
row_18	Irf7	548	0.8469480276107788	0.45662096	Yes	
row_19	Ifnar2	567	0.8301301598548889	0.46961784	Yes	
row_20	Hif1a	684	0.6828404068946838	0.45532256	Yes	
row_21	Was	770	0.6099088788032532	0.4471493	Yes	
row_22	Tgfb2	800	0.5928353667259216	0.45244446	Yes	
row_23	Lcp2	840	0.5703805088996887	0.45479873	Yes	
row_24	Cd74	849	0.5671141743659973	0.4647387	Yes	
row_25	B2m	860	0.563342809677124	0.47410557	Yes	
row_26	Degs1	890	0.5441679954528809	0.47837824	Yes	
row_27	Il15	1933	-0.6809923648834229	0.23540215	No	
row_28	Ccnd3	2040	-0.7004312872886658	0.22394562	No	
row_29	Fas	2311	-0.7644866704940796	0.17334107	No	
row_30	F2r	2690	-0.8719601631164551	0.09832791	No	
row_31	Socs5	2778	-0.8996462225914001	0.0957483	No	
row_32	Ly75	2931	-0.9501789808273315	0.07818101	No	
row_33	Tap1	3068	-1.0041999816894531	0.06569935	No	
row_34	Il18	3078	-1.0102430582046509	0.08470267	No	
row_35	Traf2	3325	-1.1270567178726196	0.047641765	No	
row_36	Tlr2	3387	-1.1556259393692017	0.056860127	No	
row_37	Eif3j1	3797	-1.5055683851242065	-0.01249503	No	
row_38	Gcnt1	3892	-1.7058141231536865	1.3481907E-4	No	
row_39	Ereg	4031	-2.2969818115234375	0.014321102	No	
