NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Cd274	96	2.2265801429748535	0.024322346	Yes	
row_1	Thbs3	148	1.8323012590408325	0.05126512	Yes	
row_2	Pik3cb	149	1.8315232992172241	0.09080861	Yes	
row_3	Tgfbi	151	1.8247872591018677	0.12995927	Yes	
row_4	Sirpa	154	1.7943334579467773	0.16820501	Yes	
row_5	Sdc3	196	1.6099088191986084	0.19282024	Yes	
row_6	Msn	219	1.5219199657440186	0.22023639	Yes	
row_7	Mmp9	249	1.4489725828170776	0.24434577	Yes	
row_8	Cldn5	252	1.446808099746704	0.27508825	Yes	
row_9	Ptprc	258	1.4295769929885864	0.30471653	Yes	
row_10	Layn	259	1.428462028503418	0.33555773	Yes	
row_11	Tnfrsf11b	275	1.3799031972885132	0.36163947	Yes	
row_12	Syk	278	1.3754435777664185	0.3908412	Yes	
row_13	Cdsn	363	1.12087082862854	0.39425954	Yes	
row_14	Cdh3	417	1.0226904153823853	0.40322763	Yes	
row_15	Nectin1	428	1.0084582567214966	0.42252672	Yes	
row_16	Lama3	542	0.8527653813362122	0.41298187	Yes	
row_17	Fbn1	569	0.8295506834983826	0.42445982	Yes	
row_18	Vwf	627	0.7339668273925781	0.4262046	Yes	
row_19	Actb	633	0.7262306213378906	0.44064727	Yes	
row_20	Epb41l2	635	0.7244979739189148	0.45604214	Yes	
row_21	Map3k20	636	0.7226089835166931	0.47164363	Yes	
row_22	Rsu1	731	0.6445814371109009	0.46230465	Yes	
row_23	Jup	742	0.6368249654769897	0.47357997	Yes	
row_24	Nectin4	782	0.6009340286254883	0.47690576	Yes	
row_25	Cldn4	811	0.5891503095626831	0.48269853	Yes	
row_26	Col17a1	835	0.5730496644973755	0.48938072	Yes	
row_27	Ldlrap1	903	0.5302305817604065	0.4842527	Yes	
row_28	Mpzl2	939	0.5116770267486572	0.486641	Yes	
row_29	Bmp1	940	0.5103731751441956	0.4976602	Yes	
row_30	Insig1	945	0.5086255073547363	0.50765204	Yes	
row_31	Sympk	974	-0.5015994310379028	0.5115546	Yes	
row_32	Actn1	1186	-0.5366789102554321	0.47093984	No	
row_33	Cdh11	1305	-0.5559000372886658	0.45374855	No	
row_34	Tial1	1359	-0.5669689178466797	0.45287737	No	
row_35	Inppl1	1372	-0.5692790746688843	0.46219954	No	
row_36	Itga3	1535	-0.6000142097473145	0.43507499	No	
row_37	Col16a1	1544	-0.6009879112243652	0.4460714	No	
row_38	Vav2	1720	-0.634016752243042	0.41646475	No	
row_39	Tsc1	1813	-0.6506186723709106	0.4077509	No	
row_40	Dhx16	1843	-0.6595517992973328	0.4148163	No	
row_41	Nectin2	1952	-0.6855470538139343	0.40289813	No	
row_42	Hadh	2449	-0.8040483593940735	0.29754642	No	
row_43	Mpzl1	2667	-0.8640223145484924	0.2625148	No	
row_44	Cdh1	2989	-0.9750536680221558	0.20415056	No	
row_45	Akt2	3033	-0.9868790507316589	0.21481948	No	
row_46	Parva	3131	-1.031544804573059	0.21309301	No	
row_47	Sorbs3	3256	-1.0963599681854248	0.20608608	No	
