NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Plat	29	3.3719990253448486	0.049982786	Yes	
row_1	Il1a	44	2.8115427494049072	0.09418152	Yes	
row_2	Hmox1	55	2.683816909790039	0.13720626	Yes	
row_3	Il1b	129	1.9124716520309448	0.15153572	Yes	
row_4	Emp1	133	1.9014586210250854	0.18303095	Yes	
row_5	Rnasel	179	1.6923710107803345	0.20056964	Yes	
row_6	Cdkn1a	192	1.6247175931930542	0.22514173	Yes	
row_7	Anxa1	290	1.3440546989440918	0.22388434	Yes	
row_8	Gna15	326	1.1968328952789307	0.2355002	Yes	
row_9	Irf1	372	1.1105220317840576	0.24317373	Yes	
row_10	Atf3	373	1.1074085235595703	0.26194966	Yes	
row_11	Lgals3	377	1.095630168914795	0.2797822	Yes	
row_12	Timp2	462	0.9553714990615845	0.27515736	Yes	
row_13	Gadd45a	473	0.9443278908729553	0.28868937	Yes	
row_14	Tnf	495	0.9068905711174011	0.29885978	Yes	
row_15	Hspb1	500	0.8983400464057922	0.3130994	Yes	
row_16	Gadd45b	522	0.8729432821273804	0.32269427	Yes	
row_17	Cd44	562	0.8335651159286499	0.3271594	Yes	
row_18	Birc3	607	0.7578667402267456	0.32910162	Yes	
row_19	Cflar	686	0.6802982091903687	0.32130033	Yes	
row_20	Timp3	754	0.6245062351226807	0.3152799	Yes	
row_21	Pdgfrb	764	0.6157854199409485	0.3234894	Yes	
row_22	Tgfb2	800	0.5928353667259216	0.32486457	Yes	
row_23	Sat1	817	0.5843486189842224	0.3308058	Yes	
row_24	Bcl2l1	878	0.5519432425498962	0.32529035	Yes	
row_25	Casp8	920	0.5202209949493408	0.32394698	Yes	
row_26	Pmaip1	935	0.5136151909828186	0.32918477	Yes	
row_27	Rela	943	0.5089511275291443	0.33607867	Yes	
row_28	Mcl1	950	0.5047266483306885	0.3431489	Yes	
row_29	Madd	1256	-0.548194408416748	0.2768361	No	
row_30	Erbb3	1362	-0.567521333694458	0.26042956	No	
row_31	Wee1	1388	-0.5720889568328857	0.2639319	No	
row_32	Pak1	1534	-0.5999088883399963	0.23815879	No	
row_33	Nedd9	1559	-0.6045729517936707	0.24245979	No	
row_34	Mgmt	1660	-0.6223820447921753	0.22822289	No	
row_35	Erbb2	1855	-0.662143349647522	0.1913582	No	
row_36	Bmf	2085	-0.7120192646980286	0.14666288	No	
row_37	Etf1	2182	-0.7349196672439575	0.1353256	No	
row_38	Fas	2311	-0.7644866704940796	0.11655705	No	
row_39	Tnfsf10	2592	-0.8452857732772827	0.061478708	No	
row_40	F2r	2690	-0.8719601631164551	0.052217033	No	
row_41	Sod1	2691	-0.8736967444419861	0.067030415	No	
row_42	Fdxr	2703	-0.8755179643630981	0.07914785	No	
row_43	Txnip	2924	-0.9468244314193726	0.04066466	No	
row_44	Tap1	3068	-1.0041999816894531	0.022242015	No	
row_45	Il18	3078	-1.0102430582046509	0.037139483	No	
row_46	Gstm2	3116	-1.0258346796035767	0.045360297	No	
row_47	Dnajc3	3125	-1.0284929275512695	0.06081508	No	
row_48	Psen1	3136	-1.0339473485946655	0.07586656	No	
row_49	Casp4	3233	-1.083988070487976	0.07044767	No	
row_50	Ccnd1	3303	-1.1119498014450073	0.072195984	No	
row_51	Rock1	3378	-1.1494245529174805	0.07334021	No	
row_52	Clu	3405	-1.1623855829238892	0.086603045	No	
row_53	Pdcd4	3488	-1.2039318084716797	0.08668829	No	
row_54	Isg20	3663	-1.3479657173156738	0.066409454	No	
row_55	Ereg	4031	-2.2969818115234375	0.014377696	No	
