NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Abca1	172	1.7163408994674683	0.017098865	No	
row_1	Sult2b1	497	0.9009576439857483	-0.03146167	No	
row_2	Cat	639	0.7209401726722717	-0.0412051	No	
row_3	Rbp1	924	0.5175614953041077	-0.09319654	No	
row_4	Hsd17b11	1184	-0.5364806056022644	-0.13837814	No	
row_5	Pfkm	1805	-0.6492834687232971	-0.26852548	No	
row_6	Abca2	2033	-0.6984726786613464	-0.30021888	No	
row_7	Pex7	2226	-0.7451860904693604	-0.32167798	Yes	
row_8	Hsd17b4	2245	-0.7491085529327393	-0.3001652	Yes	
row_9	Fads1	2281	-0.7574111223220825	-0.28255	Yes	
row_10	Nedd4	2529	-0.8268693089485168	-0.3147203	Yes	
row_11	Hsd3b7	2573	-0.8407525420188904	-0.29618818	Yes	
row_12	Acsl1	2609	-0.8495227694511414	-0.27538288	Yes	
row_13	Sod1	2691	-0.8736967444419861	-0.26506478	Yes	
row_14	Fdxr	2703	-0.8755179643630981	-0.23745075	Yes	
row_15	Amacr	2833	-0.9168390035629272	-0.23745534	Yes	
row_16	Pex13	2838	-0.9184701442718506	-0.20663044	Yes	
row_17	Pex11a	3020	-0.9821084141731262	-0.21717612	Yes	
row_18	Cyp39a1	3040	-0.990121066570282	-0.18756247	Yes	
row_19	Nudt12	3124	-1.0284929275512695	-0.17237565	Yes	
row_20	Aldh9a1	3166	-1.046438217163086	-0.1462276	Yes	
row_21	Abcd3	3317	-1.1193623542785645	-0.14438802	Yes	
row_22	Slc22a18	3393	-1.1580836772918701	-0.12274358	Yes	
row_23	Phyh	3626	-1.310402274131775	-0.13447475	Yes	
row_24	Abca5	3717	-1.3988614082336426	-0.10818415	Yes	
row_25	Idh2	3729	-1.4163705110549927	-0.0618386	Yes	
row_26	Tfcp2l1	3955	-1.838551640510559	-0.053554937	Yes	
row_27	Aldh1a1	4051	-2.49174427986145	0.00935488	Yes	
