NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Lpl	43	2.8115427494049072	0.07982477	Yes	
row_1	Lgmn	141	1.8773084878921509	0.116309315	Yes	
row_2	Gusb	199	1.5973509550094604	0.1536408	Yes	
row_3	Hsd17b7	283	1.3632688522338867	0.17704235	Yes	
row_4	Cxcl16	342	1.1606764793395996	0.20008506	Yes	
row_5	Cpeb2	366	1.1165002584457397	0.23032573	Yes	
row_6	Atf3	373	1.1074085235595703	0.26446018	Yes	
row_7	Lgals3	377	1.095630168914795	0.2989546	Yes	
row_8	Fabp5	385	1.0875139236450195	0.33220306	Yes	
row_9	Plaur	426	1.0124945640563965	0.35491297	Yes	
row_10	Mal2	550	0.8449909090995789	0.35179797	Yes	
row_11	Mvk	669	0.6946892738342285	0.34508085	Yes	
row_12	Cyp51	825	0.5770254731178284	0.32546884	Yes	
row_13	Acat2	844	0.5689370632171631	0.33933222	Yes	
row_14	Nsdhl	880	0.5510151982307434	0.34843317	Yes	
row_15	Hmgcr	885	0.5489408373832703	0.36510095	Yes	
row_16	Gldc	1118	-0.525606095790863	0.32487455	No	
row_17	Acss2	1760	-0.6416299343109131	0.18766512	No	
row_18	Abca2	2033	-0.6984726786613464	0.14314796	No	
row_19	Stx5a	2066	-0.7120192646980286	0.15816517	No	
row_20	Pcyt2	2237	-0.7479388117790222	0.14035569	No	
row_21	Alcam	2584	-0.8428835868835449	0.08226036	No	
row_22	Jag1	2743	-0.8873863220214844	0.07189016	No	
row_23	Ech1	2819	-0.9105648994445801	0.08270366	No	
row_24	Clu	3405	-1.1623855829238892	-0.023969667	No	
row_25	Atxn2	3471	-1.1974461078643799	-0.0014682309	No	
row_26	Pparg	3727	-1.412458896636963	-0.018838944	No	
row_27	Chka	3801	-1.5149823427200317	0.011903831	No	
row_28	Gstm7	3949	-1.8274964094161987	0.034474283	No	
