NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Ctsl	15	3.988075017929077	0.074044846	Yes	
row_1	Ctsk	23	3.5756328105926514	0.14202353	Yes	
row_2	Plat	29	3.3719990253448486	0.20652603	Yes	
row_3	Serpine1	89	2.2954752445220947	0.23671514	Yes	
row_4	Plek	95	2.23699688911438	0.27909097	Yes	
row_5	Htra1	106	2.1224517822265625	0.31799984	Yes	
row_6	C1qa	119	1.9897103309631348	0.35382733	Yes	
row_7	Plau	136	1.8953111171722412	0.38682738	Yes	
row_8	Lgmn	141	1.8773084878921509	0.42243797	Yes	
row_9	Apoc1	164	1.7416987419128418	0.4509626	Yes	
row_10	Ctsb	177	1.6952064037322998	0.48104882	Yes	
row_11	Mmp9	249	1.4489725828170776	0.49177402	Yes	
row_12	Sh2b2	261	1.425484299659729	0.51684886	Yes	
row_13	Anxa1	290	1.3440546989440918	0.53614074	Yes	
row_14	Serpinb2	527	0.8729432821273804	0.49491575	Yes	
row_15	Fbn1	569	0.8295506834983826	0.50096923	Yes	
row_16	Trf	601	0.7710636258125305	0.50835043	Yes	
row_17	Vwf	627	0.7339668273925781	0.51648915	Yes	
row_18	Capn2	726	0.645838737487793	0.5048941	Yes	
row_19	Serping1	730	0.6447505950927734	0.516723	Yes	
row_20	Csrp1	743	0.6356598734855652	0.5261535	Yes	
row_21	Timp3	754	0.6245062351226807	0.53586024	Yes	
row_22	Maff	776	0.6046048402786255	0.54246426	Yes	
row_23	Sparc	792	0.5946421027183533	0.5503548	Yes	
row_24	Bmp1	940	0.5103731751441956	0.52402604	No	
row_25	Dusp14	948	0.5058857798576355	0.53216064	No	
row_26	Gnb2	1007	-0.5057690143585205	0.52770656	No	
row_27	Hnf4a	1475	-0.5880305171012878	0.4239184	No	
row_28	Ctse	1793	-0.6471829414367676	0.35830212	No	
row_29	Sirt2	1889	-0.6709919571876526	0.34793776	No	
row_30	Mmp15	2387	-0.7861783504486084	0.24060866	No	
row_31	Lamp2	2707	-0.8772063255310059	0.17898306	No	
row_32	Cfi	2950	-0.955944836139679	0.13789542	No	
row_33	Mst1	3084	-1.0115795135498047	0.12479266	No	
row_34	Clu	3405	-1.1623855829238892	0.06847978	No	
row_35	Prss23	3509	-1.2159100770950317	0.06676415	No	
row_36	Hpn	3768	-1.4560052156448364	0.031476416	No	
row_37	Hmgcs2	4048	-2.436384677886963	0.010118352	No	
