NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Ctsl	15	3.988075017929077	0.04502878	Yes	
row_1	Mmp12	25	3.5120060443878174	0.08572763	Yes	
row_2	Plat	29	3.3719990253448486	0.12620486	Yes	
row_3	Gngt2	51	2.724275827407837	0.15429394	Yes	
row_4	Itgam	61	2.6309704780578613	0.18422225	Yes	
row_5	Ctss	63	2.581700325012207	0.21553485	Yes	
row_6	Fcer1g	76	2.415092706680298	0.24207912	Yes	
row_7	S100a9	82	2.3663222789764404	0.26976544	Yes	
row_8	Cd36	85	2.3342208862304688	0.29780433	Yes	
row_9	Serpine1	89	2.2954752445220947	0.3251212	Yes	
row_10	Pla2g7	94	2.250366449356079	0.35163832	Yes	
row_11	Plek	95	2.23699688911438	0.37898526	Yes	
row_12	C1qa	119	1.9897103309631348	0.39759773	Yes	
row_13	Lgmn	141	1.8773084878921509	0.41533276	Yes	
row_14	Ctsd	150	1.8297816514968872	0.435715	Yes	
row_15	Apoc1	164	1.7416987419128418	0.4537788	Yes	
row_16	Ctsb	177	1.6952064037322998	0.47152257	Yes	
row_17	C1qc	234	1.4799995422363281	0.4757092	Yes	
row_18	Pim1	262	1.4251530170440674	0.48642674	Yes	
row_19	Lipa	296	1.3177281618118286	0.4943411	Yes	
row_20	Ehd1	313	1.2367554903030396	0.5054871	Yes	
row_21	Notch4	319	1.2151302099227905	0.51910025	Yes	
row_22	F7	330	1.1898003816604614	0.53116214	Yes	
row_23	Irf1	372	1.1105220317840576	0.53455687	Yes	
row_24	Lgals3	377	1.095630168914795	0.5469575	Yes	
row_25	Col4a2	406	1.0360015630722046	0.55266935	Yes	
row_26	Plaur	426	1.0124945640563965	0.56032884	Yes	
row_27	Cpm	450	0.9766911864280701	0.5665573	Yes	
row_28	Timp2	462	0.9553714990615845	0.575505	Yes	
row_29	Msrb1	472	0.944537341594696	0.58481693	Yes	
row_30	Cebpb	504	0.8967139720916748	0.58808106	Yes	
row_31	Serpinb2	527	0.8729432821273804	0.59328955	Yes	
row_32	Irf7	548	0.8469480276107788	0.5986769	Yes	
row_33	Spock2	605	0.7671486139297485	0.59414905	No	
row_34	Serping1	730	0.6447505950927734	0.5712389	No	
row_35	Csrp1	743	0.6356598734855652	0.57602984	No	
row_36	Was	770	0.6099088788032532	0.57702947	No	
row_37	Maff	776	0.6046048402786255	0.58317906	No	
row_38	Lcp2	840	0.5703805088996887	0.5745075	No	
row_39	Dusp5	861	0.5629878044128418	0.57642347	No	
row_40	Raf1	942	0.5103731751441956	0.5627968	No	
row_41	Xpnpep1	947	0.5072938203811646	0.5680051	No	
row_42	Calm3	961	-0.5001001358032227	0.5708905	No	
row_43	Vcpip1	1005	-0.5055683851242065	0.5663931	No	
row_44	Gnb2	1007	-0.5057690143585205	0.57232773	No	
row_45	Brpf3	1042	-0.5123468637466431	0.57014805	No	
row_46	Usp15	1403	-0.575356662273407	0.48778516	No	
row_47	Hnf4a	1475	-0.5880305171012878	0.47734275	No	
row_48	Kif2a	1541	-0.6003738641738892	0.4685412	No	
row_49	Prss36	1812	-0.6506186723709106	0.4094475	No	
row_50	Ltf	1834	-0.657491147518158	0.41227043	No	
row_51	Usp14	1838	-0.6578857898712158	0.419568	No	
row_52	Pla2g4a	1905	-0.6740514039993286	0.41141883	No	
row_53	Ppp4c	2059	-0.7120192646980286	0.3821296	No	
row_54	Usp16	2179	-0.7347393035888672	0.36156115	No	
row_55	Cp	2276	-0.7564133405685425	0.3469691	No	
row_56	Mmp15	2387	-0.7861783504486084	0.3292644	No	
row_57	Lamp2	2707	-0.8772063255310059	0.26077282	No	
row_58	Psen1	3136	-1.0339473485946655	0.1671301	No	
row_59	Casp4	3233	-1.083988070487976	0.15654261	No	
row_60	Clu	3405	-1.1623855829238892	0.12828924	No	
row_61	Gnb4	3871	-1.6473135948181152	0.032956842	No	
row_62	Gca	3900	-1.7120192050933838	0.04693296	No	
