NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Cdkn1a	192	1.6247175931930542	0.002159737	No	
row_1	Melk	369	1.114831805229187	-0.007277497	No	
row_2	Cdkn2a	509	0.8888847827911377	-0.01447404	No	
row_3	Tfrc	668	0.6960654854774475	-0.032236863	No	
row_4	Mcm3	697	0.6704503893852234	-0.018705599	No	
row_5	Spc25	704	0.6638476848602295	5.2448304E-5	No	
row_6	Cdk1	724	0.6505508422851562	0.015197621	No	
row_7	Cks2	812	0.5883756875991821	0.011669593	No	
row_8	Mad2l1	850	0.5659655332565308	0.019794896	No	
row_9	Atad2	958	0.5009744763374329	0.008667689	No	
row_10	Ung	1258	-0.5485205054283142	-0.04838232	No	
row_11	Wee1	1388	-0.5720889568328857	-0.06276957	No	
row_12	Orc2	1395	-0.574515700340271	-0.046734944	No	
row_13	Srsf1	1572	-0.6063284277915955	-0.0716747	No	
row_14	Ilf3	1590	-0.6093335747718811	-0.057292636	No	
row_15	Mlh1	1646	-0.620096743106842	-0.051958214	No	
row_16	Ubr7	1868	-0.6662155389785767	-0.08617511	No	
row_17	Nap1l1	1883	-0.6701990365982056	-0.06919727	No	
row_18	Mcm4	1934	-0.6809923648834229	-0.060772695	No	
row_19	Pold3	2015	-0.6953405141830444	-0.05931262	No	
row_20	Pnn	2123	-0.7197965979576111	-0.06376869	No	
row_21	Pop7	2300	-0.7620599269866943	-0.08396073	No	
row_22	Pds5b	2511	-0.8216437101364136	-0.110725105	No	
row_23	Asf1a	2749	-0.8888970017433167	-0.1421009	No	
row_24	Pold1	2929	-0.9501789808273315	-0.15729803	Yes	
row_25	Rpa3	2973	-0.9647852778434753	-0.13849446	Yes	
row_26	Rfc2	2975	-0.9647852778434753	-0.10932821	Yes	
row_27	Cdc25a	2998	-0.9750536680221558	-0.08503025	Yes	
row_28	Cse1l	3298	-1.110568642616272	-0.12494534	Yes	
row_29	Nbn	3414	-1.1676987409591675	-0.11772027	Yes	
row_30	Mthfd2	3458	-1.1911870241165161	-0.09201449	Yes	
row_31	Xpo1	3499	-1.2095189094543457	-0.06500965	Yes	
row_32	Psip1	3555	-1.250115156173706	-0.040468138	Yes	
row_33	Rbbp7	3556	-1.2516018152236938	-0.0023111035	Yes	
row_34	Smc6	3654	-1.3416508436203003	0.014658328	Yes	
row_35	Paics	3731	-1.4225126504898071	0.039274305	Yes	
row_36	Cnot9	3847	-1.6009879112243652	0.05970888	Yes	
