NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Spp1	13	4.0537567138671875	0.046782687	Yes	
row_1	Cxcl5	16	3.9744813442230225	0.095319584	Yes	
row_2	Ecm1	31	3.3247175216674805	0.13285965	Yes	
row_3	Tnc	84	2.358370065689087	0.1490391	Yes	
row_4	Serpine1	89	2.2954752445220947	0.17636512	Yes	
row_5	Lgals1	98	2.177875280380249	0.20124675	Yes	
row_6	Htra1	106	2.1224517822265625	0.225693	Yes	
row_7	Vim	112	2.0544633865356445	0.24979725	Yes	
row_8	Emp3	115	2.019784688949585	0.27421883	Yes	
row_9	Igfbp3	124	1.9554471969604492	0.29635632	Yes	
row_10	Tgfbi	151	1.8247872591018677	0.31241092	Yes	
row_11	Gpc1	155	1.783146619796753	0.3336647	Yes	
row_12	Aplp1	161	1.7474123239517212	0.35398078	Yes	
row_13	Gja1	186	1.6530252695083618	0.36841312	Yes	
row_14	Col5a2	232	1.4843779802322388	0.37554872	Yes	
row_15	Cxcl15	238	1.4699211120605469	0.3924414	Yes	
row_16	Tnfrsf11b	275	1.3799031972885132	0.40052354	Yes	
row_17	Pdlim4	279	1.3754435777664185	0.41674742	Yes	
row_18	Pthlh	299	1.3065167665481567	0.42814675	Yes	
row_19	Col4a1	301	1.3040406703948975	0.44398648	Yes	
row_20	Slc6a8	315	1.227062702178955	0.45589587	Yes	
row_21	Itga5	320	1.2117451429367065	0.4698518	Yes	
row_22	Crlf1	331	1.1874538660049438	0.4820177	Yes	
row_23	Capg	343	1.1599193811416626	0.49359554	Yes	
row_24	Col5a1	348	1.1499897241592407	0.50678957	Yes	
row_25	Lox	352	1.139458179473877	0.520102	Yes	
row_26	Fbln2	361	1.1244820356369019	0.53198785	Yes	
row_27	Col3a1	383	1.0921118259429932	0.54024523	Yes	
row_28	Col4a2	406	1.0360015630722046	0.54756206	Yes	
row_29	Fbln5	408	1.0352146625518799	0.56008524	Yes	
row_30	Plaur	426	1.0124945640563965	0.56835395	Yes	
row_31	Efemp2	437	0.996325671672821	0.5781619	Yes	
row_32	Flna	471	0.945874810218811	0.5816345	Yes	
row_33	Gadd45a	473	0.9443278908729553	0.5930365	Yes	
row_34	Col6a2	479	0.9265812039375305	0.6032259	Yes	
row_35	Col1a1	483	0.9214812517166138	0.61384916	Yes	
row_36	Fstl1	507	0.8918023109436035	0.61913854	Yes	
row_37	Gadd45b	522	0.8729432821273804	0.62643075	Yes	
row_38	Lama3	542	0.8527653813362122	0.6322321	Yes	
row_39	Eln	549	0.8454148769378662	0.6411718	Yes	
row_40	Cd44	562	0.8335651159286499	0.64847493	Yes	
row_41	Fbn1	569	0.8295506834983826	0.65721893	Yes	
row_42	Serpinh1	621	0.740240752696991	0.6536837	Yes	
row_43	Plod3	679	0.6869312524795532	0.6480005	Yes	
row_44	Col1a2	729	0.6449005007743835	0.64378583	Yes	
row_45	Timp3	754	0.6245062351226807	0.64552915	Yes	
row_46	Acta2	759	0.6209640502929688	0.6521965	Yes	
row_47	Pdgfrb	764	0.6157854199409485	0.6588	Yes	
row_48	Sparc	792	0.5946421027183533	0.6594298	Yes	
row_49	Sat1	817	0.5843486189842224	0.66067773	Yes	
row_50	Matn2	876	0.5538748502731323	0.65310454	No	
row_51	Wipf1	888	0.5457785129547119	0.6571057	No	
row_52	Bmp1	940	0.5103731751441956	0.65073454	No	
row_53	Dab2	952	0.5037094354629517	0.65421665	No	
row_54	Cdh11	1305	-0.5559000372886658	0.57364315	No	
row_55	Col16a1	1544	-0.6009879112243652	0.52194184	No	
row_56	Il15	1933	-0.6809923648834229	0.43396977	No	
row_57	Fas	2311	-0.7644866704940796	0.34976	No	
row_58	Pvr	2314	-0.7664670348167419	0.35871923	No	
row_59	Areg	2629	-0.8558891415596008	0.2912854	No	
row_60	Pfn2	3511	-1.2172545194625854	0.08747517	No	
row_61	Fmod	3707	-1.3900911808013916	0.056189727	No	
row_62	Qsox1	3787	-1.4856125116348267	0.054895457	No	
row_63	Pcolce	3854	-1.6104543209075928	0.05837039	No	
