NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Rab31	156	1.7748582363128662	-0.014368602	No	
row_1	Gja1	186	1.6530252695083618	0.0011701684	No	
row_2	Mreg	224	1.5140488147735596	0.012806624	No	
row_3	Gla	228	1.5042986869812012	0.032764494	No	
row_4	Krt13	235	1.4799168109893799	0.05164071	No	
row_5	Klk10	281	1.3729844093322754	0.059346117	No	
row_6	Car12	306	1.2743916511535645	0.07091715	No	
row_7	Wfs1	310	1.2619855403900146	0.08754002	No	
row_8	Cyp26b1	316	1.222092866897583	0.10311645	No	
row_9	Slc7a2	370	1.1142938137054443	0.10527189	No	
row_10	Sult2b1	497	0.9009576439857483	0.086336456	No	
row_11	Sh3bp5	508	0.8906452655792236	0.09610763	No	
row_12	Elf3	561	0.8352587819099426	0.09467136	No	
row_13	Cd44	562	0.8335651159286499	0.10614388	No	
row_14	Klf4	662	0.7013779282569885	0.09117634	No	
row_15	Slc1a1	715	0.6557125449180603	0.087268926	No	
row_16	Tubb2b	756	0.6235837936401367	0.08590366	No	
row_17	Clic3	784	0.6005709767341614	0.087454684	No	
row_18	Sfn	834	0.5733829736709595	0.083160244	No	
row_19	Pmaip1	935	0.5136151909828186	0.06535979	No	
row_20	Il6st	1089	-0.5200324654579163	0.034466863	No	
row_21	Svil	1206	-0.5420942306518555	0.013079267	No	
row_22	Bag1	1219	-0.5429027080535889	0.01756701	No	
row_23	Amfr	1358	-0.5669325590133667	-0.008950009	No	
row_24	Krt8	1410	-0.5778235197067261	-0.013680724	No	
row_25	Esrp2	1476	-0.5883448719978333	-0.021748353	No	
row_26	Plaat3	1603	-0.6108973026275635	-0.044675943	No	
row_27	Siah2	1781	-0.6442746520042419	-0.07982757	No	
row_28	Arl3	1918	-0.678071916103363	-0.10431757	No	
row_29	Flnb	2016	-0.6954363584518433	-0.11886949	No	
row_30	Myof	2057	-0.7091251611709595	-0.11905744	No	
row_31	Med24	2103	-0.7120192646980286	-0.12044903	No	
row_32	Igf1r	2178	-0.7343376278877258	-0.12874557	No	
row_33	Itpk1	2209	-0.740401029586792	-0.12601613	No	
row_34	Ppif	2248	-0.7499158382415771	-0.12514527	No	
row_35	Slc37a1	2517	-0.8232367038726807	-0.180465	No	
row_36	Akap1	2565	-0.8375501036643982	-0.18062627	No	
row_37	Slc19a2	2571	-0.8403433561325073	-0.17030393	No	
row_38	Tob1	2615	-0.8534389734268188	-0.16925174	No	
row_39	Ptges	2616	-0.8540382385253906	-0.15749745	No	
row_40	Areg	2629	-0.8558891415596008	-0.14870201	No	
row_41	Xbp1	2672	-0.8671215772628784	-0.14721282	No	
row_42	Celsr1	2695	-0.8740760087966919	-0.14065401	No	
row_43	Asb13	2734	-0.8860486149787903	-0.13790953	No	
row_44	Elovl5	2766	-0.8950492143630981	-0.13330032	No	
row_45	Pex11a	3020	-0.9821084141731262	-0.18270305	No	
row_46	Reep1	3093	-1.0145820379257202	-0.18664515	Yes	
row_47	Inpp5f	3127	-1.0292093753814697	-0.18068686	Yes	
row_48	Krt19	3163	-1.0440630912780762	-0.17502151	Yes	
row_49	Ttc39a	3186	-1.0556720495224	-0.16596338	Yes	
row_50	Fos	3189	-1.0575417280197144	-0.15190561	Yes	
row_51	Tbc1d30	3199	-1.0643209218978882	-0.1394954	Yes	
row_52	Mast4	3231	-1.082662582397461	-0.13230404	Yes	
row_53	Ugcg	3258	-1.098077654838562	-0.12365703	Yes	
row_54	Ccnd1	3303	-1.1119498014450073	-0.119295605	Yes	
row_55	Rbbp8	3346	-1.1382839679718018	-0.11407434	Yes	
row_56	Prss23	3509	-1.2159100770950317	-0.13762802	Yes	
row_57	Lrig1	3543	-1.2411284446716309	-0.12875305	Yes	
row_58	Ovol2	3553	-1.2490472793579102	-0.113800414	Yes	
row_59	Myb	3611	-1.296981692314148	-0.110125385	Yes	
row_60	Nadsyn1	3683	-1.36409592628479	-0.10900837	Yes	
row_61	Elf1	3720	-1.4053579568862915	-0.09861915	Yes	
row_62	Hspb8	3763	-1.451254963874817	-0.08909041	Yes	
row_63	Muc1	3926	-1.768602728843689	-0.10503727	Yes	
row_64	Slc26a2	3936	-1.780303955078125	-0.08277285	Yes	
row_65	Tmprss3	3966	-1.9136531352996826	-0.06364701	Yes	
row_66	Stc2	3990	-2.074589252471924	-0.04081401	Yes	
row_67	Sybu	3991	-2.074589252471924	-0.012261034	Yes	
row_68	Krt15	4063	-2.643599033355713	0.006466033	Yes	
