NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	S100a9	82	2.3663222789764404	0.013873185	No	
row_1	Rab31	156	1.7748582363128662	0.021422619	No	
row_2	Gla	228	1.5042986869812012	0.025553357	No	
row_3	Krt13	235	1.4799168109893799	0.045480303	No	
row_4	Cxcl14	256	1.436975121498108	0.061307535	No	
row_5	Ckb	267	1.4135116338729858	0.07927966	No	
row_6	Klk10	281	1.3729844093322754	0.09591994	No	
row_7	Car12	306	1.2743916511535645	0.108400434	No	
row_8	Wfs1	310	1.2619855403900146	0.12591879	No	
row_9	Cyp26b1	316	1.222092866897583	0.14236291	No	
row_10	Fabp5	385	1.0875139236450195	0.1412072	No	
row_11	Pkp3	402	1.0440821647644043	0.1523422	No	
row_12	Sult2b1	497	0.9009576439857483	0.14202699	No	
row_13	Cd44	562	0.8335651159286499	0.13818987	No	
row_14	Klf4	662	0.7013779282569885	0.12374407	No	
row_15	Clic3	784	0.6005709767341614	0.10237353	No	
row_16	Sfn	834	0.5733829736709595	0.098497726	No	
row_17	Jak1	896	0.5371525287628174	0.09111622	No	
row_18	Il6st	1089	-0.5200324654579163	0.05094036	No	
row_19	Bag1	1219	-0.5429027080535889	0.02674766	No	
row_20	Unc13b	1356	-0.566341757774353	0.0011550437	No	
row_21	Amfr	1358	-0.5669325590133667	0.00911135	No	
row_22	Tst	1483	-0.590485692024231	-0.013150485	No	
row_23	Etfb	1565	-0.605242908000946	-0.02451552	No	
row_24	Plaat3	1603	-0.6108973026275635	-0.024867048	No	
row_25	Aldh3a2	1699	-0.6300258636474609	-0.03935168	No	
row_26	Siah2	1781	-0.6442746520042419	-0.05015184	No	
row_27	Ltf	1834	-0.657491147518158	-0.05355576	No	
row_28	Arl3	1918	-0.678071916103363	-0.064363696	No	
row_29	Flnb	2016	-0.6954363584518433	-0.07839859	No	
row_30	Myof	2057	-0.7091251611709595	-0.07807389	No	
row_31	Mettl3	2102	-0.7120192646980286	-0.078701094	No	
row_32	Itpk1	2209	-0.740401029586792	-0.09432127	No	
row_33	Ppif	2248	-0.7499158382415771	-0.09290934	No	
row_34	Plxnb1	2472	-0.8115549087524414	-0.1365681	No	
row_35	Lsr	2522	-0.8248653411865234	-0.1368044	No	
row_36	Sgk1	2539	-0.8286641836166382	-0.12878698	No	
row_37	Tob1	2615	-0.8534389734268188	-0.13506939	No	
row_38	Ptges	2616	-0.8540382385253906	-0.12270959	No	
row_39	Areg	2629	-0.8558891415596008	-0.11330437	No	
row_40	Xbp1	2672	-0.8671215772628784	-0.111190006	No	
row_41	Dnajc1	2741	-0.8871059417724609	-0.11524606	No	
row_42	Elovl5	2766	-0.8950492143630981	-0.10825547	No	
row_43	Fgfr3	2850	-0.9251931309700012	-0.11548702	No	
row_44	Cdh1	2989	-0.9750536680221558	-0.13566157	No	
row_45	Krt19	3163	-1.0440630912780762	-0.16353306	No	
row_46	Fos	3189	-1.0575417280197144	-0.1544393	No	
row_47	Ass1	3295	-1.110568642616272	-0.16445391	Yes	
row_48	Ccnd1	3303	-1.1119498014450073	-0.1501007	Yes	
row_49	Rbbp8	3346	-1.1382839679718018	-0.14406201	Yes	
row_50	St6galnac2	3423	-1.1743624210357666	-0.14594841	Yes	
row_51	Pdcd4	3488	-1.2039318084716797	-0.14442551	Yes	
row_52	Dnajc12	3489	-1.2042245864868164	-0.12699774	Yes	
row_53	Prss23	3509	-1.2159100770950317	-0.11412136	Yes	
row_54	Ovol2	3553	-1.2490472793579102	-0.10672815	Yes	
row_55	Myb	3611	-1.296981692314148	-0.10211948	Yes	
row_56	Isg20	3663	-1.3479657173156738	-0.09528228	Yes	
row_57	Agr2	3714	-1.3972969055175781	-0.0874827	Yes	
row_58	Idh2	3729	-1.4163705110549927	-0.07046298	Yes	
row_59	Hspb8	3763	-1.451254963874817	-0.057658907	Yes	
row_60	Dcxr	3823	-1.5551375150680542	-0.04981105	Yes	
row_61	Slc26a2	3936	-1.780303955078125	-0.05187225	Yes	
row_62	Homer2	3946	-1.8093163967132568	-0.02792351	Yes	
row_63	Tmprss3	3966	-1.9136531352996826	-0.004949262	Yes	
row_64	Hmgcs2	4048	-2.436384677886963	0.010186328	Yes	
