NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Map3k20	636	0.7226089835166931	-0.13427846	Yes	
row_1	Hif1a	684	0.6828404068946838	-0.124343544	Yes	
row_2	Ccna2	694	0.6726446151733398	-0.10534527	Yes	
row_3	Mcm3	697	0.6704503893852234	-0.0846874	Yes	
row_4	Cdk1	724	0.6505508422851562	-0.070584714	Yes	
row_5	Cks2	812	0.5883756875991821	-0.07350902	Yes	
row_6	Mad2l1	850	0.5659655332565308	-0.06479162	Yes	
row_7	Cenpa	892	0.5417373776435852	-0.057826474	Yes	
row_8	Uck2	1166	-0.5332857966423035	-0.108426064	Yes	
row_9	Tent4a	1213	-0.5420942306518555	-0.102684535	Yes	
row_10	Orc5	1240	-0.54643315076828	-0.091866635	Yes	
row_11	Smarcc1	1250	-0.5476323962211609	-0.07681233	Yes	
row_12	Odf2	1431	-0.5813155174255371	-0.102928005	Yes	
row_13	Smad3	1449	-0.5844311714172363	-0.088688545	Yes	
row_14	Odc1	1542	-0.6009879112243652	-0.09244983	Yes	
row_15	Numa1	1560	-0.6051040291786194	-0.07755816	Yes	
row_16	Srsf1	1572	-0.6063284277915955	-0.06114602	Yes	
row_17	Mtf2	1576	-0.6066662073135376	-0.042747427	Yes	
row_18	Ilf3	1590	-0.6093335747718811	-0.026734425	Yes	
row_19	Cul1	1732	-0.6348513960838318	-0.041529115	Yes	
row_20	Bub3	1742	-0.6372514963150024	-0.02364744	Yes	
row_21	Ythdc1	1786	-0.6462171673774719	-0.01388005	Yes	
row_22	Lig3	1871	-0.6665045619010925	-0.013598574	Yes	
row_23	Arid4a	1879	-0.6692061424255371	0.0057851747	Yes	
row_24	Prpf4b	1961	-0.686024010181427	0.0074233864	Yes	
row_25	Pura	2032	-0.6984087824821472	0.012169042	Yes	
row_26	Nsd2	2154	-0.7301665544509888	0.0053209118	Yes	
row_27	Slc38a1	2233	-0.7467846274375916	0.0096169645	Yes	
row_28	Nek2	2485	-0.8158550262451172	-0.0266345	Yes	
row_29	Pds5b	2511	-0.8216437101364136	-0.006887091	Yes	
row_30	Tle3	2595	-0.8460366129875183	-6.9464045E-4	Yes	
row_31	Mnat1	2739	-0.8865169882774353	-0.008043561	Yes	
row_32	Prmt5	2797	-0.9046643376350403	0.0064198542	Yes	
row_33	Cul5	2799	-0.9046643376350403	0.034713846	Yes	
row_34	Cdc25a	2998	-0.9750536680221558	0.01657454	Yes	
row_35	Kif5b	3281	-1.1065926551818848	-0.01816075	Yes	
row_36	Ccnd1	3303	-1.1119498014450073	0.011733334	Yes	
row_37	Fancc	3326	-1.1270567178726196	0.041857045	Yes	
row_38	Efna5	3407	-1.1628574132919312	0.058785696	Yes	
row_39	Xpo1	3499	-1.2095189094543457	0.07446973	Yes	
row_40	Slc12a2	4021	-2.250439167022705	0.016794376	Yes	
