NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Spp1	13	4.0537567138671875	0.05545755	Yes	
row_1	Ecm1	31	3.3247175216674805	0.0993672	Yes	
row_2	Mxd1	69	2.5271685123443604	0.12676296	Yes	
row_3	Emp1	133	1.9014586210250854	0.13864225	Yes	
row_4	Ctsz	138	1.8844006061553955	0.16492932	Yes	
row_5	Plpp1	153	1.797898530960083	0.18748024	Yes	
row_6	Aplp1	161	1.7474123239517212	0.21103898	Yes	
row_7	Il1r2	188	1.6303730010986328	0.228184	Yes	
row_8	Plin2	217	1.5336054563522339	0.24343133	Yes	
row_9	Ager	225	1.51060950756073	0.26356184	Yes	
row_10	Pim1	262	1.4251530170440674	0.275252	Yes	
row_11	Ndrg1	276	1.3796806335449219	0.29199675	Yes	
row_12	Capg	343	1.1599193811416626	0.29239556	Yes	
row_13	Gpr65	401	1.046972632408142	0.29339468	Yes	
row_14	Col6a1	415	1.0249463319778442	0.3050039	Yes	
row_15	Tnfrsf1b	463	0.9549366235733032	0.3071545	Yes	
row_16	Gadd45b	522	0.8729432821273804	0.3053858	Yes	
row_17	Il3ra	530	0.8685648441314697	0.3162214	Yes	
row_18	Gsto1	543	0.8504647016525269	0.325553	Yes	
row_19	Cd44	562	0.8335651159286499	0.33314967	Yes	
row_20	Rora	622	0.7396767139434814	0.32920328	Yes	
row_21	Ckap4	673	0.6903659105300903	0.32677847	Yes	
row_22	P2rx4	707	0.6628172993659973	0.32817742	Yes	
row_23	P4ha1	720	0.653630256652832	0.33465946	Yes	
row_24	Hipk2	725	0.6505508422851562	0.34308398	Yes	
row_25	Adam19	738	0.6384779810905457	0.34934667	Yes	
row_26	Maff	776	0.6046048402786255	0.34890932	No	
row_27	Dennd5a	827	0.5758470296859741	0.3448266	No	
row_28	Prnp	853	0.5652090311050415	0.34679955	No	
row_29	Bcl2l1	878	0.5519432425498962	0.34882882	No	
row_30	Snx14	1101	-0.5225414633750916	0.30125213	No	
row_31	Uck2	1166	-0.5332857966423035	0.29307586	No	
row_32	Fah	1257	-0.5485205054283142	0.27866215	No	
row_33	Ptrh2	1414	-0.5781635046005249	0.24828413	No	
row_34	Odc1	1542	-0.6009879112243652	0.22543973	No	
row_35	Pdcd2l	1614	-0.612483561038971	0.21667133	No	
row_36	Ccnd3	2040	-0.7004312872886658	0.12124769	No	
row_37	Spred2	2041	-0.7004312872886658	0.13138789	No	
row_38	Pus1	2048	-0.7030304670333862	0.1400754	No	
row_39	Enpp1	2167	-0.7324833273887634	0.12137014	No	
row_40	Igf1r	2178	-0.7343376278877258	0.12951735	No	
row_41	Rabgap1l	2252	-0.75133216381073	0.1222623	No	
row_42	Ptch1	2275	-0.755962610244751	0.12774195	No	
row_43	Eno3	2415	-0.7944813966751099	0.104718134	No	
row_44	Alcam	2584	-0.8428835868835449	0.07519186	No	
row_45	Tnfsf10	2592	-0.8452857732772827	0.08569044	No	
row_46	Gucy1b1	2612	-0.8521968722343445	0.093308434	No	
row_47	Dcps	2660	-0.8640223145484924	0.09414284	No	
row_48	Xbp1	2672	-0.8671215772628784	0.103963986	No	
row_49	Tnfrsf21	2673	-0.8678901195526123	0.1165285	No	
row_50	Eef1akmt1	2719	-0.8819442391395569	0.11811913	No	
row_51	Cdkn1c	2722	-0.8819442391395569	0.13039033	No	
row_52	Il18r1	2742	-0.8871059417724609	0.13851371	No	
row_53	Amacr	2833	-0.9168390035629272	0.12943217	No	
row_54	Spry4	2861	-0.9296106696128845	0.13618381	No	
row_55	Ahr	2936	-0.9530273079872131	0.13160034	No	
row_56	Etfbkmt	3079	-1.0103604793548584	0.11095667	No	
row_57	Galm	3177	-1.0504354238510132	0.10207051	No	
row_58	Ncoa3	3306	-1.1125571727752686	0.086383745	No	
row_59	Lrig1	3543	-1.2411284446716309	0.045732684	No	
row_60	Lclat1	3607	-1.296981692314148	0.048860908	No	
row_61	Flt3l	3704	-1.3900911808013916	0.04514036	No	
row_62	Slc1a5	3889	-1.68453848361969	0.023824627	No	
row_63	Muc1	3926	-1.768602728843689	0.040486954	No	
