NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Hmox1	55	2.683816909790039	0.079842135	Yes	
row_1	Cd36	85	2.3342208862304688	0.15391532	Yes	
row_2	Csf3r	113	2.051746368408203	0.21865343	Yes	
row_3	Il1b	129	1.9124716520309448	0.28149697	Yes	
row_4	Crlf2	182	1.6700843572616577	0.32681066	Yes	
row_5	Csf2ra	185	1.6572145223617554	0.38397068	Yes	
row_6	Il1r2	188	1.6303730010986328	0.44019693	Yes	
row_7	Pim1	262	1.4251530170440674	0.47182634	Yes	
row_8	Il17ra	351	1.1404235363006592	0.48986223	Yes	
row_9	Irf1	372	1.1105220317840576	0.52357787	Yes	
row_10	Tnfrsf1b	463	0.9549366235733032	0.5346692	Yes	
row_11	Il10rb	467	0.9493952989578247	0.5669595	Yes	
row_12	Tnf	495	0.9068905711174011	0.59186995	Yes	
row_13	Il3ra	530	0.8685648441314697	0.6137259	Yes	
row_14	Cd44	562	0.8335651159286499	0.635102	Yes	
row_15	Il6st	1089	-0.5200324654579163	0.5238594	No	
row_16	Cbl	1164	-0.5326955318450928	0.5241958	No	
row_17	Acvrl1	1592	-0.6096575260162354	0.44041336	No	
row_18	Fas	2311	-0.7644866704940796	0.2904657	No	
row_19	Tnfrsf21	2673	-0.8678901195526123	0.23189498	No	
row_20	Il18r1	2742	-0.8871059417724609	0.24603602	No	
row_21	Tlr2	3387	-1.1556259393692017	0.12789069	No	
row_22	Reg1	3588	-1.2783660888671875	0.12318667	No	
