NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Cxcl5	16	3.9744813442230225	0.051868152	Yes	
row_1	Il1a	44	2.8115427494049072	0.08467032	Yes	
row_2	C3ar1	46	2.795085906982422	0.1236897	Yes	
row_3	Cybb	57	2.653630256652832	0.15848967	Yes	
row_4	Mxd1	69	2.5271685123443604	0.191265	Yes	
row_5	Msr1	78	2.390791654586792	0.22286846	Yes	
row_6	Serpine1	89	2.2954752445220947	0.2526368	Yes	
row_7	Csf3r	113	2.051746368408203	0.27575687	Yes	
row_8	Emp3	115	2.019784688949585	0.30388424	Yes	
row_9	Il1b	129	1.9124716520309448	0.32752782	Yes	
row_10	Abca1	172	1.7163408994674683	0.34122357	Yes	
row_11	Ptafr	191	1.6258504390716553	0.35960042	Yes	
row_12	Cdkn1a	192	1.6247175931930542	0.38242564	Yes	
row_13	Cxcl15	238	1.4699211120605469	0.39191544	Yes	
row_14	Lamp3	298	1.3068398237228394	0.39564192	Yes	
row_15	Itga5	320	1.2117451429367065	0.40745708	Yes	
row_16	Gna15	326	1.1968328952789307	0.42303097	Yes	
row_17	Slc7a2	370	1.1142938137054443	0.42802072	Yes	
row_18	Irf1	372	1.1105220317840576	0.4433741	Yes	
row_19	Plaur	426	1.0124945640563965	0.44445354	Yes	
row_20	Tnfrsf1b	463	0.9549366235733032	0.4489406	Yes	
row_21	Nfkb1	486	0.9182672500610352	0.45638475	Yes	
row_22	Stab1	523	0.8729432821273804	0.4597199	Yes	
row_23	Rgs1	526	0.8729432821273804	0.4714876	Yes	
row_24	Pdpn	544	0.8499445915222168	0.479212	Yes	
row_25	Irf7	548	0.8469480276107788	0.4903665	Yes	
row_26	Sphk1	672	0.691336452960968	0.46957293	No	
row_27	Hif1a	684	0.6828404068946838	0.47643778	No	
row_28	P2rx4	707	0.6628172993659973	0.48029318	No	
row_29	Lcp2	840	0.5703805088996887	0.4555682	No	
row_30	Kif1b	923	0.5176355838775635	0.442503	No	
row_31	Raf1	942	0.5103731751441956	0.44520882	No	
row_32	Rela	943	0.5089511275291443	0.45235893	No	
row_33	Nfkbia	954	0.5016874670982361	0.45692685	No	
row_34	Sri	1116	-0.5250495672225952	0.42437258	No	
row_35	Hbegf	1222	-0.543896496295929	0.40597194	No	
row_36	Aplnr	1378	-0.5700002312660217	0.37553728	No	
row_37	Ptger4	1845	-0.6595517992973328	0.26922774	No	
row_38	Ly6e	1857	-0.6627001166343689	0.27580965	No	
row_39	Il15	1933	-0.6809923648834229	0.26677555	No	
row_40	Gpc3	2218	-0.7430461049079895	0.20677787	No	
row_41	Scn1b	2310	-0.7644866704940796	0.1949485	No	
row_42	Pvr	2314	-0.7664670348167419	0.20497234	No	
row_43	Slc31a1	2408	-0.7933193445205688	0.19305198	No	
row_44	Calcrl	2591	-0.8452857732772827	0.15978828	No	
row_45	Tnfsf10	2592	-0.8452857732772827	0.17166348	No	
row_46	Slc4a4	2622	-0.8540382385253906	0.17646916	No	
row_47	Il18r1	2742	-0.8871059417724609	0.15941799	No	
row_48	Ahr	2936	-0.9530273079872131	0.12493974	No	
row_49	Selenos	2961	-0.9599467515945435	0.13247338	No	
row_50	Cd82	2976	-0.9651119112968445	0.14255975	No	
row_51	Gabbr1	2985	-0.9692943692207336	0.15419298	No	
row_52	Il18	3078	-1.0102430582046509	0.14556815	No	
row_53	Psen1	3136	-1.0339473485946655	0.14595689	No	
row_54	Tlr2	3387	-1.1556259393692017	0.100187995	No	
row_55	Ccl17	3767	-1.4556795358657837	0.026640417	No	
row_56	Hpn	3768	-1.4560052156448364	0.047095437	No	
row_57	Ereg	4031	-2.2969818115234375	0.014384945	No	
