NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Cd274	96	2.2265801429748535	0.026683684	Yes	
row_1	Cdkn1a	192	1.6247175931930542	0.039985027	Yes	
row_2	Ifit3	248	1.4489725828170776	0.05919769	Yes	
row_3	Pim1	262	1.4251530170440674	0.088256694	Yes	
row_4	Slamf7	309	1.2652606964111328	0.10553459	Yes	
row_5	Irf1	372	1.1105220317840576	0.115351826	Yes	
row_6	Tnfaip2	387	1.0859698057174683	0.1364825	Yes	
row_7	Zbp1	391	1.0775610208511353	0.16014282	Yes	
row_8	Ifitm2	465	0.9518284201622009	0.16364625	Yes	
row_9	Nfkb1	486	0.9182672500610352	0.1794955	Yes	
row_10	Upp1	492	0.9083175659179688	0.19882862	Yes	
row_11	Trim25	516	0.8819601535797119	0.21311383	Yes	
row_12	Irf7	548	0.8469480276107788	0.22462791	Yes	
row_13	Ifnar2	567	0.8301301598548889	0.2389758	Yes	
row_14	Parp12	571	0.8277912139892578	0.25697988	Yes	
row_15	Oasl1	663	0.7012832164764404	0.2503585	Yes	
row_16	Hif1a	684	0.6828404068946838	0.26087633	Yes	
row_17	Serping1	730	0.6447505950927734	0.26434958	Yes	
row_18	Lcp2	840	0.5703805088996887	0.25031278	Yes	
row_19	Cd74	849	0.5671141743659973	0.26117724	Yes	
row_20	Znfx1	851	0.5656848549842834	0.27374032	Yes	
row_21	B2m	860	0.563342809677124	0.2845194	Yes	
row_22	Casp8	920	0.5202209949493408	0.28171068	Yes	
row_23	Nfkbia	954	0.5016874670982361	0.2849115	Yes	
row_24	Sri	1116	-0.5250495672225952	0.2569896	No	
row_25	Ogfr	1770	-0.6416299343109131	0.110046	No	
row_26	Ifi27	1778	-0.6438477635383606	0.12289545	No	
row_27	Ly6e	1857	-0.6627001166343689	0.11861496	No	
row_28	Auts2	1865	-0.6647135019302368	0.13193692	No	
row_29	Pla2g4a	1905	-0.6740514039993286	0.1375574	No	
row_30	Il15	1933	-0.6809923648834229	0.14630242	No	
row_31	Rnf213	2130	-0.7240920662879944	0.11423316	No	
row_32	Fas	2311	-0.7644866704940796	0.08703514	No	
row_33	Tnfsf10	2592	-0.8452857732772827	0.03693889	No	
row_34	Epsti1	2646	-0.8601178526878357	0.043311063	No	
row_35	Txnip	2924	-0.9468244314193726	-0.0037439298	No	
row_36	Tap1	3068	-1.0041999816894531	-0.016364103	No	
row_37	Rapgef6	3087	-1.0115795135498047	0.0020928273	No	
row_38	Lgals3bp	3172	-1.0488390922546387	0.005073054	No	
row_39	Casp4	3233	-1.083988070487976	0.014783973	No	
row_40	Ncoa3	3306	-1.1125571727752686	0.022174502	No	
row_41	Mthfd2	3458	-1.1911870241165161	0.011810548	No	
row_42	Nod1	3491	-1.205059289932251	0.031187052	No	
row_43	Isg20	3663	-1.3479657173156738	0.01942787	No	
row_44	St3gal5	3960	-1.8755179643630981	-0.011294486	No	
row_45	Oas2	3963	-1.8964438438415527	0.03115733	No	
