NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Sprr3	99	2.17311692237854	0.018615704	No	
row_1	Slc6a14	142	1.868243932723999	0.04526708	No	
row_2	Krt4	206	1.5813435316085815	0.06104628	No	
row_3	Krt13	235	1.4799168109893799	0.08345954	No	
row_4	Pkp1	257	1.4337278604507446	0.10668627	No	
row_5	Tgm1	292	1.3370753526687622	0.1247869	No	
row_6	Alox12b	305	1.2757024765014648	0.1471047	No	
row_7	Lypd3	389	1.08041512966156	0.14801715	No	
row_8	Serpinb2	527	0.8729432821273804	0.13148138	No	
row_9	Slc29a3	600	0.7734075784683228	0.12902637	No	
row_10	Krt5	709	0.6614040732383728	0.11546063	No	
row_11	Lgals7	780	0.601199746131897	0.110086806	No	
row_12	Tgfb2	800	0.5928353667259216	0.11714292	No	
row_13	Kmt2d	1293	-0.5544779896736145	0.0066199247	No	
row_14	Gtf3c5	1528	-0.59856116771698	-0.039310012	No	
row_15	Selenop	2054	-0.7074409127235413	-0.1549518	No	
row_16	Fggy	2369	-0.7791334390640259	-0.21706118	No	
row_17	Mfsd6	2379	-0.7835724949836731	-0.20375533	No	
row_18	Sgk1	2539	-0.8286641836166382	-0.22660206	No	
row_19	Nr6a1	2617	-0.8540382385253906	-0.22869404	No	
row_20	Prodh	2664	-0.8640223145484924	-0.22293192	No	
row_21	Sidt1	2815	-0.9099586009979248	-0.24194482	Yes	
row_22	Fgfr3	2850	-0.9251931309700012	-0.23200674	Yes	
row_23	Camk1d	2895	-0.9382950663566589	-0.22427878	Yes	
row_24	Nr4a2	2921	-0.9464845061302185	-0.21169598	Yes	
row_25	Asb7	2954	-0.9571317434310913	-0.20063102	Yes	
row_26	Cyp39a1	3040	-0.990121066570282	-0.20200193	Yes	
row_27	Thrb	3105	-1.0201414823532104	-0.19759144	Yes	
row_28	Coq8a	3108	-1.0213472843170166	-0.17784464	Yes	
row_29	Cdkal1	3147	-1.0371146202087402	-0.16667645	Yes	
row_30	Msh5	3214	-1.071561574935913	-0.16174087	Yes	
row_31	Synpo	3604	-1.2897862195968628	-0.23225337	Yes	
row_32	Copz2	3721	-1.4071646928787231	-0.23301564	Yes	
row_33	Gprc5c	3776	-1.4640917778015137	-0.21733734	Yes	
row_34	Prkn	3834	-1.574515700340271	-0.2002116	Yes	
row_35	Dtnb	3928	-1.7709128856658936	-0.18808481	Yes	
row_36	Tfcp2l1	3955	-1.838551640510559	-0.15807028	Yes	
row_37	Tent5c	3985	-2.0323867797851562	-0.1249553	Yes	
row_38	Tff2	3999	-2.108778476715088	-0.08637482	Yes	
row_39	Krt15	4063	-2.643599033355713	-0.04954416	Yes	
row_40	Clps	4075	-2.8115549087524414	0.0034576815	Yes	
