NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Ppbp	5	5.110711097717285	0.04792722	Yes	
row_1	Arg1	9	4.328619956970215	0.08882771	Yes	
row_2	Spp1	13	4.0537567138671875	0.1270836	Yes	
row_3	Gpnmb	27	3.4667840003967285	0.1572013	Yes	
row_4	Plat	29	3.3719990253448486	0.18939583	Yes	
row_5	C3ar1	46	2.795085906982422	0.2123036	Yes	
row_6	Ctss	63	2.581700325012207	0.23315829	Yes	
row_7	Itgb2	71	2.481226921081543	0.2552879	Yes	
row_8	Cd37	74	2.4579057693481445	0.27843842	Yes	
row_9	Fcer1g	76	2.415092706680298	0.30142608	Yes	
row_10	Glrx	105	2.1273646354675293	0.3149206	Yes	
row_11	Mafb	116	2.016909122467041	0.3318356	Yes	
row_12	Igfbp3	124	1.9554471969604492	0.3489064	Yes	
row_13	Il1b	129	1.9124716520309448	0.36631092	Yes	
row_14	Emp1	133	1.9014586210250854	0.38385856	Yes	
row_15	Plau	136	1.8953111171722412	0.4015961	Yes	
row_16	Csf2ra	185	1.6572145223617554	0.40558577	Yes	
row_17	Aldh1a3	203	1.588973045349121	0.4166399	Yes	
row_18	Lcp1	231	1.489916205406189	0.4242503	Yes	
row_19	Prdm1	245	1.4517271518707275	0.43498018	Yes	
row_20	Mmp9	249	1.4489725828170776	0.44817424	Yes	
row_21	Dock2	271	1.3895187377929688	0.45631307	Yes	
row_22	Cxcr4	289	1.346874475479126	0.46503785	Yes	
row_23	Mall	354	1.1359776258468628	0.4600274	Yes	
row_24	Adam8	375	1.104426383972168	0.46567228	Yes	
row_25	Ets1	396	1.060570240020752	0.47089523	Yes	
row_26	Plaur	426	1.0124945640563965	0.47341397	Yes	
row_27	Tnfrsf1b	463	0.9549366235733032	0.4736355	Yes	
row_28	Ppp1r15a	552	0.8425695896148682	0.45982444	Yes	
row_29	Slpi	558	0.8358539342880249	0.46662128	Yes	
row_30	Mmd	588	0.7978417873382568	0.46707475	Yes	
row_31	Birc3	607	0.7578667402267456	0.46988335	Yes	
row_32	Klf4	662	0.7013779282569885	0.4631821	Yes	
row_33	Gng11	677	0.6873875856399536	0.46630883	Yes	
row_34	Ace	681	0.6854159235954285	0.47215635	Yes	
row_35	Etv5	712	0.659949541091919	0.47103405	Yes	
row_36	Lat2	714	0.6572145819664001	0.47710836	Yes	
row_37	Jup	742	0.6368249654769897	0.47651076	No	
row_38	Eng	867	0.5595771670341492	0.45101056	No	
row_39	Tspan1	886	0.5488333106040955	0.45180795	No	
row_40	Ammecr1	900	0.5337371826171875	0.4537054	No	
row_41	Tspan7	919	0.522885799407959	0.45425317	No	
row_42	Mpzl2	939	0.5116770267486572	0.454444	No	
row_43	Cbl	1164	-0.5326955318450928	0.40377852	No	
row_44	Hbegf	1222	-0.543896496295929	0.39481482	No	
row_45	Fbxo4	1247	-0.5472744703292847	0.39410284	No	
row_46	Mtmr10	1309	-0.5580678582191467	0.38427925	No	
row_47	Btbd3	1540	-0.6003738641738892	0.33277053	No	
row_48	Wdr33	1597	-0.6101396083831787	0.3246933	No	
row_49	Sdccag8	1620	-0.613987147808075	0.32512128	No	
row_50	Galnt3	1794	-0.6478888988494873	0.2882665	No	
row_51	Anxa10	1903	-0.6736381649971008	0.26784876	No	
row_52	Rabgap1l	2252	-0.75133216381073	0.18840271	No	
row_53	Ptbp2	2268	-0.7548040747642517	0.19192906	No	
row_54	Scn1b	2310	-0.7644866704940796	0.18907283	No	
row_55	Dnmbp	2448	-0.8034422397613525	0.16268107	No	
row_56	Usp12	2524	-0.8256760239601135	0.15194535	No	
row_57	Tmem176b	2558	-0.8343932628631592	0.15175426	No	
row_58	Akt2	3033	-0.9868790507316589	0.043192193	No	
row_59	Ano1	3053	-0.9951912760734558	0.04803514	No	
row_60	Pigr	3054	-0.9957807064056396	0.057616014	No	
row_61	Kcnn4	3134	-1.0339473485946655	0.04788789	No	
row_62	Akap12	3203	-1.0656561851501465	0.041204583	No	
row_63	Spry2	3254	-1.0953478813171387	0.039290138	No	
row_64	Plek2	3383	-1.1535289287567139	0.018508334	No	
row_65	Adamdec1	3477	-1.2018245458602905	0.006908512	No	
row_66	Trib2	3570	-1.2645602226257324	-0.0038386332	No	
row_67	Tmem176a	3571	-1.2658843994140625	0.008341035	No	
row_68	Cab39l	3659	-1.3436318635940552	-3.9999528E-4	No	
row_69	Avl9	3693	-1.3738504648208618	0.004599287	No	
row_70	Sox9	3877	-1.6579793691635132	-0.025027595	No	
row_71	Cidea	3931	-1.773419737815857	-0.02116519	No	
row_72	F2rl1	3967	-1.9136531352996826	-0.011470344	No	
row_73	Tmem158	3977	-2.00152587890625	0.005545682	No	
row_74	Ereg	4031	-2.2969818115234375	0.014445524	No	
