NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Prex1	204	1.5856612920761108	-0.0095825195	No	
row_1	Dock2	271	1.3895187377929688	0.009891196	No	
row_2	Flna	471	0.945874810218811	-0.014932809	No	
row_3	Abr	538	0.8597678542137146	-0.00910247	No	
row_4	Epb41l2	635	0.7244979739189148	-0.014170647	No	
row_5	Palld	650	0.7123803496360779	7.160235E-4	No	
row_6	Cdk1	724	0.6505508422851562	-5.7198614E-4	No	
row_7	Arhgap27	911	0.5261405110359192	-0.032992918	No	
row_8	Kif1b	923	0.5176355838775635	-0.022380294	No	
row_9	Cdc42ep2	926	0.5174626111984253	-0.009547707	No	
row_10	Mark4	1085	-0.5193741321563721	-0.035222486	No	
row_11	Map1s	1174	-0.5351414680480957	-0.04319015	No	
row_12	Kif3b	1241	-0.54643315076828	-0.04542954	No	
row_13	Kptn	1333	-0.5631558299064636	-0.053417187	No	
row_14	Ezr	1361	-0.5673259496688843	-0.045479342	No	
row_15	Sos1	1487	-0.5910038352012634	-0.061153144	No	
row_16	Nedd9	1559	-0.6045729517936707	-0.06313097	No	
row_17	Numa1	1560	-0.6051040291786194	-0.04754692	No	
row_18	Rabgap1	1619	-0.613987147808075	-0.04606924	No	
row_19	Ckap5	1767	-0.6416299343109131	-0.06587667	No	
row_20	Tsc1	1813	-0.6506186723709106	-0.060242515	No	
row_21	Cttn	1925	-0.6805650591850281	-0.07014952	No	
row_22	Flnb	2016	-0.6954363584518433	-0.074483216	No	
row_23	Atg4b	2204	-0.7389863133430481	-0.1016696	No	
row_24	Arfgef1	2351	-0.7743034958839417	-0.117812954	No	
row_25	Sac3d1	2416	-0.7944813966751099	-0.11316971	No	
row_26	Nek2	2485	-0.8158550262451172	-0.10896463	No	
row_27	Tlk1	2491	-0.8173722624778748	-0.08914955	No	
row_28	Dynll2	2574	-0.8409810066223145	-0.08775757	No	
row_29	Rasa2	2847	-0.9235233664512634	-0.13119973	Yes	
row_30	Mid1	2923	-0.9464845061302185	-0.12536049	Yes	
row_31	Cd2ap	3029	-0.9850377440452576	-0.12594305	Yes	
row_32	Rapgef6	3087	-1.0115795135498047	-0.11397849	Yes	
row_33	Tubgcp3	3271	-1.1019657850265503	-0.13082795	Yes	
row_34	Kif5b	3281	-1.1065926551818848	-0.10455282	Yes	
row_35	Rock1	3378	-1.1494245529174805	-0.0986773	Yes	
row_36	Mid1ip1	3392	-1.1580836772918701	-0.072064675	Yes	
row_37	Uxt	3422	-1.1714508533477783	-0.04906232	Yes	
row_38	Pcm1	3485	-1.2030055522918701	-0.033403493	Yes	
row_39	Arfip2	3580	-1.272149920463562	-0.023872944	Yes	
row_40	Synpo	3604	-1.2897862195968628	0.0036600088	Yes	
row_41	Cep131	3673	-1.3558753728866577	0.021772947	Yes	
row_42	Pcgf5	3728	-1.4156262874603271	0.04488494	Yes	
row_43	Sorbs2	3904	-1.7120192050933838	0.045724254	Yes	
