NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Itgb2	71	2.481226921081543	0.029793385	Yes	
row_1	Glrx	105	2.1273646354675293	0.062245883	Yes	
row_2	Slc7a11	126	1.9400575160980225	0.09434278	Yes	
row_3	Lgmn	141	1.8773084878921509	0.1267282	Yes	
row_4	Cfp	171	1.7172924280166626	0.15233998	Yes	
row_5	Cdkn1a	192	1.6247175931930542	0.17841414	Yes	
row_6	Sla	207	1.5733829736709595	0.20499484	Yes	
row_7	Gla	228	1.5042986869812012	0.2287691	Yes	
row_8	Map2k3	282	1.3670523166656494	0.24174361	Yes	
row_9	Cxcr4	289	1.346874475479126	0.26598084	Yes	
row_10	Coro1a	390	1.0787527561187744	0.261801	Yes	
row_11	Nupr1	443	0.9877089262008667	0.2677782	Yes	
row_12	Egln3	532	0.8659364581108093	0.2625077	Yes	
row_13	Ppp1r15a	552	0.8425695896148682	0.2738913	Yes	
row_14	Serpinh1	621	0.740240752696991	0.27117676	Yes	
row_15	Tfrc	668	0.6960654854774475	0.27307078	Yes	
row_16	Ifrd1	676	0.687511682510376	0.2844669	Yes	
row_17	Ssr1	710	0.6606158018112183	0.28890568	Yes	
row_18	Pgk1	717	0.6546267867088318	0.29992154	Yes	
row_19	P4ha1	720	0.653630256652832	0.31190968	Yes	
row_20	Psat1	766	0.6130080819129944	0.31246522	Yes	
row_21	Srd5a1	769	0.6099088788032532	0.32361832	Yes	
row_22	Shmt2	787	0.5978360176086426	0.33082336	Yes	
row_23	Cyp51	825	0.5770254731178284	0.33267432	Yes	
row_24	Hmgcr	885	0.5489408373832703	0.32853657	Yes	
row_25	Rit1	921	0.517790675163269	0.32975185	Yes	
row_26	Insig1	945	0.5086255073547363	0.33376607	Yes	
row_27	Got1	949	0.5057342648506165	0.3426817	Yes	
row_28	Rpn1	1015	-0.5074480772018433	0.3362645	No	
row_29	Canx	1127	-0.526573657989502	0.31881234	No	
row_30	Ung	1258	-0.5485205054283142	0.29707053	No	
row_31	Eef1e1	1296	-0.5544779896736145	0.29849085	No	
row_32	Nmt1	1368	-0.569061279296875	0.29176342	No	
row_33	Hmbs	1418	-0.5787526965141296	0.29067338	No	
row_34	Pno1	1502	-0.5948356986045837	0.28146425	No	
row_35	Arpc5l	1558	-0.6037663221359253	0.27936497	No	
row_36	Ppa1	1606	-0.6118825674057007	0.27940333	No	
row_37	Actr2	1729	-0.634016752243042	0.2612771	No	
row_38	Pgm1	1734	-0.6353979706764221	0.27242136	No	
row_39	Mcm4	1934	-0.6809923648834229	0.2361093	No	
row_40	Immt	2168	-0.7325805425643921	0.19235626	No	
row_41	Etf1	2182	-0.7349196672439575	0.20317082	No	
row_42	Fads1	2281	-0.7574111223220825	0.19334927	No	
row_43	Vldlr	2403	-0.7921895980834961	0.17849185	No	
row_44	Psmc4	2525	-0.8258872032165527	0.164278	No	
row_45	Xbp1	2672	-0.8671215772628784	0.14465593	No	
row_46	Gtf2h1	2701	-0.8755179643630981	0.15443833	No	
row_47	Fdxr	2703	-0.8755179643630981	0.17091218	No	
row_48	Elovl5	2766	-0.8950492143630981	0.17264134	No	
row_49	Hspa9	2925	-0.9474492073059082	0.15157947	No	
row_50	Cdc25a	2998	-0.9750536680221558	0.15235834	No	
row_51	Mthfd2	3458	-1.1911870241165161	0.061354395	No	
row_52	Sytl2	3784	-1.4799766540527344	0.009075516	No	
row_53	Slc1a5	3889	-1.68453848361969	0.015474359	No	
row_54	Igfbp5	3929	-1.772026538848877	0.0396532	No	
