NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Cd36	85	2.3342208862304688	0.020250518	Yes	
row_1	Igfbp3	124	1.9554471969604492	0.045450866	Yes	
row_2	Cdkn1a	192	1.6247175931930542	0.057602555	Yes	
row_3	Ckb	267	1.4135116338729858	0.06427832	Yes	
row_4	Slc6a8	315	1.227062702178955	0.074349076	Yes	
row_5	Sorbs1	325	1.2049602270126343	0.09345307	Yes	
row_6	Igf1	376	1.099908471107483	0.10052827	Yes	
row_7	Col3a1	383	1.0921118259429932	0.11837812	Yes	
row_8	Col4a2	406	1.0360015630722046	0.13126616	Yes	
row_9	Smtn	412	1.0304845571517944	0.1482728	Yes	
row_10	Cryab	422	1.0166786909103394	0.1640429	Yes	
row_11	Col6a2	479	0.9265812039375305	0.16656092	Yes	
row_12	Col1a1	483	0.9214812517166138	0.18213347	Yes	
row_13	Gadd45b	522	0.8729432821273804	0.188166	Yes	
row_14	Fst	589	0.7951881289482117	0.1858773	Yes	
row_15	Kifc3	645	0.7173735499382019	0.1849389	Yes	
row_16	Sphk1	672	0.691336452960968	0.19073193	Yes	
row_17	Ifrd1	676	0.687511682510376	0.2021616	Yes	
row_18	Wwtr1	705	0.6631796360015869	0.20696002	Yes	
row_19	Igfbp7	711	0.6605817079544067	0.21741681	Yes	
row_20	Sparc	792	0.5946421027183533	0.20810482	No	
row_21	Ptp4a3	813	0.5878825783729553	0.2135541	No	
row_22	Prnp	853	0.5652090311050415	0.21388958	No	
row_23	Rit1	921	0.517790675163269	0.206441	No	
row_24	Notch1	956	0.5009744763374329	0.20687917	No	
row_25	Mapre3	1099	-0.5221946835517883	0.18090738	No	
row_26	Svil	1206	-0.5420942306518555	0.16421652	No	
row_27	Bag1	1219	-0.5429027080535889	0.17085347	No	
row_28	Hbegf	1222	-0.543896496295929	0.17998816	No	
row_29	Foxo4	1340	-0.5642656087875366	0.16096172	No	
row_30	Erbb3	1362	-0.567521333694458	0.16580243	No	
row_31	Aplnr	1378	-0.5700002312660217	0.17217515	No	
row_32	Pick1	1384	-0.5709269046783447	0.18104443	No	
row_33	Gaa	1539	-0.6003738641738892	0.15348075	No	
row_34	Eif4a2	1758	-0.6406891345977783	0.110757925	No	
row_35	Pfkm	1805	-0.6492834687232971	0.110846005	No	
row_36	Rb1	1832	-0.6567367911338806	0.11602638	No	
row_37	Sirt2	1889	-0.6709919571876526	0.11401869	No	
row_38	Pde4dip	2060	-0.7120192646980286	0.08446366	No	
row_39	Ocel1	2221	-0.7437281012535095	0.057950255	No	
row_40	Eno3	2415	-0.7944813966751099	0.02415101	No	
row_41	Ptgis	2464	-0.8082345724105835	0.026557596	No	
row_42	Hdac5	2601	-0.8480808138847351	0.007844336	No	
row_43	Acsl1	2609	-0.8495227694511414	0.02115066	No	
row_44	Akt2	3033	-0.9868790507316589	-0.06628547	No	
row_45	Vipr1	3046	-0.9937902092933655	-0.05166469	No	
row_46	Reep1	3093	-1.0145820379257202	-0.045108296	No	
row_47	Sh2b1	3151	-1.0377893447875977	-0.040869147	No	
row_48	Mapk12	3165	-1.0454429388046265	-0.025581773	No	
row_49	Sorbs3	3256	-1.0963599681854248	-0.028490042	No	
row_50	Spdef	3388	-1.156804084777832	-0.04049668	No	
row_51	Clu	3405	-1.1623855829238892	-0.023882663	No	
row_52	Hspb8	3763	-1.451254963874817	-0.086727075	No	
row_53	Dtna	3836	-1.5807746648788452	-0.07659356	No	
row_54	Klf5	3839	-1.5831031799316406	-0.04905771	No	
row_55	Ctf1	3934	-1.7761496305465698	-0.04092106	No	
row_56	Stc2	3990	-2.074589252471924	-0.01782734	No	
row_57	Myl4	4041	-2.379443883895874	0.011904497	No	
