NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Tcirg1	541	0.8530437350273132	-0.11074067	No	
row_1	Atp6v0e	590	0.7945502400398254	-0.10112415	No	
row_2	Atp6v1e1	641	0.7200607657432556	-0.09401692	No	
row_3	Atp6v1g1	716	0.6547631025314331	-0.09461187	No	
row_4	Atp6v0b	884	0.5497878789901733	-0.12104862	No	
row_5	Echs1	962	-0.5005151033401489	-0.12655729	No	
row_6	Ndufc2	997	-0.5043358206748962	-0.121326946	No	
row_7	Mtx2	1006	-0.5055683851242065	-0.1096324	No	
row_8	Ndufab1	1098	-0.5220763683319092	-0.118020706	No	
row_9	Opa1	1108	-0.52357417345047	-0.10608654	No	
row_10	Vdac3	1133	-0.5275946855545044	-0.09775374	No	
row_11	Cox7a2l	1218	-0.5425815582275391	-0.10385609	No	
row_12	Ndufv2	1275	-0.5515545606613159	-0.10279021	No	
row_13	Ndufs3	1349	-0.565177857875824	-0.105560675	No	
row_14	Hsd17b10	1448	-0.5844050645828247	-0.113994665	No	
row_15	Decr1	1467	-0.5872128009796143	-0.10256543	No	
row_16	Hccs	1477	-0.5886368155479431	-0.08887161	No	
row_17	Rhot1	1519	-0.5965420007705688	-0.08287892	No	
row_18	Etfb	1565	-0.605242908000946	-0.077640265	No	
row_19	Idh3b	1568	-0.6057103276252747	-0.061753303	No	
row_20	Fh1	1687	-0.6274857521057129	-0.073968984	No	
row_21	Cox17	1863	-0.6644908785820007	-0.099282295	No	
row_22	Cox7c	2108	-0.7120192646980286	-0.14037672	Yes	
row_23	Immt	2168	-0.7325805425643921	-0.13515694	Yes	
row_24	Acaa2	2240	-0.7484612464904785	-0.13247576	Yes	
row_25	Uqcrc2	2273	-0.7554118037223816	-0.11996031	Yes	
row_26	Afg3l2	2280	-0.7568734884262085	-0.100974455	Yes	
row_27	Nqo2	2284	-0.7585618495941162	-0.08120091	Yes	
row_28	Idh3g	2294	-0.760113537311554	-0.062869444	Yes	
row_29	Bckdha	2457	-0.8059954047203064	-0.08114028	Yes	
row_30	Acadm	2482	-0.814380943775177	-0.06505126	Yes	
row_31	Acadsb	2492	-0.8175123929977417	-0.04516742	Yes	
row_32	Eci1	2554	-0.8337644934654236	-0.03770578	Yes	
row_33	Atp1b1	2559	-0.8348195552825928	-0.016117163	Yes	
row_34	Timm9	2596	-0.8463203310966492	-0.0021324176	Yes	
row_35	Ech1	2819	-0.9105648994445801	-0.0324156	Yes	
row_36	Ndufs2	2874	-0.9318004250526428	-0.020571155	Yes	
row_37	Hadha	2914	-0.9446799755096436	-0.0046682633	Yes	
row_38	Hspa9	2925	-0.9474492073059082	0.018482415	Yes	
row_39	Por	2959	-0.9596811532974243	0.036275066	Yes	
row_40	Cyb5a	3121	-1.027186393737793	0.024233758	Yes	
row_41	Acat1	3248	-1.0918673276901245	0.02259871	Yes	
row_42	Oxa1l	3276	-1.1037869453430176	0.0457728	Yes	
row_43	Aldh6a1	3480	-1.2024641036987305	0.028083611	Yes	
row_44	Phyh	3626	-1.310402274131775	0.027659435	Yes	
row_45	Idh2	3729	-1.4163705110549927	0.040736873	Yes	
row_46	Oat	3935	-1.7769615650177002	0.038090486	Yes	
