NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Il1a	44	2.8115427494049072	0.0277726	Yes	
row_1	Hmox1	55	2.683816909790039	0.062245976	Yes	
row_2	S100a10	66	2.5552029609680176	0.094948076	Yes	
row_3	Mxd1	69	2.5271685123443604	0.12925464	Yes	
row_4	Slc7a11	126	1.9400575160980225	0.14203931	Yes	
row_5	Ctsd	150	1.8297816514968872	0.16151626	Yes	
row_6	Cdkn1a	192	1.6247175931930542	0.17369035	Yes	
row_7	Ada	198	1.6008636951446533	0.19449338	Yes	
row_8	Krt17	201	1.5949805974960327	0.21596183	Yes	
row_9	Cdkn2b	211	1.5621294975280762	0.23523614	Yes	
row_10	Clca2	246	1.4506009817123413	0.246754	Yes	
row_11	Epha2	251	1.4474784135818481	0.26569343	Yes	
row_12	Ndrg1	276	1.3796806335449219	0.27872276	Yes	
row_13	Atf3	373	1.1074085235595703	0.27008748	Yes	
row_14	Dram1	382	1.092301607131958	0.28314012	Yes	
row_15	Abcc5	400	1.046972632408142	0.29332912	Yes	
row_16	Nupr1	443	0.9877089262008667	0.29648152	Yes	
row_17	Gadd45a	473	0.9443278908729553	0.30227107	Yes	
row_18	Upp1	492	0.9083175659179688	0.31030172	Yes	
row_19	Ier5	493	0.9081326723098755	0.32280853	Yes	
row_20	Cdkn2a	509	0.8888847827911377	0.331318	Yes	
row_21	Ppp1r15a	552	0.8425695896148682	0.3324715	Yes	
row_22	Rap2b	629	0.7302030920982361	0.3236177	Yes	
row_23	Klf4	662	0.7013779282569885	0.32531488	Yes	
row_24	Sphk1	672	0.691336452960968	0.33259663	Yes	
row_25	Apaf1	690	0.6802982091903687	0.3377358	Yes	
row_26	Def6	777	0.6042401194572449	0.32465902	Yes	
row_27	Gm2a	815	0.5852468013763428	0.3235128	Yes	
row_28	Sat1	817	0.5843486189842224	0.3313116	Yes	
row_29	Stom	820	0.5812881588935852	0.3388195	Yes	
row_30	Sfn	834	0.5733829736709595	0.34348148	Yes	
row_31	Fam162a	909	0.5266749858856201	0.33232233	No	
row_32	Tax1bp3	953	0.5026623606681824	0.3285458	No	
row_33	Notch1	956	0.5009744763374329	0.33494762	No	
row_34	Cgrrf1	1083	-0.5193741321563721	0.31074935	No	
row_35	Hbegf	1222	-0.543896496295929	0.283903	No	
row_36	Prmt2	1232	-0.5451219081878662	0.28917107	No	
row_37	Sesn1	1246	-0.5472744703292847	0.2934735	No	
row_38	Hdac3	1291	-0.5540174245834351	0.29015544	No	
row_39	Slc35d1	1376	-0.5700002312660217	0.27710477	No	
row_40	Tm7sf3	1636	-0.6183601021766663	0.22117694	No	
row_41	Tchh	1693	-0.6279549598693848	0.21589133	No	
row_42	Tsc22d1	1718	-0.6326186656951904	0.21863213	No	
row_43	Rb1	1832	-0.6567367911338806	0.19956027	No	
row_44	Abhd4	1960	-0.6858217120170593	0.1774055	No	
row_45	Ccnd3	2040	-0.7004312872886658	0.16739523	No	
row_46	Ip6k2	2137	-0.7259584069252014	0.15350659	No	
row_47	Fas	2311	-0.7644866704940796	0.12098958	No	
row_48	Slc19a2	2571	-0.8403433561325073	0.068118915	No	
row_49	Fbxw7	2582	-0.842603325843811	0.07723507	No	
row_50	Tob1	2615	-0.8534389734268188	0.081026465	No	
row_51	Pmm1	2637	-0.8578701019287109	0.08761588	No	
row_52	Pidd1	2639	-0.8578701019287109	0.09918166	No	
row_53	F2r	2690	-0.8719601631164551	0.0987494	No	
row_54	Fdxr	2703	-0.8755179643630981	0.10782122	No	
row_55	Ptpn14	2757	-0.8921008706092834	0.106919885	No	
row_56	Txnip	2924	-0.9468244314193726	0.07865576	No	
row_57	Nol8	2949	-0.9552903771400452	0.08584039	No	
row_58	Cd82	2976	-0.9651119112968445	0.092662655	No	
row_59	Ddb2	2996	-0.9750536680221558	0.101363555	No	
row_60	Tspyl2	3021	-0.9821084141731262	0.108917534	No	
row_61	Aen	3036	-0.9885368943214417	0.119048215	No	
row_62	Tap1	3068	-1.0041999816894531	0.1251647	No	
row_63	Coq8a	3108	-1.0213472843170166	0.12952681	No	
row_64	Ctsf	3141	-1.0339473485946655	0.13580416	No	
row_65	Fos	3189	-1.0575417280197144	0.13867418	No	
row_66	Wwp1	3275	-1.103444218635559	0.13272129	No	
row_67	Kif13b	3318	-1.1194435358047485	0.13768792	No	
row_68	Tcn2	3391	-1.1579627990722656	0.13572049	No	
row_69	Prkab1	3413	-1.1646510362625122	0.1465349	No	
row_70	Dcxr	3823	-1.5551375150680542	0.06618567	No	
