NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Abcc5	400	1.046972632408142	-0.047753993	No	
row_1	Cln8	421	1.0173331499099731	-0.0035054572	No	
row_2	Sult2b1	497	0.9009576439857483	0.021595348	No	
row_3	Cat	639	0.7209401726722717	0.021768004	No	
row_4	Acsl4	908	0.5270519256591797	-0.018656611	No	
row_5	Cln6	966	-0.500964343547821	-0.008461009	No	
row_6	Slc25a19	973	-0.5014522671699524	0.014298129	No	
row_7	Hsd17b11	1184	-0.5364806056022644	-0.011409687	No	
row_8	Nudt19	1203	-0.5413488745689392	0.010327015	No	
row_9	Smarcc1	1250	-0.5476323962211609	0.025482709	No	
row_10	Hsd17b4	2245	-0.7491085529327393	-0.1827202	No	
row_11	Fads1	2281	-0.7574111223220825	-0.15472151	No	
row_12	Hsd3b7	2573	-0.8407525420188904	-0.18564074	Yes	
row_13	Acsl1	2609	-0.8495227694511414	-0.15319043	Yes	
row_14	Sod1	2691	-0.8736967444419861	-0.1308824	Yes	
row_15	Elovl5	2766	-0.8950492143630981	-0.10582126	Yes	
row_16	Ech1	2819	-0.9105648994445801	-0.07460088	Yes	
row_17	Pex13	2838	-0.9184701442718506	-0.03463848	Yes	
row_18	Pex11a	3020	-0.9821084141731262	-0.031679217	Yes	
row_19	Aldh9a1	3166	-1.046438217163086	-0.016759263	Yes	
row_20	Abcd3	3317	-1.1193623542785645	4.5559907E-4	Yes	
row_21	Idh2	3729	-1.4163705110549927	-0.032150652	Yes	
row_22	Aldh1a1	4051	-2.49174427986145	0.009343609	Yes	
