NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Abca1	172	1.7163408994674683	0.021227123	No	
row_1	Gla	228	1.5042986869812012	0.06340405	No	
row_2	Bnip3	365	1.118055820465088	0.07133418	No	
row_3	Cd63	632	0.7271551489830017	0.03278198	No	
row_4	Kif1b	923	0.5176355838775635	-0.019438947	No	
row_5	Mon2	1103	-0.5229853987693787	-0.044135284	No	
row_6	Cav2	1299	-0.5548728108406067	-0.0715895	No	
row_7	Cog2	1454	-0.5854868292808533	-0.087816276	No	
row_8	Rab5a	1588	-0.6089257597923279	-0.098005034	No	
row_9	Gbf1	1737	-0.6362034678459167	-0.110876225	No	
row_10	Vamp4	1894	-0.6724908947944641	-0.12437286	No	
row_11	Stam	1945	-0.6834501028060913	-0.11136806	No	
row_12	Arfgef1	2351	-0.7743034958839417	-0.18239355	No	
row_13	Golga4	2488	-0.8172014951705933	-0.18560663	Yes	
row_14	Snx2	2507	-0.8199345469474792	-0.15966876	Yes	
row_15	Copb1	2636	-0.8574942946434021	-0.15941997	Yes	
row_16	Sod1	2691	-0.8736967444419861	-0.14035344	Yes	
row_17	Lamp2	2707	-0.8772063255310059	-0.111555755	Yes	
row_18	Ocrl	2745	-0.8875908255577087	-0.087789476	Yes	
row_19	Ap3s1	2863	-0.9296106696128845	-0.08216158	Yes	
row_20	Sgms1	3032	-0.9850377440452576	-0.08703614	Yes	
row_21	Arfgap3	3188	-1.056283712387085	-0.08607146	Yes	
row_22	Tom1l1	3232	-1.083988070487976	-0.056508023	Yes	
row_23	Dop1a	3273	-1.1032099723815918	-0.025494078	Yes	
row_24	Gosr2	3316	-1.1183395385742188	0.005587872	Yes	
row_25	Ica1	3840	-1.5864883661270142	-0.064405195	Yes	
row_26	Sh3gl2	3857	-1.6258625984191895	-0.008124534	Yes	
row_27	Pam	3917	-1.7547401189804077	0.042343646	Yes	
