NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Alox15	533	0.8649059534072876	-0.087431535	No	
row_1	Ace	681	0.6854159235954285	-0.089072295	No	
row_2	Cdk1	724	0.6505508422851562	-0.06667417	No	
row_3	Mllt10	1078	-0.5180085897445679	-0.12733535	No	
row_4	Vdac3	1133	-0.5275946855545044	-0.11406814	No	
row_5	Tsn	1281	-0.5525410175323486	-0.12239093	No	
row_6	Strbp	1723	-0.634016752243042	-0.1988346	No	
row_7	Nphp1	1891	-0.6713772416114807	-0.20609413	No	
row_8	Spata6	2214	-0.742392897605896	-0.2478566	No	
row_9	Nek2	2485	-0.8158550262451172	-0.27315152	No	
row_10	Mast2	2505	-0.818934440612793	-0.23663598	No	
row_11	Pias2	2526	-0.8266618251800537	-0.19997749	No	
row_12	Phf7	2552	-0.8333255052566528	-0.16421208	No	
row_13	Zc3h14	2693	-0.8737702965736389	-0.15466137	No	
row_14	Hspa2	3696	-1.3776001930236816	-0.33151555	Yes	
row_15	Ift88	3740	-1.4282262325286865	-0.2702552	Yes	
row_16	Cftr	3743	-1.4319113492965698	-0.19873832	Yes	
row_17	Slc12a2	4021	-2.250439167022705	-0.15361013	Yes	
row_18	Mlf1	4085	-3.381870746612549	9.825961E-4	Yes	
