NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Serpine1	89	2.2954752445220947	0.13283184	Yes	
row_1	Rab31	156	1.7748582363128662	0.23622829	Yes	
row_2	Ppp1r15a	552	0.8425695896148682	0.19602564	Yes	
row_3	Wwtr1	705	0.6631796360015869	0.20339578	Yes	
row_4	Hipk2	725	0.6505508422851562	0.24256897	Yes	
row_5	Ski	727	0.6456520557403564	0.28583142	Yes	
row_6	Eng	867	0.5595771670341492	0.28941193	Yes	
row_7	Smurf1	905	0.5289888381958008	0.3159742	Yes	
row_8	Smad6	1086	-0.5193741321563721	0.30677933	Yes	
row_9	Fnta	1273	-0.5507383346557617	0.29822484	Yes	
row_10	Smad3	1449	-0.5844311714172363	0.29464146	Yes	
row_11	Hdac1	1490	-0.5920194387435913	0.32471457	Yes	
row_12	Tgif1	1899	-0.673338770866394	0.26991636	No	
row_13	Smurf2	2298	-0.7609288096427917	0.2234757	No	
row_14	Cdkn1c	2722	-0.8819442391395569	0.1790518	No	
row_15	Cdh1	2989	-0.9750536680221558	0.17944871	No	
row_16	Bmpr1a	3653	-1.3411815166473389	0.10704639	No	
