NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Cxcl5	16	3.9744813442230225	0.044014353	Yes	
row_1	Il1a	44	2.8115427494049072	0.071241364	Yes	
row_2	Mxd1	69	2.5271685123443604	0.095781565	Yes	
row_3	Tnc	84	2.358370065689087	0.120775595	Yes	
row_4	Serpine1	89	2.2954752445220947	0.14750253	Yes	
row_5	Plek	95	2.23699688911438	0.17327394	Yes	
row_6	Il1b	129	1.9124716520309448	0.18814677	Yes	
row_7	Plau	136	1.8953111171722412	0.20954216	Yes	
row_8	Abca1	172	1.7163408994674683	0.22154768	Yes	
row_9	Cdkn1a	192	1.6247175931930542	0.23643465	Yes	
row_10	Dusp4	216	1.5359082221984863	0.24925202	Yes	
row_11	Dusp1	239	1.4681015014648438	0.26149967	Yes	
row_12	Map2k3	282	1.3670523166656494	0.26754186	Yes	
row_13	Ehd1	313	1.2367554903030396	0.2750014	Yes	
row_14	Irf1	372	1.1105220317840576	0.27395725	Yes	
row_15	Atf3	373	1.1074085235595703	0.28733215	Yes	
row_16	Dram1	382	1.092301607131958	0.29853058	Yes	
row_17	Tnfaip2	387	1.0859698057174683	0.3106495	Yes	
row_18	Zc3h12a	419	1.019784688949585	0.3152393	Yes	
row_19	Plaur	426	1.0124945640563965	0.32597235	Yes	
row_20	Gadd45a	473	0.9443278908729553	0.325912	Yes	
row_21	Nfkb1	486	0.9182672500610352	0.33401147	Yes	
row_22	Plpp3	490	0.910279393196106	0.34425774	Yes	
row_23	Ier5	493	0.9081326723098755	0.35472736	Yes	
row_24	Tnf	495	0.9068905711174011	0.36543122	Yes	
row_25	Cebpb	504	0.8967139720916748	0.3742674	Yes	
row_26	Gadd45b	522	0.8729432821273804	0.3805732	Yes	
row_27	Serpinb2	527	0.8729432821273804	0.39011928	Yes	
row_28	Ppp1r15a	552	0.8425695896148682	0.39431348	Yes	
row_29	Cd44	562	0.8335651159286499	0.40213773	Yes	
row_30	Birc3	607	0.7578667402267456	0.40032387	Yes	
row_31	Tubb2a	652	0.7114798426628113	0.39794978	Yes	
row_32	Klf4	662	0.7013779282569885	0.40417752	Yes	
row_33	Sphk1	672	0.691336452960968	0.41028395	Yes	
row_34	Cflar	686	0.6802982091903687	0.41526008	Yes	
row_35	Maff	776	0.6046048402786255	0.40037885	Yes	
row_36	B4galt5	778	0.6019819378852844	0.4074001	Yes	
row_37	Sat1	817	0.5843486189842224	0.40498608	Yes	
row_38	Dennd5a	827	0.5758470296859741	0.40969768	Yes	
row_39	Litaf	856	0.5641378164291382	0.4095321	Yes	
row_40	Dusp5	861	0.5629878044128418	0.41533464	Yes	
row_41	Ackr3	918	0.5242787599563599	0.4077086	Yes	
row_42	Tank	933	0.5140488147735596	0.41042754	Yes	
row_43	Rela	943	0.5089511275291443	0.4143312	Yes	
row_44	Mcl1	950	0.5047266483306885	0.4189316	Yes	
row_45	Nfkbia	954	0.5016874670982361	0.42424306	Yes	
row_46	Il6st	1089	-0.5200324654579163	0.39712402	No	
row_47	Hbegf	1222	-0.543896496295929	0.3707917	No	
row_48	Klf9	1352	-0.5657008290290833	0.34547052	No	
row_49	Smad3	1449	-0.5844311714172363	0.32860085	No	
row_50	Nfat5	1506	-0.5965420007705688	0.32184756	No	
row_51	Stat5a	1551	-0.6023947596549988	0.31815597	No	
row_52	Tsc22d1	1718	-0.6326186656951904	0.28442064	No	
row_53	Fut4	1801	-0.6490094661712646	0.27182046	No	
row_54	Ptger4	1845	-0.6595517992973328	0.26906845	No	
row_55	Tgif1	1899	-0.673338770866394	0.26399043	No	
row_56	Irs2	1906	-0.6741510629653931	0.27063707	No	
row_57	Fjx1	1964	-0.6873571872711182	0.26473135	No	
row_58	Cebpd	2002	-0.6933231353759766	0.26388273	No	
row_59	Sgk1	2539	-0.8286641836166382	0.14029184	No	
row_60	Trip10	2549	-0.8316008448600769	0.14809236	No	
row_61	Relb	2560	-0.8348760008811951	0.15568317	No	
row_62	Areg	2629	-0.8558891415596008	0.14907114	No	
row_63	Birc2	2641	-0.8588606119155884	0.15670238	No	
row_64	Jag1	2743	-0.8873863220214844	0.14224544	No	
row_65	Per1	2753	-0.8901989459991455	0.15075369	No	
row_66	Nr4a2	2921	-0.9464845061302185	0.12055987	No	
row_67	Tap1	3068	-1.0041999816894531	0.09629741	No	
row_68	Il18	3078	-1.0102430582046509	0.1062555	No	
row_69	Fos	3189	-1.0575417280197144	0.09161037	No	
row_70	Ccnd1	3303	-1.1119498014450073	0.07687461	No	
row_71	Tlr2	3387	-1.1556259393692017	0.070143916	No	
row_72	Clcf1	3433	-1.1776827573776245	0.0731512	No	
row_73	Rel	3500	-1.2095189094543457	0.071308695	No	
row_74	Egr1	3532	-1.2339719533920288	0.078485355	No	
row_75	Dnajb4	3750	-1.4399397373199463	0.041788705	No	
row_76	Tnfaip8	3837	-1.5811717510223389	0.03944985	No	
row_77	F2rl1	3967	-1.9136531352996826	0.030408738	No	
