NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Wfs1	310	1.2619855403900146	-0.037383765	No	
row_1	Atf3	373	1.1074085235595703	-0.018406201	No	
row_2	Cebpb	504	0.8967139720916748	-0.02271288	No	
row_3	Tubb2a	652	0.7114798426628113	-0.03694208	No	
row_4	Ssr1	710	0.6606158018112183	-0.03055568	No	
row_5	Psat1	766	0.6130080819129944	-0.025149181	No	
row_6	Eif2ak3	781	0.600975751876831	-0.010006485	No	
row_7	Wipi1	941	0.5103731751441956	-0.033416566	No	
row_8	Exoc2	1289	-0.5535898804664612	-0.10184059	No	
row_9	Edc4	1533	-0.5998097062110901	-0.14319354	No	
row_10	Cnot6	1682	-0.6266277432441711	-0.16029464	No	
row_11	Eif4a2	1758	-0.6406891345977783	-0.15896265	No	
row_12	Parn	1811	-0.6506186723709106	-0.15165283	No	
row_13	Sdad1	2025	-0.6967524886131287	-0.18260989	No	
row_14	Pop4	2295	-0.760113537311554	-0.22541323	No	
row_15	Mtrex	2367	-0.7791334390640259	-0.21881154	No	
row_16	Nfyb	2441	-0.8012865781784058	-0.21201752	No	
row_17	Xbp1	2672	-0.8671215772628784	-0.24189463	No	
row_18	Paip1	2913	-0.9444653391838074	-0.27184418	Yes	
row_19	Hspa9	2925	-0.9474492073059082	-0.24524184	Yes	
row_20	Dcp2	2964	-0.9610467553138733	-0.2248756	Yes	
row_21	Bag3	3005	-0.9750536680221558	-0.20456907	Yes	
row_22	Tspyl2	3021	-0.9821084141731262	-0.17788056	Yes	
row_23	Dnajc3	3125	-1.0284929275512695	-0.17145315	Yes	
row_24	Kif5b	3281	-1.1065926551818848	-0.17542982	Yes	
row_25	Dnaja4	3313	-1.1172757148742676	-0.14850397	Yes	
row_26	Gosr2	3316	-1.1183395385742188	-0.114395306	Yes	
row_27	Hyou1	3322	-1.1270567178726196	-0.08075656	Yes	
row_28	Mthfd2	3458	-1.1911870241165161	-0.07718489	Yes	
row_29	Pdia5	3468	-1.1974461078643799	-0.042354483	Yes	
row_30	Exosc4	3545	-1.2425339221954346	-0.022647774	Yes	
row_31	Exosc10	3563	-1.2563397884368896	0.012032443	Yes	
row_32	Kdelr3	3903	-1.7120192050933838	-0.018577041	Yes	
row_33	Stc2	3990	-2.074589252471924	0.02440823	Yes	
