NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Ctsl	15	3.988075017929077	0.10931617	Yes	
row_1	Hmox1	55	2.683816909790039	0.17575325	Yes	
row_2	Cdkn2b	211	1.5621294975280762	0.18179695	Yes	
row_3	Creg1	280	1.373372197151184	0.20394659	Yes	
row_4	Slc6a8	315	1.227062702178955	0.23033476	Yes	
row_5	Irf1	372	1.1105220317840576	0.24799496	Yes	
row_6	Atf3	373	1.1074085235595703	0.27937704	Yes	
row_7	Dnajb1	534	0.862385094165802	0.26435813	No	
row_8	Tfrc	668	0.6960654854774475	0.25128445	No	
row_9	Arrb2	786	0.5999247431755066	0.23943202	No	
row_10	Maoa	889	0.5443205237388611	0.22970302	No	
row_11	Nfkbia	954	0.5016874670982361	0.22813702	No	
row_12	Rpn1	1015	-0.5074480772018433	0.22772068	No	
row_13	Il6st	1089	-0.5200324654579163	0.22445506	No	
row_14	Urod	1150	-0.5300788879394531	0.22468005	No	
row_15	Tst	1483	-0.590485692024231	0.1595392	No	
row_16	Tmbim6	1599	-0.6106311678886414	0.1484834	No	
row_17	Tchh	1693	-0.6279549598693848	0.14334393	No	
row_18	Stard3	1751	-0.639610767364502	0.1474127	No	
row_19	Clcn2	1999	-0.6931602358818054	0.106143236	No	
row_20	Ccnd3	2040	-0.7004312872886658	0.11612791	No	
row_21	Spr	2241	-0.7485451102256775	0.08801859	No	
row_22	Ppif	2248	-0.7499158382415771	0.107790284	No	
row_23	Cnp	2305	-0.7632445693016052	0.115609236	No	
row_24	Stk25	2388	-0.7871682643890381	0.1176943	No	
row_25	Bsg	2530	-0.8270471096038818	0.106359534	No	
row_26	Klhdc3	2590	-0.8449580669403076	0.115754284	No	
row_27	Cdkn1c	2722	-0.8819442391395569	0.1084413	No	
row_28	E2f5	2910	-0.94334477186203	0.08905819	No	
row_29	Ppat	3052	-0.9944189786911011	0.08246646	No	
row_30	Tap1	3068	-1.0041999816894531	0.10722465	No	
row_31	Fos	3189	-1.0575417280197144	0.1076005	No	
row_32	Sult1a1	3309	-1.1164095401763916	0.109891176	No	
row_33	Hspa2	3696	-1.3776001930236816	0.053738922	No	
row_34	Chka	3801	-1.5149823427200317	0.07102361	No	
