NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
HALLMARK_ADIPOGENESIS	200	71		
HALLMARK_ALLOGRAFT_REJECTION	192	40		
HALLMARK_ANDROGEN_RESPONSE	96	35		
HALLMARK_ANGIOGENESIS	36		Rejected!	
HALLMARK_APICAL_JUNCTION	199	48		
HALLMARK_APICAL_SURFACE	44		Rejected!	
HALLMARK_APOPTOSIS	161	56		
HALLMARK_BILE_ACID_METABOLISM	111	28		
HALLMARK_CHOLESTEROL_HOMEOSTASIS	71	29		
HALLMARK_COAGULATION	134	38		
HALLMARK_COMPLEMENT	185	63		
HALLMARK_DNA_REPAIR	148	36		
HALLMARK_E2F_TARGETS	199	37		
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	194	64		
HALLMARK_ESTROGEN_RESPONSE_EARLY	197	69		
HALLMARK_ESTROGEN_RESPONSE_LATE	194	65		
HALLMARK_FATTY_ACID_METABOLISM	155	55		
HALLMARK_G2M_CHECKPOINT	195	41		
HALLMARK_GLYCOLYSIS	200	72		
HALLMARK_HEDGEHOG_SIGNALING	36		Rejected!	
HALLMARK_HEME_METABOLISM	189	47		
HALLMARK_HYPOXIA	199	65		
HALLMARK_IL2_STAT5_SIGNALING	199	64		
HALLMARK_IL6_JAK_STAT3_SIGNALING	85	23		
HALLMARK_INFLAMMATORY_RESPONSE	197	58		
HALLMARK_INTERFERON_ALPHA_RESPONSE	94	25		
HALLMARK_INTERFERON_GAMMA_RESPONSE	188	46		
HALLMARK_KRAS_SIGNALING_DN	194	41		
HALLMARK_KRAS_SIGNALING_UP	198	75		
HALLMARK_MITOTIC_SPINDLE	199	44		
HALLMARK_MTORC1_SIGNALING	199	55		
HALLMARK_MYC_TARGETS_V1	197	31		
HALLMARK_MYC_TARGETS_V2	58		Rejected!	
HALLMARK_MYOGENESIS	199	58		
HALLMARK_NOTCH_SIGNALING	32		Rejected!	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	195	47		
HALLMARK_P53_PATHWAY	200	71		
HALLMARK_PANCREAS_BETA_CELLS	39		Rejected!	
HALLMARK_PEROXISOME	103	23		
HALLMARK_PI3K_AKT_MTOR_SIGNALING	105	22		
HALLMARK_PROTEIN_SECRETION	94	28		
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	48	16		
HALLMARK_SPERMATOGENESIS	135	19		
HALLMARK_TGF_BETA_SIGNALING	53	17		
HALLMARK_TNFA_SIGNALING_VIA_NFKB	196	78		
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	111	34		
HALLMARK_UV_RESPONSE_DN	144	52		
HALLMARK_UV_RESPONSE_UP	156	35		
HALLMARK_WNT_BETA_CATENIN_SIGNALING	42		Rejected!	
HALLMARK_XENOBIOTIC_METABOLISM	196	69		
