NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	28	-0.34748626	-1.5339988	0.047933884	0.530312	0.65	1865	tags=75%, list=46%, signal=137%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	19	-0.40079254	-1.5331686	0.053264603	0.26614267	0.652	395	tags=26%, list=10%, signal=29%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	34	-0.30106622	-1.3679417	0.1118421	0.45520362	0.949	1178	tags=47%, list=29%, signal=66%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	41	-0.26090243	-1.2557131	0.16744186	0.5739127	0.993	370	tags=22%, list=9%, signal=24%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	69	-0.20060904	-1.1138291	0.30806452	0.83336127	1.0	998	tags=33%, list=24%, signal=43%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	65	-0.18052626	-1.0022943	0.44517186	0.9967457	1.0	796	tags=28%, list=19%, signal=34%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	35	-0.20330438	-0.950636	0.5477707	0.9952117	1.0	928	tags=31%, list=23%, signal=40%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	28	-0.2158746	-0.92780745	0.5517799	0.9240649	1.0	1603	tags=54%, list=39%, signal=87%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	23	-0.22627303	-0.91835684	0.5779221	0.8407303	1.0	1518	tags=48%, list=37%, signal=76%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	37	-0.1862657	-0.90084326	0.59150326	0.78995436	1.0	1162	tags=35%, list=28%, signal=49%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	47	-0.15963352	-0.8074717	0.738437	0.8722413	1.0	1983	tags=53%, list=48%, signal=102%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	44	-0.15920834	-0.7881239	0.75279105	0.8268238	1.0	820	tags=25%, list=20%, signal=31%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	41	-0.15707582	-0.7454116	0.81569964	0.81650054	1.0	3455	tags=100%, list=84%, signal=638%	
