NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	64	0.66067773	3.8383126	0.0	0.0	0.0	817	tags=78%, list=20%, signal=96%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	63	0.5986769	3.399341	0.0	0.0	0.0	548	tags=52%, list=13%, signal=60%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	75	0.47710836	2.9919906	0.0	0.0	0.0	714	tags=49%, list=17%, signal=59%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	48	0.5115546	2.7534955	0.0	0.0	0.0	974	tags=67%, list=24%, signal=86%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	38	0.5503548	2.738079	0.0	0.0	0.0	792	tags=63%, list=19%, signal=78%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	23	0.635102	2.694919	0.0	0.0	0.0	562	tags=65%, list=14%, signal=75%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	58	0.4903665	2.687352	0.0	0.0	0.0	548	tags=45%, list=13%, signal=51%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	78	0.42424306	2.5252647	0.0	0.0	0.0	954	tags=59%, list=23%, signal=75%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	40	0.47837824	2.3744507	0.0	2.5641028E-4	0.001	890	tags=68%, list=22%, signal=85%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	65	0.3766922	2.1852589	0.0	8.840587E-4	0.005	776	tags=49%, list=19%, signal=60%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	64	0.34934667	2.0784485	0.0	0.0029903937	0.019	738	tags=41%, list=18%, signal=49%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	71	0.34348148	2.0318408	0.0054054055	0.005037428	0.033	834	tags=44%, list=20%, signal=54%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	56	0.3431489	1.9329103	0.0	0.008607455	0.059	950	tags=52%, list=23%, signal=67%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	55	0.3426817	1.9037918	0.0	0.009686839	0.071	949	tags=51%, list=23%, signal=65%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	29	0.36510095	1.7337894	0.023622047	0.026906302	0.2	885	tags=55%, list=22%, signal=70%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	46	0.2849115	1.4439138	0.052493438	0.144295	0.746	954	tags=52%, list=23%, signal=67%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	35	0.27937704	1.3729025	0.1171875	0.18467084	0.845	373	tags=20%, list=9%, signal=22%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	17	0.32471457	1.2878417	0.16136919	0.25372356	0.932	1490	tags=71%, list=36%, signal=111%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	22	0.28762805	1.2375903	0.21287128	0.30470896	0.956	942	tags=50%, list=23%, signal=65%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	58	0.21741681	1.2259353	0.21674877	0.30441874	0.964	711	tags=34%, list=17%, signal=41%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS		72	0.20078693	1.1946579	0.21563342	0.3320658	0.98	724	tags=32%, list=18%, signal=38%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE		25	0.26365194	1.1944138	0.23	0.31753442	0.98	1012	tags=52%, list=25%, signal=69%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM		69	0.18462934	1.0888014	0.33043477	0.44543043	0.995	89	tags=9%, list=2%, signal=9%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		71	0.18258353	1.0631294	0.35162094	0.46905893	0.999	346	tags=15%, list=8%, signal=17%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY		16	0.27687776	1.0465635	0.40145984	0.473905	1.0	2961	tags=100%, list=72%, signal=361%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1		31	0.21356319	0.9979046	0.469657	0.5340732	1.0	2537	tags=90%, list=62%, signal=236%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN		52	0.17140345	0.9395541	0.55725193	0.60436606	1.0	490	tags=21%, list=12%, signal=24%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM		55	0.15526669	0.8489425	0.6964286	0.72593695	1.0	283	tags=11%, list=7%, signal=12%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR		36	0.14936642	0.7363033	0.7933673	0.8495038	1.0	3086	tags=94%, list=75%, signal=381%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM		47	0.12198462	0.6426906	0.9051282	0.91103894	1.0	979	tags=36%, list=24%, signal=47%	
