NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Grhl1	206	2.529909133911133	0.024559112	No	
row_1	Rassf5	248	2.31717848777771	0.07786437	No	
row_2	Mif	323	1.9909502267837524	0.1155756	No	
row_3	Epn3	379	1.758007526397705	0.1510323	No	
row_4	Hspb1	460	1.5298693180084229	0.17518269	No	
row_5	Ifitm10	584	1.2327512502670288	0.18242979	No	
row_6	Cryab	800	0.8687027096748352	0.16076359	No	
row_7	Ppp1r13l	816	0.8477350473403931	0.18026517	No	
row_8	Palld	927	0.7247119545936584	0.17666194	No	
row_9	Tpm1	1262	-0.514467179775238	0.12071121	No	
row_10	Rab1b	1457	-0.542436420917511	0.0947164	No	
row_11	Rtl8b	1823	-0.6041194200515747	0.03469125	No	
row_12	Rbpms	2228	-0.6756499409675598	-0.031561185	No	
row_13	Pnkd	2487	-0.7258250117301941	-0.06601305	No	
row_14	Hcfc1r1	2783	-0.7867817282676697	-0.10655722	No	
row_15	Atp1a1	3251	-0.9162605404853821	-0.17953049	No	
row_16	Got1	3326	-0.9385582804679871	-0.1699139	No	
row_17	Fhl2	3508	-0.9997371435165405	-0.18098833	No	
row_18	Mical2	3554	-1.0155198574066162	-0.1632667	No	
row_19	Pkp2	3589	-1.0278493165969849	-0.14292091	No	
row_20	Eno3	3938	-1.2073179483413696	-0.18329623	Yes	
row_21	Bmp2	4098	-1.3223484754562378	-0.1811682	Yes	
row_22	Slc8a1	4109	-1.3344212770462036	-0.14763086	Yes	
row_23	Atp1b1	4241	-1.458484172821045	-0.1360267	Yes	
row_24	Csrp2	4490	-1.7938529253005981	-0.1398801	Yes	
row_25	Myh7	4666	-2.244079828262329	-0.11648373	Yes	
row_26	Dmd	4759	-2.717663288116455	-0.063127644	Yes	
row_27	Gata5	4777	-2.8336093425750732	0.00897155	Yes	
