NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Flrt2	142	3.126912832260132	0.124827616	No	
row_1	Slc7a11	277	2.1980738639831543	0.20546354	No	
row_2	Slc6a20a	741	0.9495389461517334	0.15600386	No	
row_3	Colec12	908	0.7513532042503357	0.15855761	No	
row_4	Lrrk2	919	0.738642156124115	0.19294326	No	
row_5	Bgn	1714	-0.5835893154144287	0.0565446	No	
row_6	Il6st	2082	-0.6499391198158264	0.012268867	No	
row_7	Ifi27	2905	-0.8145292401313782	-0.11855446	No	
row_8	Ghdc	3526	-1.0067850351333618	-0.19785543	No	
row_9	Syt12	4086	-1.3162661790847778	-0.24918501	Yes	
row_10	Gmds	4203	-1.411562204360962	-0.20363343	Yes	
row_11	Alcam	4291	-1.495877742767334	-0.14788511	Yes	
row_12	Sidt1	4350	-1.5747743844985962	-0.08220758	Yes	
row_13	Dock5	4454	-1.7486236095428467	-0.01731051	Yes	
row_14	Itgbl1	4539	-1.8889646530151367	0.05846852	Yes	
