NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Pthlh	152	3.0004491806030273	0.076046675	No	
row_1	Dusp14	324	1.9882560968399048	0.11180737	No	
row_2	Igfbp2	408	1.6675715446472168	0.15437977	No	
row_3	Pef1	2385	-0.7033358812332153	-0.23178528	No	
row_4	Scrn2	2803	-0.790881335735321	-0.2902193	No	
row_5	Dkk3	2880	-0.8098540306091309	-0.2769751	No	
row_6	Wls	3401	-0.961086630821228	-0.350745	No	
row_7	Ezr	3702	-1.081100344657898	-0.37440255	No	
row_8	Cfap69	4013	-1.2551968097686768	-0.39389342	Yes	
row_9	Ccdc149	4170	-1.3866828680038452	-0.37660164	Yes	
row_10	Bbs9	4205	-1.4122997522354126	-0.3329896	Yes	
row_11	Zkscan7	4209	-1.415428876876831	-0.282811	Yes	
row_12	Slc2a12	4293	-1.4983969926834106	-0.24631067	Yes	
row_13	1700088E04Rik	4383	-1.6212537288665771	-0.20664993	Yes	
row_14	Clmn	4396	-1.635765790939331	-0.15043668	Yes	
row_15	Shroom3	4545	-1.9040477275848389	-0.11290976	Yes	
row_16	Capsl	4550	-1.9134345054626465	-0.04506466	Yes	
row_17	Slc5a3	4776	-2.815946578979492	0.009160916	Yes	
