NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Dhrs9	86	3.897840738296509	-0.0021795998	No	
row_1	Slc25a48	192	2.647876739501953	-0.01368361	No	
row_2	Stra6l	236	2.3689966201782227	-0.013013828	No	
row_3	Slc36a2	269	2.2398362159729004	-0.010517945	No	
row_4	F7	279	2.1879496574401855	-0.0032899694	No	
row_5	Bdh1	364	1.8075895309448242	-0.0137946615	No	
row_6	Itih4	375	1.7667344808578491	-0.008546232	No	
row_7	Apoc1	386	1.7386422157287598	-0.0034154723	No	
row_8	Hsd17b2	393	1.711369276046753	0.0024618187	No	
row_9	Pygl	404	1.6727542877197266	0.0073165917	No	
row_10	Plekhg6	436	1.5931013822555542	0.007318677	No	
row_11	Mmp19	439	1.5729049444198608	0.01347675	No	
row_12	C3	474	1.5019831657409668	0.012451588	No	
row_13	Cd302	521	1.3925342559814453	0.008385665	No	
row_14	Tmem37	539	1.3556983470916748	0.010406031	No	
row_15	Fah	583	1.2361418008804321	0.006330601	No	
row_16	Gcat	639	1.1113688945770264	-8.497792E-4	No	
row_17	Osgin1	663	1.0644123554229736	-0.0013406838	No	
row_18	Ndrg1	681	1.0333290100097656	-6.706322E-4	No	
row_19	Trf	682	1.0331844091415405	0.003657088	No	
row_20	Rnf144b	732	0.9621246457099915	-0.002857279	No	
row_21	Mocos	767	0.9080798625946045	-0.006370135	No	
row_22	Fkbp11	864	0.8067311644554138	-0.023649454	No	
row_23	Sdr42e1	910	0.7498403787612915	-0.03019225	No	
row_24	Adk	931	0.720418393611908	-0.031478472	No	
row_25	Psat1	954	0.7019615173339844	-0.03327239	No	
row_26	Gstt2	1012	0.6391065120697021	-0.042861328	No	
row_27	Ikbke	1027	0.6257480978965759	-0.04325294	No	
row_28	Il1r1	1040	0.6144301295280457	-0.043261576	No	
row_29	Kifc3	1046	0.610584020614624	-0.041779973	No	
row_30	Lss	1052	0.6081271767616272	-0.04030866	No	
row_31	Sord	1146	0.5138552188873291	-0.05816918	No	
row_32	Anpep	1162	0.5043854117393494	-0.059284337	No	
row_33	Anxa4	1225	-0.5087966322898865	-0.07049508	No	
row_34	Fpgs	1242	-0.5106168389320374	-0.07179932	No	
row_35	Cutc	1285	-0.5171189904212952	-0.07867134	No	
row_36	Tmem176a	1324	-0.5217586755752563	-0.08466317	No	
row_37	Selenbp1	1398	-0.5320054292678833	-0.0981438	No	
row_38	Shfl	1443	-0.5400738716125488	-0.10535006	No	
row_39	Hdlbp	1479	-0.5479676127433777	-0.11058652	No	
row_40	Mgst1	1519	-0.553851842880249	-0.1166591	No	
row_41	Acad11	1538	-0.5582493543624878	-0.118194215	No	
row_42	Tmem205	1549	-0.5600536465644836	-0.11800023	No	
row_43	Pxmp4	1621	-0.5718940496444702	-0.13088341	No	
row_44	Inpp5f	1783	-0.5974070429801941	-0.16302705	No	
row_45	Cluh	1835	-0.6063933968544006	-0.17146185	No	
row_46	Acaa2	1846	-0.6092212200164795	-0.17106192	No	
row_47	Snd1	1866	-0.6132609844207764	-0.1725818	No	
row_48	Bphl	1944	-0.6253499984741211	-0.18653221	No	
row_49	R3hdm2	2036	-0.6412914991378784	-0.20342855	No	
row_50	Gne	2070	-0.647117555141449	-0.20781931	No	
row_51	Grhpr	2089	-0.6519423127174377	-0.20896198	No	
row_52	Chka	2293	-0.6869085431098938	-0.24976881	No	
row_53	Errfi1	2313	-0.6902979016304016	-0.250966	No	
row_54	Vwa8	2412	-0.7074653506278992	-0.26909152	No	
row_55	Sdc4	2418	-0.7095036506652832	-0.26719555	No	
row_56	Hip1r	2473	-0.7225973606109619	-0.2757892	No	
row_57	Als2cl	2544	-0.7349900007247925	-0.28777403	No	
row_58	Agpat2	2599	-0.7471213936805725	-0.29626492	No	
row_59	Ngef	2671	-0.7625717520713806	-0.3083494	No	
row_60	Pla2g6	2683	-0.7643693089485168	-0.3075148	No	
row_61	Selenbp2	2695	-0.7665931582450867	-0.30667087	No	
row_62	Preb	2722	-0.771402895450592	-0.30903468	No	
row_63	Fabp5	2745	-0.7780223488807678	-0.31051	No	
row_64	Ddt	2787	-0.7876926064491272	-0.31603348	No	
row_65	Slc25a33	2952	-0.8265570998191833	-0.34786284	No	
row_66	Nostrin	2973	-0.8346856236457825	-0.34867045	No	
row_67	Ephx2	2986	-0.8378587365150452	-0.34774318	No	
row_68	Insr	2987	-0.8380050659179688	-0.34423304	No	
row_69	Slc39a14	3030	-0.8496406674385071	-0.34971222	No	
row_70	Gjb1	3084	-0.8662198781967163	-0.35748905	No	
row_71	Zscan26	3092	-0.8682234287261963	-0.35535866	No	
row_72	Plekhg3	3106	-0.8727925419807434	-0.3545003	No	
row_73	Sirt3	3232	-0.9090560674667358	-0.37759158	No	
row_74	Gsta3	3234	-0.9097456932067871	-0.3739961	No	
row_75	Slc19a2	3267	-0.9199014902114868	-0.37702906	No	
row_76	Acsl1	3337	-0.941307008266449	-0.38793448	No	
row_77	Cryz	3421	-0.971530556678772	-0.40172598	No	
row_78	Slc25a15	3433	-0.9757968783378601	-0.40000576	No	
row_79	Chmp4c	3440	-0.9771557450294495	-0.3972039	No	
row_80	Asl	3473	-0.9876204133033752	-0.3999532	No	
row_81	Usp18	3483	-0.9912213087081909	-0.39773798	No	
row_82	Pex26	3486	-0.9922555685043335	-0.3940121	No	
row_83	Nt5e	3535	-1.0101451873779297	-0.40011013	No	
row_84	Ccdc125	3548	-1.0135711431503296	-0.39844686	No	
row_85	Ggcx	3561	-1.0173135995864868	-0.3967679	No	
row_86	Soat2	3567	-1.0203497409820557	-0.39356992	No	
row_87	Rnf128	3580	-1.0254052877426147	-0.39185712	No	
row_88	Abcc10	3656	-1.057426929473877	-0.40356728	No	
row_89	Grk3	3691	-1.073670506477356	-0.40638652	No	
row_90	Pcyt2	3738	-1.0978591442108154	-0.41168678	Yes	
row_91	Foxa3	3746	-1.1005616188049316	-0.40858316	Yes	
row_92	2310039H08Rik	3763	-1.107987880706787	-0.4073852	Yes	
row_93	Sh3bgrl2	3772	-1.110745906829834	-0.40445414	Yes	
row_94	Cfb	3801	-1.1286895275115967	-0.40575176	Yes	
row_95	Baiap2l1	3803	-1.1296025514602661	-0.40123537	Yes	
row_96	Sfxn2	3810	-1.1337100267410278	-0.39777774	Yes	
row_97	Ctps2	3820	-1.1395480632781982	-0.3949412	Yes	
