NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Ablim3	225	2.4151718616485596	0.038670927	No	
row_1	Frmpd1	293	2.11973237991333	0.099777006	No	
row_2	Tpm2	308	2.054321050643921	0.16960177	No	
row_3	Cdkn1a	861	0.8077004551887512	0.08327275	No	
row_4	Clcn5	1496	-0.5508644580841064	-0.02922302	No	
row_5	Gramd1b	2843	-0.8007795214653015	-0.28111044	No	
row_6	Ncoa1	3304	-0.9312092065811157	-0.34391156	No	
row_7	Cd82	3518	-1.004255771636963	-0.35270005	Yes	
row_8	Parm1	3570	-1.0210567712783813	-0.32716474	Yes	
row_9	Rnf217	3712	-1.084725022315979	-0.31811333	Yes	
row_10	Macrod1	3732	-1.094896674156189	-0.283301	Yes	
row_11	Ptgis	4321	-1.5300812721252441	-0.35154718	Yes	
row_12	Adora1	4344	-1.5691417455673218	-0.30056733	Yes	
row_13	Itgb6	4485	-1.7869796752929688	-0.26644224	Yes	
row_14	Sytl2	4596	-2.0335450172424316	-0.21734062	Yes	
row_15	Fbxo17	4656	-2.196817636489868	-0.15183946	Yes	
row_16	Adh1	4746	-2.6140143871307373	-0.077812254	Yes	
row_17	Igdcc4	4747	-2.62683367729187	0.015198936	Yes	
