NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Afap1l2	270	2.235656976699829	0.0057699555	No	
row_1	Sntb1	307	2.0648703575134277	0.055579875	No	
row_2	Matn2	316	2.0218141078948975	0.11003166	No	
row_3	Megf9	380	1.758007526397705	0.14569546	No	
row_4	Mal	733	0.9614766836166382	0.09900398	No	
row_5	Fhdc1	844	0.8161787986755371	0.09872766	No	
row_6	Entpd2	1201	-0.5058609247207642	0.03855579	No	
row_7	Erbb3	1278	-0.516074001789093	0.03703722	No	
row_8	Ugdh	1692	-0.583285927772522	-0.032867987	No	
row_9	Heyl	1736	-0.5890451669692993	-0.025481794	No	
row_10	Wdfy1	2153	-0.6623004674911499	-0.093819186	No	
row_11	Cyp2j6	3348	-0.9475498199462891	-0.3164236	No	
row_12	Rasa2	3497	-0.9952829480171204	-0.31965014	No	
row_13	Serpine2	3936	-1.205466628074646	-0.37749708	Yes	
row_14	Deptor	4082	-1.3144692182540894	-0.3712386	Yes	
row_15	Ednrb	4313	-1.5161716938018799	-0.37710086	Yes	
row_16	Bcar3	4336	-1.5480350255966187	-0.33871824	Yes	
row_17	Lmo4	4382	-1.6174921989440918	-0.30320236	Yes	
row_18	Itprid2	4401	-1.6476688385009766	-0.26122037	Yes	
row_19	Adgrg6	4542	-1.8918349742889404	-0.2378936	Yes	
row_20	Dagla	4546	-1.9063024520874023	-0.18560575	Yes	
row_21	Tmem117	4712	-2.4298760890960693	-0.15255618	Yes	
row_22	Cdh6	4793	-3.096193552017212	-0.08329222	Yes	
row_23	Sema3b	4798	-3.1960315704345703	0.0045861774	Yes	
