NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Mreg	72	4.109100341796875	0.11752688	No	
row_1	Cadm1	633	1.1255391836166382	0.037114237	No	
row_2	Rnf150	832	0.8326182961463928	0.022701953	No	
row_3	Serpinb8	1074	0.5822129845619202	-0.008748863	No	
row_4	Enah	1159	0.5059813857078552	-0.009936454	No	
row_5	Ccser2	1267	-0.5149974822998047	-0.015626907	No	
row_6	Phc2	1292	-0.5178850293159485	-0.003925352	No	
row_7	Csnk1g1	1720	-0.5861399173736572	-0.07401566	No	
row_8	Rapgef6	1950	-0.6270073056221008	-0.10152066	No	
row_9	Rap1gap2	2645	-0.7579935193061829	-0.22171627	No	
row_10	Pde4dip	3155	-0.8862465023994446	-0.29921752	No	
row_11	B4galnt3	3367	-0.9521021842956543	-0.3124855	No	
row_12	Ankrd24	3443	-0.9780789017677307	-0.29657045	No	
row_13	Kif13b	3513	-1.00211501121521	-0.27862966	No	
row_14	Synpo	3888	-1.1796871423721313	-0.3185297	No	
row_15	Sgpp2	4160	-1.3795002698898315	-0.33051777	Yes	
row_16	Itga7	4326	-1.537733793258667	-0.3153097	Yes	
row_17	Ccdc92	4327	-1.53974449634552	-0.26564744	Yes	
row_18	Mapk8ip1	4373	-1.6053122282028198	-0.22324932	Yes	
row_19	Kif19a	4489	-1.7938529253005981	-0.18935947	Yes	
row_20	Rgs11	4652	-2.187357187271118	-0.15257347	Yes	
row_21	Cerkl	4756	-2.697594404220581	-0.08703371	Yes	
row_22	Tesc	4795	-3.1055266857147217	0.0052106306	Yes	
