NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Clec2g	45	4.73864221572876	0.0054454026	Yes	
row_1	Ccl9	82	3.943756580352783	0.010292623	Yes	
row_2	Il1a	119	3.496669292449951	0.013703895	Yes	
row_3	Csf3r	124	3.373124837875366	0.023668846	Yes	
row_4	Itgam	132	3.2502315044403076	0.032587484	Yes	
row_5	Hk3	135	3.2226758003234863	0.04250363	Yes	
row_6	Trem2	140	3.156430244445801	0.051772602	Yes	
row_7	Hmox1	144	3.1024680137634277	0.061085463	Yes	
row_8	Cd84	159	2.935788631439209	0.067473754	Yes	
row_9	Cd300lf	160	2.9348559379577637	0.07689989	Yes	
row_10	Gna15	161	2.91347599029541	0.08625736	Yes	
row_11	Slc37a2	168	2.8429787158966064	0.09408519	Yes	
row_12	Slc11a1	169	2.8261051177978516	0.103162035	Yes	
row_13	Cybb	173	2.8047313690185547	0.11151863	Yes	
row_14	Cd68	177	2.7643678188323975	0.11974558	Yes	
row_15	Tyrobp	181	2.731733798980713	0.12786773	Yes	
row_16	Npl	184	2.7235352993011475	0.13618074	Yes	
row_17	Ccl6	187	2.6946818828582764	0.14440107	Yes	
row_18	Msr1	196	2.586639165878296	0.15097119	Yes	
row_19	Cd36	199	2.5672147274017334	0.15878214	Yes	
row_20	C3ar1	205	2.530904531478882	0.16582486	Yes	
row_21	Clec4n	207	2.527963161468506	0.17372693	Yes	
row_22	Myo5a	231	2.3917195796966553	0.17641297	Yes	
row_23	Cyp27a1	239	2.3559701442718506	0.18245943	Yes	
row_24	Cd37	244	2.3236045837402344	0.18905355	Yes	
row_25	Pstpip1	245	2.3236045837402344	0.19651647	Yes	
row_26	Ctss	247	2.317308187484741	0.20374197	Yes	
row_27	Spi1	250	2.308957815170288	0.21072344	Yes	
row_28	Cd300c2	258	2.2877275943756104	0.21655072	Yes	
row_29	Fcgr3	260	2.2814791202545166	0.22366115	Yes	
row_30	Cd53	261	2.270655870437622	0.23095402	Yes	
row_31	Sirpa	268	2.2417197227478027	0.23685072	Yes	
row_32	Ncf1	271	2.2351295948028564	0.24359508	Yes	
row_33	Fcer1g	272	2.2351198196411133	0.25077382	Yes	
row_34	Ctsd	274	2.219188690185547	0.25768417	Yes	
row_35	Fcgr2b	280	2.177927255630493	0.2635932	Yes	
row_36	Cd300a	281	2.173689603805542	0.27057463	Yes	
row_37	Ptafr	284	2.1589739322662354	0.2770744	Yes	
row_38	Slc15a3	285	2.147850513458252	0.28397283	Yes	
row_39	Ctsb	288	2.1389875411987305	0.2904084	Yes	
row_40	Evi2a	309	2.0479702949523926	0.292642	Yes	
row_41	C5ar1	317	2.019378662109375	0.2976074	Yes	
row_42	Crlf2	325	1.9838495254516602	0.30245867	Yes	
row_43	Cd44	329	1.9759340286254883	0.30815336	Yes	
row_44	Cd52	332	1.9633485078811646	0.3140248	Yes	
row_45	Ptprc	338	1.9260421991348267	0.31912485	Yes	
row_46	Myo1f	340	1.9183481931686401	0.32506895	Yes	
row_47	Mpeg1	346	1.8890211582183838	0.33005008	Yes	
row_48	Tnfrsf26	347	1.8788198232650757	0.33608446	Yes	
row_49	Jdp2	359	1.854621410369873	0.33965188	Yes	
row_50	Cyth4	361	1.847920536994934	0.34536982	Yes	
row_51	Cd33	362	1.817812442779541	0.35120824	Yes	
row_52	Hexb	384	1.7422534227371216	0.35224274	Yes	
row_53	Nfam1	387	1.7386422157287598	0.35739246	Yes	
row_54	Irf5	394	1.709017038345337	0.36157826	Yes	
row_55	Nckap1l	395	1.7076152563095093	0.36706275	Yes	
row_56	Havcr2	399	1.6888891458511353	0.3718355	Yes	
row_57	Mertk	402	1.6764267683029175	0.37678543	Yes	
row_58	Lcp2	403	1.6759064197540283	0.38216808	Yes	
row_59	Il1rl2	406	1.6718106269836426	0.38710317	Yes	
row_60	Dse	407	1.6699293851852417	0.39246663	Yes	
row_61	Arhgap9	415	1.6520544290542603	0.39625227	Yes	
row_62	Def6	418	1.629294753074646	0.4010508	Yes	
row_63	Maf	421	1.6240390539169312	0.40583247	Yes	
row_64	Fmnl1	423	1.6209906339645386	0.41082156	Yes	
row_65	Cebpb	425	1.6204180717468262	0.4158088	Yes	
row_66	Pik3ap1	431	1.6055806875228882	0.41987956	Yes	
row_67	Selplg	432	1.603712558746338	0.42503035	Yes	
row_68	Cfp	433	1.5994794368743896	0.43016753	Yes	
row_69	Apbb1ip	442	1.5674145221710205	0.4334641	Yes	
row_70	Tnfrsf1b	443	1.5660626888275146	0.43849397	Yes	
row_71	Lgals3	447	1.559150218963623	0.44285002	Yes	
row_72	St6galnac4	449	1.5510151386260986	0.44761434	Yes	
row_73	Fam111a	455	1.5401915311813354	0.4514751	Yes	
row_74	Lgmn	458	1.5337903499603271	0.45596692	Yes	
row_75	Plxdc1	464	1.5256484746932983	0.45978096	Yes	
row_76	Dock2	467	1.5182521343231201	0.46422285	Yes	
row_77	Mrc1	471	1.5052329301834106	0.46840575	Yes	
row_78	Gpr65	478	1.4976340532302856	0.47191262	Yes	
row_79	Hcls1	487	1.4795548915863037	0.474927	Yes	
row_80	Fxyd5	489	1.4756077527999878	0.47944915	Yes	
row_81	Apoe	490	1.4751174449920654	0.48418692	Yes	
row_82	Lpxn	492	1.4634623527526855	0.48867002	Yes	
row_83	Ctsz	493	1.4627196788787842	0.49336797	Yes	
row_84	Pycard	499	1.4494993686676025	0.49693745	Yes	
row_85	Alox5ap	500	1.4450299739837646	0.50157857	Yes	
row_86	Gusb	504	1.4352667331695557	0.50553674	Yes	
row_87	Irf1	508	1.4293582439422607	0.50947595	Yes	
row_88	Psap	510	1.414933681488037	0.5138032	Yes	
