NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Krt14	31	5.553138732910156	0.07556684	Yes	
row_1	Cd68	177	2.7643678188323975	0.086026795	Yes	
row_2	Tyrobp	181	2.731733798980713	0.12576763	Yes	
row_3	Srgn	185	2.7151243686676025	0.16526301	Yes	
row_4	Wfdc17	241	2.336684465408325	0.18826662	Yes	
row_5	Ctss	247	2.317308187484741	0.22146387	Yes	
row_6	Fcer1g	272	2.2351198196411133	0.24946414	Yes	
row_7	Ly6a	278	2.197474718093872	0.2808905	Yes	
row_8	Cd52	332	1.9633485078811646	0.29879612	Yes	
row_9	Dusp1	339	1.922605037689209	0.32595083	Yes	
row_10	Cebpb	425	1.6204180717468262	0.33208144	Yes	
row_11	Fxyd5	489	1.4756077527999878	0.34068325	Yes	
row_12	Apoe	490	1.4751174449920654	0.36248258	Yes	
row_13	Lpxn	492	1.4634623527526855	0.38390005	Yes	
row_14	Ctsz	493	1.4627196788787842	0.40551618	Yes	
row_15	Alox5ap	500	1.4450299739837646	0.42561325	Yes	
row_16	Tgfbi	502	1.4433257579803467	0.44673318	Yes	
row_17	Psap	510	1.414933681488037	0.46617588	Yes	
row_18	Coro1a	546	1.3403804302215576	0.4786481	Yes	
row_19	Grn	554	1.3280400037765503	0.4968067	Yes	
row_20	Capg	574	1.2634958028793335	0.5114963	Yes	
row_21	Arhgdib	672	1.04845130443573	0.50665915	Yes	
row_22	Trf	682	1.0331844091415405	0.52004117	Yes	
row_23	Ctsc	770	0.9068173766136169	0.515207	Yes	
row_24	H2-Ab1	778	0.8949776887893677	0.5269658	Yes	
row_25	Gm2a	789	0.8810043334960938	0.5378893	Yes	
row_26	B2m	794	0.8757144212722778	0.54999226	Yes	
row_27	Cd74	811	0.8564395904541016	0.5592951	Yes	
row_28	Cdkn1a	861	0.8077004551887512	0.56096095	Yes	
row_29	Nfkbia	887	0.7716875076293945	0.567125	Yes	
row_30	H2-Eb1	976	0.6807833909988403	0.55874085	No	
row_31	H2-D1	1021	0.6317551136016846	0.5588546	No	
row_32	Psmb8	1067	0.5894331336021423	0.55813324	No	
row_33	Pcbp1	1248	-0.5125232934951782	0.5279794	No	
row_34	Tmsb4x	1258	-0.5139609575271606	0.5336883	No	
row_35	Cpne1	1265	-0.5148062109947205	0.5400385	No	
row_36	Timp3	1480	-0.5480008721351624	0.5032826	No	
row_37	Calm1	1839	-0.6073464751243591	0.4372213	No	
row_38	Snx2	2321	-0.6925004124641418	0.34663764	No	
row_39	Sdc4	2418	-0.7095036506652832	0.33700114	No	
row_40	Shisa5	2493	-0.7272042632102966	0.33223742	No	
row_41	Ly6e	2739	-0.7752938866615295	0.2923428	No	
row_42	Papss2	3416	-0.9685760736465454	0.16496709	No	
row_43	Fos	3575	-1.023224949836731	0.14697158	No	
row_44	Krt15	3685	-1.07083261013031	0.13995002	No	
row_45	Dcn	3919	-1.1963684558868408	0.10879326	No	
row_46	Oas1a	3951	-1.2163703441619873	0.12027122	No	
row_47	Btg2	4032	-1.268935203552246	0.12225561	No	
row_48	Tgif1	4179	-1.3908588886260986	0.11220821	No	
row_49	Mgp	4278	-1.4843425750732422	0.1136031	No	
