NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Pou3f1	107	3.639106512069702	-0.010856515	No	
row_1	Mamdc2	145	3.0938174724578857	-0.008183547	No	
row_2	Kctd1	194	2.6261675357818604	-0.009574249	No	
row_3	Spns2	197	2.5741982460021973	-0.0010013646	No	
row_4	Nectin1	233	2.38716983795166	-3.6173355E-4	No	
row_5	Sirpa	268	2.2417197227478027	-1.0864707E-5	No	
row_6	Sult2b1	282	2.172295331954956	0.0047285743	No	
row_7	Fth1	289	2.129265069961548	0.010861225	No	
row_8	Vim	302	2.1047701835632324	0.01558477	No	
row_9	Smpdl3b	417	1.636127233505249	-0.0038294112	No	
row_10	Klf4	448	1.555465579032898	-0.004999356	No	
row_11	5031439G07Rik	480	1.493346095085144	-0.0066073784	No	
row_12	Apoe	490	1.4751174449920654	-0.003427004	No	
row_13	Jag2	498	1.4519649744033813	1.1340955E-4	No	
row_14	Pltp	523	1.3909838199615479	-3.0916143E-4	No	
row_15	S100a16	569	1.2881932258605957	-0.005723343	No	
row_16	Capg	574	1.2634958028793335	-0.0021812192	No	
row_17	Ifitm10	584	1.2327512502670288	1.5046854E-4	No	
row_18	Fam171a2	590	1.2269287109375	0.0033439905	No	
row_19	Rnf149	664	1.0632117986679077	-0.0090335645	No	
row_20	Trf	682	1.0331844091415405	-0.009165141	No	
row_21	Plekho1	683	1.0330407619476318	-0.005547771	No	
row_22	Cat	712	0.9889093041419983	-0.008260498	No	
row_23	Iffo2	725	0.9736446142196655	-0.007497784	No	
row_24	Wwtr1	730	0.9631621241569519	-0.0050073303	No	
row_25	Ctsc	770	0.9068173766136169	-0.01043363	No	
row_26	B2m	794	0.8757144212722778	-0.012439949	No	
row_27	Cd74	811	0.8564395904541016	-0.012969872	No	
row_28	B4galt5	825	0.8394559025764465	-0.012897599	No	
row_29	Ptprs	836	0.8280285000801086	-0.012203673	No	
row_30	Pitpnm2	839	0.8247988224029541	-0.00975661	No	
row_31	Plpp3	846	0.8143064379692078	-0.008228512	No	
row_32	Pstpip2	866	0.805328369140625	-0.009599076	No	
row_33	Fem1c	878	0.7896661758422852	-0.009260038	No	
row_34	Cldn5	902	0.7582709789276123	-0.011677606	No	
row_35	Flna	905	0.7552470564842224	-0.00947409	No	
row_36	Sptbn2	924	0.7344905138015747	-0.010872151	No	
row_37	H2-Eb1	976	0.6807833909988403	-0.019736616	No	
row_38	Atox1	997	0.6513577699661255	-0.021866892	No	
row_39	Uchl3	1004	0.6455327868461609	-0.020929782	No	
row_40	H2-D1	1021	0.6317551136016846	-0.022246476	No	
row_41	Col3a1	1034	0.6187030076980591	-0.022726651	No	
row_42	Ppic	1039	0.6152597665786743	-0.021454437	No	
row_43	Arhgap27	1048	0.6102555394172668	-0.02108197	No	
row_44	Icam1	1070	0.5862470865249634	-0.023660796	No	
row_45	Cfh	1075	0.5779787302017212	-0.022519128	No	
row_46	Txnrd1	1081	0.5709147453308105	-0.02162275	No	
row_47	Arhgap17	1163	0.5036863088607788	-0.037724026	No	
row_48	Kdm6b	1191	-0.5038514733314514	-0.04191471	No	
row_49	Pgp	1217	-0.5081010460853577	-0.0456494	No	
row_50	Tmem88	1221	-0.5082725882530212	-0.044531267	No	
row_51	Gigyf1	1233	-0.5100573301315308	-0.045171328	No	
row_52	Tmsb4x	1258	-0.5139609575271606	-0.048664942	No	
row_53	Grcc10	1270	-0.5151659846305847	-0.049287114	No	
row_54	Pafah2	1284	-0.5170522332191467	-0.050343793	No	
row_55	Mon2	1296	-0.5185802578926086	-0.05095401	No	
row_56	Pfdn2	1298	-0.5186164975166321	-0.049358543	No	
row_57	Pabpn1	1301	-0.51863694190979	-0.047983557	No	
row_58	Epg5	1334	-0.522744357585907	-0.053210862	No	
row_59	Mllt1	1341	-0.5236310958862305	-0.052700613	No	
row_60	Pacs1	1342	-0.5237351059913635	-0.050866667	No	
row_61	Klc2	1357	-0.527394711971283	-0.052107684	No	
row_62	Adgra2	1366	-0.5285117030143738	-0.052021455	No	
row_63	Mapk3	1369	-0.5288305878639221	-0.050610777	No	
row_64	Ltbp1	1378	-0.5298466682434082	-0.050519876	No	
row_65	Gtpbp6	1379	-0.5298466682434082	-0.048664525	No	
row_66	Sfxn3	1414	-0.534376323223114	-0.054292213	No	
row_67	Tle5	1425	-0.5358816385269165	-0.05462129	No	
row_68	Dapk3	1439	-0.5389847755432129	-0.05560117	No	
row_69	Cep164	1441	-0.5391064882278442	-0.05393395	No	
row_70	Prmt3	1445	-0.5405119061470032	-0.052702922	No	
row_71	Glt8d1	1530	-0.5574899315834045	-0.06927746	No	
row_72	Lrrc14	1545	-0.5595372915267944	-0.07040593	No	
row_73	Acp6	1547	-0.5598269701004028	-0.06866615	No	
row_74	Dctn6	1596	-0.5670365691184998	-0.07726725	No	
row_75	Tppp3	1617	-0.571284830570221	-0.07967792	No	
row_76	Pxmp4	1621	-0.5718940496444702	-0.078337	No	
row_77	Iqsec2	1623	-0.5719260573387146	-0.07655486	No	
row_78	Mt1	1658	-0.5760812163352966	-0.08203651	No	
row_79	Sf3b5	1659	-0.5761438608169556	-0.08001904	No	
row_80	Cebpd	1668	-0.5783239603042603	-0.07975839	No	
row_81	Kctd17	1672	-0.5789074897766113	-0.078392915	No	
row_82	Dhx37	1680	-0.5802130699157715	-0.07790509	No	
row_83	Rtf1	1697	-0.583285927772522	-0.07939151	No	
row_84	Bgn	1714	-0.5835893154144287	-0.08087686	No	
row_85	Dennd1b	1717	-0.5850335955619812	-0.07926938	No	
row_86	Pus10	1718	-0.5852211117744446	-0.07722013	No	
row_87	Ddx10	1723	-0.5873441100120544	-0.07604566	No	
row_88	Zranb1	1740	-0.5895448923110962	-0.07751016	No	
row_89	Zgpat	1741	-0.5896367430686951	-0.07544545	No	
row_90	Wwox	1812	-0.6028814315795898	-0.08877326	No	
row_91	Zfp362	1817	-0.6033236980438232	-0.08754285	No	
row_92	Madd	1824	-0.6043239235877991	-0.08675003	No	
row_93	Map1s	1830	-0.6053122282028198	-0.085733205	No	
row_94	Acaa2	1846	-0.6092212200164795	-0.08690825	No	
row_95	Nr2c2ap	1856	-0.6115058064460754	-0.08675196	No	
row_96	Tmem175	1863	-0.6129221320152283	-0.08592904	No	
