NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Ecm1	27	5.794078350067139	0.07603201	Yes	
row_1	Tnfaip2	83	3.933353900909424	0.11996877	Yes	
row_2	Clec4d	131	3.2539992332458496	0.15600298	Yes	
row_3	Itgb2	158	2.9367053508758545	0.19196096	Yes	
row_4	Srgn	185	2.7151243686676025	0.22479506	Yes	
row_5	Ccl6	187	2.6946818828582764	0.26257548	Yes	
row_6	Anxa1	218	2.455256223678589	0.29090843	Yes	
row_7	Il1b	240	2.3511602878570557	0.31965825	Yes	
row_8	Wfdc17	241	2.336684465408325	0.35260096	Yes	
row_9	Plek	252	2.3029944896698	0.38297492	Yes	
row_10	Ly6a	278	2.197474718093872	0.40872055	Yes	
row_11	Fcgr2b	280	2.177927255630493	0.43921572	Yes	
row_12	Pim1	319	2.0113155841827393	0.45961493	Yes	
row_13	Pirb	330	1.9645235538482666	0.48521712	Yes	
row_14	Mpeg1	346	1.8890211582183838	0.50870794	Yes	
row_15	S100a4	353	1.8670395612716675	0.5337733	Yes	
row_16	Lgals3	447	1.559150218963623	0.53628194	Yes	
row_17	Klf4	448	1.555465579032898	0.55821097	Yes	
row_18	Hspb1	460	1.5298693180084229	0.577476	Yes	
row_19	Sirpb1c	515	1.407191276550293	0.58600813	Yes	
row_20	Metrnl	520	1.3942698240280151	0.6048271	Yes	
row_21	Acp5	536	1.365546464920044	0.620938	Yes	
row_22	Xdh	540	1.35417640209198	0.6394011	Yes	
row_23	Ier5	609	1.1864962577819824	0.6418905	Yes	
row_24	Ninj1	833	0.8313525319099426	0.6069192	No	
row_25	Fabp4	914	0.7465909123420715	0.6006943	No	
row_26	Ier3	967	0.6908747553825378	0.5995465	No	
row_27	Mcl1	969	0.6886014938354492	0.6090451	No	
row_28	Msrb1	982	0.6692854166030884	0.6159681	No	
row_29	Icam1	1070	0.5862470865249634	0.606017	No	
row_30	Nupr1	1092	0.5623257160186768	0.60954773	No	
row_31	Trib1	1112	0.5444695949554443	0.6132455	No	
row_32	Stat3	1393	-0.5313682556152344	0.56211025	No	
row_33	Mgst1	1519	-0.553851842880249	0.543746	No	
row_34	Bgn	1714	-0.5835893154144287	0.5113537	No	
row_35	Tpt1	1787	-0.5977402329444885	0.5047053	No	
row_36	Pnrc1	1935	-0.6236505508422852	0.48271865	No	
row_37	Socs3	2116	-0.6565520167350769	0.45428634	No	
row_38	Nfkbiz	2566	-0.7401129603385925	0.37070876	No	
row_39	S100a6	3412	-0.9663337469100952	0.2074059	No	
row_40	Fos	3575	-1.023224949836731	0.1879118	No	
row_41	Id3	3653	-1.0551836490631104	0.18666555	No	
row_42	Dcn	3919	-1.1963684558868408	0.14804627	No	
row_43	Nr4a1	3978	-1.2330098152160645	0.15328526	No	
row_44	Lmo4	4382	-1.6174921989440918	0.09170854	No	
