NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Abca12	19	6.246436595916748	0.09595303	No	
row_1	Ctss	247	2.317308187484741	0.0854577	No	
row_2	Ly6a	278	2.197474718093872	0.11432767	No	
row_3	Selplg	432	1.603712558746338	0.10792288	No	
row_4	Fxyd5	489	1.4756077527999878	0.1197955	No	
row_5	Coro1a	546	1.3403804302215576	0.12950467	No	
row_6	Capg	574	1.2634958028793335	0.1440609	No	
row_7	C1qb	615	1.1801130771636963	0.1545589	No	
row_8	Arhgdib	672	1.04845130443573	0.15959758	No	
row_9	Ctnnbip1	677	1.0388919115066528	0.17538023	No	
row_10	H2-Ab1	778	0.8949776887893677	0.1687431	No	
row_11	Cd74	811	0.8564395904541016	0.1757392	No	
row_12	H2-Eb1	976	0.6807833909988403	0.15226367	No	
row_13	Mkrn1	1093	0.5612996816635132	0.13693525	No	
row_14	Car2	1171	-0.5004264116287231	0.12880561	No	
row_15	Ppme1	1268	-0.515114426612854	0.1169294	No	
row_16	Tle5	1425	-0.5358816385269165	0.09281208	No	
row_17	Vezf1	1535	-0.5578352808952332	0.07889512	No	
row_18	Pdlim4	1851	-0.6101900935173035	0.022647288	No	
row_19	Fech	1931	-0.6229956150054932	0.016059477	No	
row_20	Rnf216	1957	-0.6277395486831665	0.020863572	No	
row_21	Aph1a	2074	-0.6483809351921082	0.0069283294	No	
row_22	Rbpms	2228	-0.6756499409675598	-0.014324208	No	
row_23	Prpf19	2264	-0.6827760934829712	-0.010735159	No	
row_24	Hnrnpd	2328	-0.6942314505577087	-0.0128304	No	
row_25	Med25	2784	-0.7870091199874878	-0.09558717	No	
row_26	Lmtk2	2800	-0.7904438376426697	-0.08608447	No	
row_27	Gfpt1	3227	-0.9074233770370483	-0.16083767	No	
row_28	Zfp579	3451	-0.9814263582229614	-0.1918671	No	
row_29	Pnpo	3495	-0.9946570992469788	-0.1849648	No	
row_30	Samd8	3502	-0.9979203939437866	-0.17025676	No	
row_31	Id3	3653	-1.0551836490631104	-0.1848086	No	
row_32	Macrod1	3732	-1.094896674156189	-0.18363707	No	
row_33	Zmym2	3873	-1.1664986610412598	-0.19431247	Yes	
row_34	Dynll2	3904	-1.185383677482605	-0.18163459	Yes	
row_35	Bri3	3905	-1.1863056421279907	-0.1626553	Yes	
row_36	Vamp2	3923	-1.199097752571106	-0.1470338	Yes	
row_37	Pxmp2	4099	-1.3236421346664429	-0.16252954	Yes	
row_38	Nr2f2	4183	-1.3955230712890625	-0.15759619	Yes	
row_39	Bpgm	4184	-1.3961546421051025	-0.13525958	Yes	
row_40	Ccnd1	4229	-1.443292260169983	-0.1213893	Yes	
row_41	Spr	4273	-1.4812709093093872	-0.10670185	Yes	
row_42	Amacr	4274	-1.48200261592865	-0.0829918	Yes	
row_43	Syt7	4409	-1.6610171794891357	-0.08449823	Yes	
row_44	Zfp704	4443	-1.725489854812622	-0.06380805	Yes	
row_45	Gca	4505	-1.825126051902771	-0.047391385	Yes	
row_46	Lamb3	4582	-1.997601866722107	-0.031358678	Yes	
row_47	Ccnd2	4672	-2.2652361392974854	-0.013768404	Yes	
row_48	Ppp1r1b	4771	-2.7860469818115234	0.010268142	Yes	
