NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Npl	184	2.7235352993011475	-0.014585439	No	
row_1	Scd1	215	2.463939905166626	0.001143024	No	
row_2	S100a10	263	2.2634570598602295	0.0114711085	No	
row_3	Fth1	289	2.129265069961548	0.025259271	No	
row_4	Nqo1	301	2.105851173400879	0.04180491	No	
row_5	Apoe	490	1.4751174449920654	0.015180668	No	
row_6	Acot1	512	1.4132418632507324	0.02339812	No	
row_7	Cd302	521	1.3925342559814453	0.03418535	No	
row_8	Tmem37	539	1.3556983470916748	0.04273479	No	
row_9	Hebp1	562	1.2985533475875854	0.049712207	No	
row_10	Cstb	587	1.2294069528579712	0.055645872	No	
row_11	Sat1	614	1.1801872253417969	0.06071442	No	
row_12	Txn1	743	0.9442817568778992	0.04204895	No	
row_13	Mgll	752	0.9287450313568115	0.04867871	No	
row_14	B2m	794	0.8757144212722778	0.04783861	No	
row_15	Cd74	811	0.8564395904541016	0.052124582	No	
row_16	Nuak2	819	0.8427505493164062	0.05819543	No	
row_17	Fam162a	858	0.8098422288894653	0.057400707	No	
row_18	Uba52	896	0.7616032958030701	0.056385513	No	
row_19	Adk	931	0.720418393611908	0.055637	No	
row_20	Txndc17	1025	0.6279981136322021	0.041554715	No	
row_21	Tmbim4	1103	0.5498530864715576	0.030163199	No	
row_22	Ndufb6	1150	0.5123386979103088	0.025005978	No	
row_23	Gsta4	1227	-0.5092798471450806	0.01346271	No	
row_24	Eef1d	1235	-0.5100946426391602	0.016551588	No	
row_25	Grcc10	1270	-0.5151659846305847	0.013963162	No	
row_26	Anapc13	1293	-0.5179886817932129	0.01394349	No	
row_27	Mgst1	1519	-0.553851842880249	-0.028781407	No	
row_28	Tmem205	1549	-0.5600536465644836	-0.029907683	No	
row_29	Wfdc2	1725	-0.5874937176704407	-0.061733298	No	
row_30	Gemin7	1747	-0.5909598469734192	-0.060886893	No	
row_31	Tpt1	1787	-0.5977402329444885	-0.06379488	No	
row_32	Micos13	1804	-0.601001501083374	-0.06179869	No	
row_33	Eif3f	1833	-0.6057920455932617	-0.06230301	No	
row_34	Acaa2	1846	-0.6092212200164795	-0.05938532	No	
row_35	Eif1	1859	-0.6120293140411377	-0.05644246	No	
row_36	Pnrc1	1935	-0.6236505508422852	-0.06674854	No	
row_37	Cyb5a	1942	-0.625020444393158	-0.062417492	No	
row_38	Bphl	1944	-0.6253499984741211	-0.057023726	No	
row_39	Mpst	1962	-0.6290895938873291	-0.054987703	No	
row_40	Vkorc1	2063	-0.6458882093429565	-0.070393294	No	
row_41	Srrm2	2159	-0.6632479429244995	-0.084583506	No	
row_42	Tex261	2206	-0.6721242666244507	-0.08830839	No	
row_43	Fmc1	2232	-0.6770995855331421	-0.08753763	No	
row_44	Ndufa7	2344	-0.6959860324859619	-0.10482563	No	
row_45	Laptm4b	2349	-0.6973103880882263	-0.09942266	No	
row_46	Polr2e	2361	-0.6991472840309143	-0.09548691	No	
row_47	Gas6	2372	-0.7005298137664795	-0.09132681	No	
row_48	Aldh2	2388	-0.7038428783416748	-0.088196784	No	
row_49	Guk1	2516	-0.730372965335846	-0.108567804	No	
row_50	Krtcap2	2586	-0.7444137334823608	-0.11651962	No	
row_51	Fbp2	2651	-0.7590464949607849	-0.123280495	No	
row_52	Atraid	2778	-0.7859706878662109	-0.14294118	No	
row_53	Hcfc1r1	2783	-0.7867817282676697	-0.13673618	No	
row_54	Ddt	2787	-0.7876926064491272	-0.13031106	No	
row_55	Iah1	2825	-0.7956942319869995	-0.13102065	No	
row_56	Gstk1	2827	-0.7965220808982849	-0.12409248	No	
row_57	Sephs2	2836	-0.7983858585357666	-0.11863127	No	
row_58	Ifi27	2905	-0.8145292401313782	-0.12574261	No	
row_59	Tmco1	2982	-0.837131142616272	-0.13434698	No	
row_60	Hmgb1	2990	-0.8381809592247009	-0.12831709	No	
row_61	S100a1	3077	-0.8638815879821777	-0.1388012	No	
row_62	Tmem147	3100	-0.8710427284240723	-0.13565604	No	
row_63	Hsd17b10	3144	-0.8833708763122559	-0.13685143	No	
row_64	Sgk1	3151	-0.8847195506095886	-0.1301924	No	
row_65	Chchd7	3229	-0.9085609316825867	-0.13836841	No	
row_66	Gsta3	3234	-0.9097456932067871	-0.13106115	No	
row_67	Ddrgk1	3282	-0.924032986164093	-0.13273984	No	
row_68	Ppa2	3287	-0.9254269003868103	-0.125292	No	
row_69	Gstm5	3294	-0.9271585941314697	-0.11825256	No	
row_70	Acsl1	3337	-0.941307008266449	-0.118716635	No	
row_71	Hint2	3347	-0.9455645084381104	-0.112148054	No	
row_72	Tmem59	3397	-0.9600679278373718	-0.11392763	No	
row_73	Cryz	3421	-0.971530556678772	-0.110093646	No	
row_74	Cbr1	3607	-1.0348052978515625	-0.14002904	No	
row_75	Sri	3726	-1.0915840864181519	-0.15525453	Yes	
row_76	Gm5617	3729	-1.0939010381698608	-0.14587256	Yes	
row_77	Srsf3	3744	-1.0998139381408691	-0.13898104	Yes	
row_78	2310039H08Rik	3763	-1.107987880706787	-0.13286407	Yes	
row_79	Cfb	3801	-1.1286895275115967	-0.13058865	Yes	
row_80	Npnt	3802	-1.1287200450897217	-0.12047065	Yes	
row_81	Ascc1	3821	-1.1395694017410278	-0.11407057	Yes	
row_82	Krcc1	3922	-1.198305606842041	-0.12452422	Yes	
row_83	Btg2	4032	-1.268935203552246	-0.13625233	Yes	
row_84	Ncoa7	4063	-1.292120099067688	-0.13102822	Yes	
row_85	Pts	4078	-1.3074721097946167	-0.12227522	Yes	
row_86	Pxmp2	4099	-1.3236421346664429	-0.114649	Yes	
row_87	Tstd1	4139	-1.3616219758987427	-0.11070945	Yes	
row_88	Gstm1	4200	-1.4097791910171509	-0.11078925	Yes	
row_89	Akr7a5	4207	-1.4131850004196167	-0.099392995	Yes	
row_90	Ccdc107	4218	-1.4299179315567017	-0.08869456	Yes	
row_91	Ccnd1	4229	-1.443292260169983	-0.07787623	Yes	
row_92	Dnajc12	4234	-1.44879150390625	-0.06573689	Yes	
row_93	Cmbl	4433	-1.707301378250122	-0.092399344	Yes	
row_94	Ggact	4441	-1.7234101295471191	-0.07843415	Yes	
row_95	Csrp2	4490	-1.7938529253005981	-0.07252761	Yes	
row_96	Rida	4525	-1.856304407119751	-0.06309389	Yes	
row_97	Cela1	4538	-1.8884458541870117	-0.048709057	Yes	
row_98	Tcea3	4554	-1.9257712364196777	-0.0346255	Yes	
row_99	Sult1c2	4612	-2.0768790245056152	-0.028089466	Yes	
row_100	Cyp4b1	4689	-2.3436903953552246	-0.02318883	Yes	
row_101	Iyd	4739	-2.5719707012176514	-0.010519095	Yes	
row_102	Ddc	4790	-3.0650277137756348	0.0063585155	Yes	
