NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Ccl9	82	3.943756580352783	0.030815093	Yes	
row_1	Tnfaip2	83	3.933353900909424	0.078705125	Yes	
row_2	Itgam	132	3.2502315044403076	0.108208664	Yes	
row_3	Trem2	140	3.156430244445801	0.14517093	Yes	
row_4	Cd84	159	2.935788631439209	0.17713928	Yes	
row_5	Ccl6	187	2.6946818828582764	0.20428409	Yes	
row_6	Pla2g7	195	2.598666191101074	0.23445536	Yes	
row_7	Lyz1	254	2.3007519245147705	0.25030088	Yes	
row_8	Gngt2	273	2.2347705364227295	0.2737341	Yes	
row_9	Ctsd	274	2.219188690185547	0.30075353	Yes	
row_10	Ly6a	278	2.197474718093872	0.32687926	Yes	
row_11	Cd300a	281	2.173689603805542	0.35292518	Yes	
row_12	Vim	302	2.1047701835632324	0.37435603	Yes	
row_13	Cd44	329	1.9759340286254883	0.39295956	Yes	
row_14	S100a4	353	1.8670395612716675	0.41086665	Yes	
row_15	Rap2b	398	1.6894761323928833	0.4222065	Yes	
row_16	Cebpb	425	1.6204180717468262	0.43648154	Yes	
row_17	Cfp	433	1.5994794368743896	0.45448735	Yes	
row_18	Lgals3	447	1.559150218963623	0.4707435	Yes	
row_19	Klf4	448	1.555465579032898	0.48968187	Yes	
row_20	Alox5ap	500	1.4450299739837646	0.49657708	Yes	
row_21	Sirpb1c	515	1.407191276550293	0.5107733	Yes	
row_22	Pltp	523	1.3909838199615479	0.5262406	Yes	
row_23	Acp5	536	1.365546464920044	0.5403493	Yes	
row_24	Emp3	537	1.364911675453186	0.5569676	Yes	
row_25	Grn	554	1.3280400037765503	0.5697806	Yes	
row_26	Capg	574	1.2634958028793335	0.58117837	Yes	
row_27	Cstb	587	1.2294069528579712	0.59362954	Yes	
row_28	Prdx5	601	1.1977466344833374	0.6054855	Yes	
row_29	Sat1	614	1.1801872253417969	0.6173374	Yes	
row_30	Zeb2	641	1.107875943183899	0.62537205	Yes	
row_31	Il2rg	648	1.0913138389587402	0.6374005	Yes	
row_32	Atp1b3	686	1.0275999307632446	0.6421502	Yes	
row_33	Txn1	743	0.9442817568778992	0.64189976	No	
row_34	Ninj1	833	0.8313525319099426	0.6333518	No	
row_35	Ier3	967	0.6908747553825378	0.6138633	No	
row_36	Mcl1	969	0.6886014938354492	0.6220375	No	
row_37	Msrb1	982	0.6692854166030884	0.627669	No	
row_38	Pgk1	1029	0.6241614818572998	0.6256187	No	
row_39	Ahnak	1090	0.565001904964447	0.61991125	No	
row_40	Sod2	1120	0.5403502583503723	0.62040675	No	
row_41	Ptpn1	1126	0.5341338515281677	0.62586117	No	
row_42	Cmip	1518	-0.553712785243988	0.55058056	No	
row_43	Agpat4	2099	-0.6536752581596375	0.4368695	No	
row_44	Socs3	2116	-0.6565520167350769	0.44150686	No	
row_45	Aldh2	2388	-0.7038428783416748	0.39322722	No	
row_46	Ly6e	2739	-0.7752938866615295	0.32924527	No	
row_47	Idh1	3183	-0.8936260342597961	0.24719495	No	
row_48	S100a6	3412	-0.9663337469100952	0.21113159	No	
row_49	Fos	3575	-1.023224949836731	0.18960609	No	
row_50	Ezr	3702	-1.081100344657898	0.17633717	No	
row_51	Gmfg	4007	-1.2539782524108887	0.12783305	No	
row_52	Lmo4	4382	-1.6174921989440918	0.06907056	No	
row_53	Rida	4525	-1.856304407119751	0.06188363	No	
