NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Ppfia3	40	4.954959869384766	0.0047055287	No	
row_1	Gsdmc2	41	4.896183490753174	0.018205557	No	
row_2	Ctsb	288	2.1389875411987305	-0.030979555	No	
row_3	Fth1	289	2.129265069961548	-0.025108628	No	
row_4	Nqo1	301	2.105851173400879	-0.021765314	No	
row_5	Mif	323	1.9909502267837524	-0.02097795	No	
row_6	Prap1	328	1.9792180061340332	-0.016416397	No	
row_7	Pglyrp1	345	1.8943850994110107	-0.014775717	No	
row_8	Bdh1	364	1.8075895309448242	-0.013822183	No	
row_9	Pgam1	381	1.7563321590423584	-0.012562151	No	
row_10	Hsd17b2	393	1.711369276046753	-0.010306523	No	
row_11	Gsto1	397	1.7005360126495361	-0.0062894532	No	
row_12	Lgals3	447	1.559150218963623	-0.012962265	No	
row_13	AA467197	452	1.544142484664917	-0.0096003255	No	
row_14	Ctsz	493	1.4627196788787842	-0.014523795	No	
row_15	Pycard	499	1.4494993686676025	-0.011646725	No	
row_16	Psap	510	1.414933681488037	-0.009984531	No	
row_17	Creg1	533	1.3688734769821167	-0.011136306	No	
row_18	Acp5	536	1.365546464920044	-0.007818975	No	
row_19	S100a16	569	1.2881932258605957	-0.011432345	No	
row_20	Capg	574	1.2634958028793335	-0.00884422	No	
row_21	Esd	579	1.2534757852554321	-0.0062837237	No	
row_22	Cstb	587	1.2294069528579712	-0.004461333	No	
row_23	Prdx5	601	1.1977466344833374	-0.004069722	No	
row_24	Sat1	614	1.1801872253417969	-0.0035026125	No	
row_25	Rab24	621	1.16844642162323	-0.0016243915	No	
row_26	Hras	719	0.981428861618042	-0.020638	No	
row_27	Rtn4	726	0.9707967042922974	-0.01930475	No	
row_28	Cks2	729	0.9673761129379272	-0.017085277	No	
row_29	Blvrb	731	0.9623467326164246	-0.014655754	No	
row_30	Ece1	739	0.9531703591346741	-0.013595019	No	
row_31	Txn1	743	0.9442817568778992	-0.011663134	No	
row_32	Prelid1	751	0.9316416382789612	-0.0106617585	No	
row_33	B2m	794	0.8757144212722778	-0.017651578	No	
row_34	Gadd45b	804	0.8623006343841553	-0.017289221	No	
row_35	Prnp	806	0.8595945239067078	-0.0151430145	No	
row_36	Npc2	822	0.8413428068161011	-0.016181927	No	
row_37	Gipc1	840	0.8229861855506897	-0.017719284	No	
row_38	Fam162a	858	0.8098422288894653	-0.01929288	No	
row_39	Ostf1	871	0.7994556427001953	-0.019775543	No	
row_40	Nfkbia	887	0.7716875076293945	-0.021006515	No	
row_41	Ap2a2	891	0.7672339677810669	-0.019562798	No	
row_42	Stap2	894	0.7638207077980042	-0.017904576	No	
row_43	Uba52	896	0.7616032958030701	-0.016028555	No	
row_44	Atp6v0e	942	0.714465320110321	-0.024134723	No	
row_45	Atox1	997	0.6513577699661255	-0.03443012	No	
row_46	Casp1	1000	0.6489280462265015	-0.033088688	No	
row_47	Stard5	1003	0.6463836431503296	-0.03175427	No	
row_48	Gstt2	1012	0.6391065120697021	-0.031783402	No	
row_49	Elovl1	1018	0.634658694267273	-0.031153057	No	
row_50	H2-D1	1021	0.6317551136016846	-0.029858975	No	
row_51	Txndc17	1025	0.6279981136322021	-0.028799167	No	
row_52	Pgk1	1029	0.6241614818572998	-0.027749935	No	
row_53	Nudt19	1030	0.6240823864936829	-0.02602918	No	
row_54	Snrpf	1089	0.5658404231071472	-0.03745603	No	
row_55	Rab11a	1095	0.5600599050521851	-0.03703137	No	
row_56	Tmbim4	1103	0.5498530864715576	-0.037082683	No	
row_57	Fdx1	1106	0.5480144619941711	-0.036019493	No	
row_58	Pnp	1110	0.5457446575164795	-0.03518648	No	
row_59	Atp6v1g1	1116	0.5427803993225098	-0.034809466	No	
row_60	Sod2	1120	0.5403502583503723	-0.033991322	No	
row_61	Tmem134	1128	0.5295721292495728	-0.034098554	No	
row_62	Ndufb6	1150	0.5123386979103088	-0.0373881	No	
row_63	Arpc4	1169	0.5011984705924988	-0.040036622	No	
row_64	Sar1b	1170	-0.5002761483192444	-0.038657233	No	
row_65	Car2	1171	-0.5004264116287231	-0.03727743	No	
