NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Lypd3	15	6.487772464752197	0.05330773	No	
row_1	Mfge8	208	2.5230205059051514	0.034579683	No	
row_2	S100a14	253	2.3010964393615723	0.04528864	No	
row_3	Fth1	289	2.129265069961548	0.0564091	No	
row_4	Pglyrp1	345	1.8943850994110107	0.061245445	No	
row_5	Rgs1	350	1.873571753501892	0.07671025	No	
row_6	Ctsz	493	1.4627196788787842	0.059348196	No	
row_7	S100a16	569	1.2881932258605957	0.054667532	No	
row_8	Trf	682	1.0331844091415405	0.03992428	No	
row_9	Mal	733	0.9614766836166382	0.037697848	No	
row_10	Ece1	739	0.9531703591346741	0.04493704	No	
row_11	Gadd45b	804	0.8623006343841553	0.038879756	No	
row_12	Ninj1	833	0.8313525319099426	0.04018337	No	
row_13	Gipc1	840	0.8229861855506897	0.046077132	No	
row_14	Rgcc	943	0.7125529646873474	0.030661782	No	
row_15	Ier3	967	0.6908747553825378	0.03180207	No	
row_16	Pkm	970	0.685727059841156	0.037348576	No	
row_17	H2-D1	1021	0.6317551136016846	0.03225136	No	
row_18	Stmn1	1124	0.535702109336853	0.015296225	No	
row_19	Arpc4	1169	0.5011984705924988	0.010334021	No	
row_20	Kdm6b	1191	-0.5038514733314514	0.010269863	No	
row_21	Sgf29	1192	-0.504013180732727	0.01465815	No	
row_22	Pgp	1217	-0.5081010460853577	0.013995129	No	
row_23	Gsta4	1227	-0.5092798471450806	0.016521685	No	
row_24	Eef1d	1235	-0.5100946426391602	0.019479243	No	
row_25	Mri1	1320	-0.5213581919670105	0.006214394	No	
row_26	Timm44	1402	-0.5323443412780762	-0.0063189394	No	
row_27	Tle5	1425	-0.5358816385269165	-0.006316175	No	
row_28	Socs2	1448	-0.5406416058540344	-0.0062719677	No	
row_29	Mgst1	1519	-0.553851842880249	-0.016286545	No	
row_30	Nt5c3b	1651	-0.5752485990524292	-0.039044034	No	
row_31	Pebp1	1685	-0.5810647010803223	-0.04097937	No	
row_32	Vps72	1737	-0.5891032218933105	-0.046659894	No	
row_33	Emc10	1744	-0.5901260375976562	-0.042793576	No	
row_34	Eif3f	1833	-0.6057920455932617	-0.0561711	No	
row_35	Calm1	1839	-0.6073464751243591	-0.051942892	No	
row_36	Emg1	1891	-0.6171194911003113	-0.057379488	No	
row_37	Cd248	2110	-0.6554356813430786	-0.09787883	No	
row_38	Raly	2113	-0.6556001305580139	-0.09259463	No	
row_39	Ubl7	2146	-0.6618456244468689	-0.093614675	No	
row_40	Txn2	2163	-0.6638984680175781	-0.09122559	No	
row_41	Cdpf1	2197	-0.6696649789810181	-0.09238951	No	
row_42	Tex261	2206	-0.6721242666244507	-0.088233165	No	
row_43	Ptgr1	2287	-0.6854371428489685	-0.09922161	No	
row_44	Fam98c	2335	-0.6945692300796509	-0.103136055	No	
row_45	2610528J11Rik	2396	-0.7050907611846924	-0.1097143	No	
row_46	Sdc4	2418	-0.7095036506652832	-0.10798791	No	
row_47	Naxd	2426	-0.7120774984359741	-0.103271745	No	
row_48	Smagp	2447	-0.7174842953681946	-0.10126392	No	
row_49	Osgep	2499	-0.7278235554695129	-0.10573664	No	
row_50	Guk1	2516	-0.730372965335846	-0.10276878	No	
row_51	Nt5c	2556	-0.7373195290565491	-0.10461538	No	
row_52	Zfpl1	2674	-0.7627697587013245	-0.12277282	No	
row_53	2510002D24Rik	2723	-0.7714663147926331	-0.1262297	No	
row_54	Aarsd1	2738	-0.7748851776123047	-0.122450374	No	
row_55	Ly6e	2739	-0.7752938866615295	-0.11570013	No	
row_56	Bsg	2764	-0.7829715013504028	-0.11396994	No	
row_57	Sfxn1	2864	-0.8058028817176819	-0.12793753	No	
row_58	Pmm1	2876	-0.8090071678161621	-0.12322525	No	
row_59	2210016L21Rik	2913	-0.816594123840332	-0.12374576	No	
row_60	Hmgb1	2990	-0.8381809592247009	-0.1325565	No	
row_61	Gadd45gip1	3033	-0.8499046564102173	-0.13405871	No	
