NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Plet1	190	2.673874855041504	-0.031042762	No	
row_1	S100a14	253	2.3010964393615723	-0.03552573	No	
row_2	Ctsb	288	2.1389875411987305	-0.034517195	No	
row_3	Fth1	289	2.129265069961548	-0.02610075	No	
row_4	Mif	323	1.9909502267837524	-0.025458356	No	
row_5	Dusp1	339	1.922605037689209	-0.021143936	No	
row_6	Pglyrp1	345	1.8943850994110107	-0.014750958	No	
row_7	Gsto1	397	1.7005360126495361	-0.019198682	No	
row_8	Urah	476	1.5003371238708496	-0.030351015	No	
row_9	Ctsz	493	1.4627196788787842	-0.028073413	No	
row_10	Pycard	499	1.4494993686676025	-0.023438958	No	
row_11	Psap	510	1.414933681488037	-0.020036181	No	
row_12	Acp5	536	1.365546464920044	-0.020113774	No	
row_13	Hilpda	552	1.330491065979004	-0.018139828	No	
row_14	S100a16	569	1.2881932258605957	-0.016552087	No	
row_15	Prdx5	601	1.1977466344833374	-0.01860701	No	
row_16	Ctnnbip1	677	1.0388919115066528	-0.030926287	No	
row_17	Txn1	743	0.9442817568778992	-0.041429434	No	
row_18	Prelid1	751	0.9316416382789612	-0.03927996	No	
row_19	B2m	794	0.8757144212722778	-0.045016903	No	
row_20	Gadd45b	804	0.8623006343841553	-0.043579537	No	
row_21	Npc2	822	0.8413428068161011	-0.043977093	No	
row_22	Gipc1	840	0.8229861855506897	-0.04444721	No	
row_23	Phldb3	851	0.8122912645339966	-0.043426525	No	
row_24	Fkbp11	864	0.8067311644554138	-0.042865843	No	
row_25	Nfkbia	887	0.7716875076293945	-0.044633776	No	
row_26	Stap2	894	0.7638207077980042	-0.042928647	No	
row_27	Ier3	967	0.6908747553825378	-0.05596652	No	
row_28	Pkm	970	0.685727059841156	-0.053694032	No	
row_29	Atox1	997	0.6513577699661255	-0.056813642	No	
row_30	Gstt2	1012	0.6391065120697021	-0.057353556	No	
row_31	Elovl1	1018	0.634658694267273	-0.05593996	No	
row_32	H2-D1	1021	0.6317551136016846	-0.05388081	No	
row_33	Txndc17	1025	0.6279981136322021	-0.052055523	No	
row_34	Ehd4	1053	0.6073976159095764	-0.055567905	No	
row_35	Nupr1	1092	0.5623257160186768	-0.061667558	No	
row_36	Tmbim4	1103	0.5498530864715576	-0.06168423	No	
row_37	Atp6v1g1	1116	0.5427803993225098	-0.062166873	No	
row_38	Sod2	1120	0.5403502583503723	-0.060688037	No	
row_39	Ndufb6	1150	0.5123386979103088	-0.06501418	No	
row_40	Ppp1r2	1160	0.5052507519721985	-0.064988144	No	
row_41	Gng11	1167	0.5021745562553406	-0.064317234	No	
row_42	Arpc4	1169	0.5011984705924988	-0.062555134	No	
row_43	Sar1b	1170	-0.5002761483192444	-0.06057767	No	
row_44	Car2	1171	-0.5004264116287231	-0.05859961	No	
row_45	Tpd52l2	1188	-0.5030637383460999	-0.060115285	No	
row_46	Pgp	1217	-0.5081010460853577	-0.064239174	No	
row_47	Eef1d	1235	-0.5100946426391602	-0.06594607	No	
row_48	Zfand2b	1236	-0.5101015567779541	-0.06392977	No	
row_49	Brk1	1247	-0.512202799320221	-0.06409526	No	
row_50	Tm2d2	1250	-0.5126412510871887	-0.06250694	No	
row_51	Tmsb4x	1258	-0.5139609575271606	-0.062008448	No	
row_52	Grcc10	1270	-0.5151659846305847	-0.062381238	No	
row_53	Map1lc3a	1273	-0.5156301259994507	-0.060781103	No	
row_54	Pfdn2	1298	-0.5186164975166321	-0.06398738	No	
row_55	Gstp2	1318	-0.5209797620773315	-0.06608927	No	
row_56	Mri1	1320	-0.5213581919670105	-0.06424749	No	
row_57	Tmem176a	1324	-0.5217586755752563	-0.06284214	No	
row_58	Tmem176b	1326	-0.522173285484314	-0.06099713	No	
row_59	Tmem11	1327	-0.5221913456916809	-0.05893304	No	
row_60	Unc50	1386	-0.530362606048584	-0.069539234	No	
row_61	Tle5	1425	-0.5358816385269165	-0.07574341	No	
row_62	Ndufv2	1437	-0.5385595560073853	-0.07602373	No	
row_63	Plaat3	1505	-0.551872968673706	-0.08851599	No	
row_64	Dtymk	1507	-0.5519320964813232	-0.08655335	No	
row_65	Nectin2	1531	-0.5575768351554871	-0.08938663	No	
row_66	Tmem205	1549	-0.5600536465644836	-0.09089604	No	
row_67	Ndufs4	1608	-0.5696384310722351	-0.10134699	No	
row_68	Anapc16	1632	-0.5730488300323486	-0.10411911	No	
row_69	Ypel3	1644	-0.5749643445014954	-0.10425553	No	
row_70	Sf3b5	1659	-0.5761438608169556	-0.10504432	No	
row_71	Hagh	1673	-0.5789074897766113	-0.10560317	No	
row_72	Cyb5r3	1675	-0.5792728662490845	-0.10353246	No	
row_73	Pebp1	1685	-0.5810647010803223	-0.103206754	No	
row_74	Mvb12a	1728	-0.5880604386329651	-0.11008072	No	
row_75	Vps72	1737	-0.5891032218933105	-0.10950422	No	
row_76	Emc10	1744	-0.5901260375976562	-0.10848566	No	
row_77	Tcf7l1	1746	-0.5904814004898071	-0.10637065	No	
row_78	Suclg1	1762	-0.5933454036712646	-0.10731046	No	
row_79	Tpt1	1787	-0.5977402329444885	-0.11020398	No	
row_80	Micos13	1804	-0.601001501083374	-0.111332536	No	
row_81	BC031181	1805	-0.601309597492218	-0.10895571	No	
row_82	Fuca1	1814	-0.6030924916267395	-0.10832392	No	
