NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Mxd1	163	2.891758918762207	-0.02401297	No	
row_1	S100a14	253	2.3010964393615723	-0.034213882	No	
row_2	Dusp5	275	2.206294298171997	-0.029917214	No	
row_3	Ctsb	288	2.1389875411987305	-0.023922443	No	
row_4	Csf2ra	299	2.1078760623931885	-0.017615423	No	
row_5	Dusp1	339	1.922605037689209	-0.018400816	No	
row_6	Bdh1	364	1.8075895309448242	-0.016367475	No	
row_7	St6galnac4	449	1.5510151386260986	-0.028497286	No	
row_8	Dnajb1	453	1.542217493057251	-0.022938265	No	
row_9	Psap	510	1.414933681488037	-0.0294896	No	
row_10	Snrk	572	1.2641464471817017	-0.03774273	No	
row_11	Ehd1	637	1.1179144382476807	-0.047241665	No	
row_12	Rnf149	664	1.0632117986679077	-0.048645966	No	
row_13	Fam110a	676	1.03910493850708	-0.046865147	No	
row_14	Ctnnbip1	677	1.0388919115066528	-0.042678185	No	
row_15	Trf	682	1.0331844091415405	-0.039389495	No	
row_16	Ece1	739	0.9531703591346741	-0.04780184	No	
row_17	Dusp3	765	0.9099135994911194	-0.049605146	No	
row_18	Csrnp1	769	0.9074867963790894	-0.04660423	No	
row_19	B4galnt1	792	0.877893328666687	-0.04788013	No	
row_20	Gadd45b	804	0.8623006343841553	-0.04681187	No	
row_21	Prnp	806	0.8595945239067078	-0.043566335	No	
row_22	Gipc1	840	0.8229861855506897	-0.047470525	No	
row_23	Fam83g	880	0.7869561314582825	-0.052832834	No	
row_24	Nucb2	893	0.7641772627830505	-0.052378852	No	
row_25	Stap2	894	0.7638207077980042	-0.049300488	No	
row_26	Incenp	937	0.7181780934333801	-0.055596445	No	
row_27	Ybx3	945	0.7096232771873474	-0.054268233	No	
row_28	Pkm	970	0.685727059841156	-0.056756243	No	
row_29	Rrm1	971	0.6853439211845398	-0.053994156	No	
row_30	Pgk1	1029	0.6241614818572998	-0.0639513	No	
row_31	Ehd4	1053	0.6073976159095764	-0.06653617	No	
row_32	Mcm5	1087	0.5669945478439331	-0.07147206	No	
row_33	Ptpn1	1126	0.5341338515281677	-0.07763449	No	
row_34	Ppp1r2	1160	0.5052507519721985	-0.08281922	No	
row_35	Arpc4	1169	0.5011984705924988	-0.08254983	No	
row_36	Cgn	1175	-0.5008237361907959	-0.08162549	No	
row_37	Kdm6b	1191	-0.5038514733314514	-0.08287714	No	
row_38	Nap1l4	1199	-0.5052834153175354	-0.08237246	No	
row_39	Nfia	1238	-0.5102381110191345	-0.08863119	No	
row_40	Cln6	1254	-0.5133233666419983	-0.08984466	No	
row_41	Map1lc3a	1273	-0.5156301259994507	-0.091705285	No	
row_42	Vps37b	1274	-0.5157648921012878	-0.08962664	No	
row_43	Fam3a	1343	-0.5242149233818054	-0.10239358	No	
row_44	Ruvbl2	1351	-0.5257349014282227	-0.101806484	No	
row_45	Zfp414	1362	-0.528144359588623	-0.10186613	No	
row_46	Ddx56	1365	-0.5284132957458496	-0.100174144	No	
row_47	Akt1	1371	-0.5289273262023926	-0.099136546	No	
row_48	Arl2bp	1394	-0.5316846966743469	-0.10180774	No	
row_49	Hnrnpk	1409	-0.532830536365509	-0.10272378	No	
row_50	Ppp1r16a	1423	-0.5355327725410461	-0.1034101	No	
row_51	Tle5	1425	-0.5358816385269165	-0.1014692	No	
row_52	Dapk3	1439	-0.5389847755432129	-0.10214161	No	
row_53	Clcc1	1446	-0.5405362844467163	-0.10127604	No	
row_54	Cbx1	1451	-0.5409942269325256	-0.09997099	No	
row_55	Rab1b	1457	-0.542436420917511	-0.09887894	No	
row_56	Fbxw5	1464	-0.5444934368133545	-0.09799742	No	
row_57	Ncstn	1466	-0.5450085401535034	-0.09601974	No	
row_58	Exoc7	1475	-0.547546923160553	-0.095563546	No	
row_59	Ecsit	1504	-0.5517503619194031	-0.099466786	No	
row_60	Dtymk	1507	-0.5519320964813232	-0.09768002	No	
row_61	Nectin2	1531	-0.5575768351554871	-0.10046568	No	
row_62	Lmf2	1537	-0.5580753684043884	-0.09931061	No	
row_63	Gpsm1	1543	-0.5594391822814941	-0.09815004	No	
row_64	Rnf166	1586	-0.5646358728408813	-0.1050648	No	
row_65	Rmdn3	1606	-0.5694063305854797	-0.106927514	No	
row_66	Brix1	1609	-0.569696843624115	-0.105069146	No	
row_67	Nt5c3b	1651	-0.5752485990524292	-0.11172233	No	
row_68	Pebp1	1685	-0.5810647010803223	-0.11660151	No	
row_69	Rbm26	1710	-0.583285927772522	-0.11950238	No	
row_70	Mcat	1732	-0.5887714624404907	-0.12172469	No	
row_71	Vps72	1737	-0.5891032218933105	-0.12022575	No	
row_72	Emc10	1744	-0.5901260375976562	-0.11916032	No	
row_73	Tcf7l1	1746	-0.5904814004898071	-0.116999365	No	
row_74	Srprb	1752	-0.5917165875434875	-0.11570871	No	
row_75	Rgmb	1768	-0.5939331650733948	-0.1165973	No	
row_76	Rusc1	1780	-0.5971248149871826	-0.116597764	No	
row_77	Traf3ip2	1798	-0.5994507670402527	-0.11790176	No	
row_78	Tmem161a	1810	-0.602763295173645	-0.11787949	No	
row_79	Tmed5	1831	-0.6054661870002747	-0.11981569	No	
row_80	Eif3f	1833	-0.6057920455932617	-0.117593035	No	
row_81	Snx17	1836	-0.6065322756767273	-0.115586214	No	
row_82	Gga1	1882	-0.6163231134414673	-0.12294912	No	
row_83	Sap18	1885	-0.6165164709091187	-0.12090207	No	
row_84	AW209491	1889	-0.6168384552001953	-0.11907253	No	
row_85	Dnaja1	1926	-0.6222143173217773	-0.124442324	No	
row_86	Eml2	1930	-0.6229762434959412	-0.12258805	No	
row_87	Rad23a	1946	-0.6259302496910095	-0.12334769	No	
row_88	Qdpr	1949	-0.6268012523651123	-0.121259175	No	
row_89	Mpst	1962	-0.6290895938873291	-0.12134963	No	
row_90	Pak1	1990	-0.6342839002609253	-0.12470142	No	
row_91	Ppp1r35	2003	-0.6367834806442261	-0.124760866	No	
row_92	Cracr2b	2009	-0.6374779939651489	-0.12328578	No	
row_93	Csnk1g2	2018	-0.6386883854866028	-0.12246227	No	
row_94	Itpk1	2025	-0.6395019292831421	-0.12119785	No	
row_95	Snx15	2038	-0.6415757536888123	-0.12123798	No	
row_96	Tfg	2048	-0.6431573629379272	-0.12061527	No	
row_97	Traf4	2080	-0.649853527545929	-0.1247796	No	
row_98	Mtfr1	2086	-0.6508336067199707	-0.123250686	No	
row_99	Tmbim6	2111	-0.6554567813873291	-0.12586069	No	
row_100	Raly	2113	-0.6556001305580139	-0.12343729	No	
row_101	Farsb	2115	-0.6558279991149902	-0.12101298	No	
row_102	Ivd	2126	-0.6583166122436523	-0.120548	No	
row_103	Ei24	2132	-0.6595215201377869	-0.11898408	No	
row_104	Ubl7	2146	-0.6618456244468689	-0.11916133	No	
row_105	Txn2	2163	-0.6638984680175781	-0.11998677	No	
row_106	Eif2a	2172	-0.6651505827903748	-0.11905661	No	
row_107	Polr3d	2182	-0.6664271354675293	-0.11834013	No	
row_108	Tex261	2206	-0.6721242666244507	-0.12066414	No	
row_109	Keap1	2212	-0.67340087890625	-0.11904428	No	
row_110	Prpf19	2264	-0.6827760934829712	-0.12745228	No	
row_111	Dus1l	2267	-0.6831421852111816	-0.1251367	No	
row_112	2410002F23Rik	2280	-0.684569239616394	-0.12500356	No	
row_113	Gnptg	2327	-0.6940721273422241	-0.13227195	No	
row_114	Hnrnpd	2328	-0.6942314505577087	-0.12947404	No	
row_115	Sil1	2329	-0.6943172216415405	-0.12667578	No	
row_116	Rnf44	2367	-0.699990451335907	-0.13195094	No	
row_117	Psmd3	2373	-0.7005397081375122	-0.13022171	No	
row_118	Pcnp	2376	-0.7010573744773865	-0.12783393	No	
row_119	2610528J11Rik	2396	-0.7050907611846924	-0.12914981	No	
row_120	Tmem39a	2405	-0.7066683173179626	-0.12805232	No	
row_121	Klhl22	2421	-0.7103978395462036	-0.12847154	No	
row_122	Snx1	2431	-0.713219165802002	-0.12756649	No	
row_123	Klf16	2435	-0.7143247723579407	-0.12534405	No	
row_124	Pnkp	2454	-0.718054473400116	-0.12638886	No	
