NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Spp1	69	4.139118194580078	0.019799214	Yes	
row_1	Ctsl	76	4.06423807144165	0.05225979	Yes	
row_2	Ccl9	82	3.943756580352783	0.08393144	Yes	
row_3	S100a8	93	3.7879698276519775	0.11325616	Yes	
row_4	S100a9	110	3.6243386268615723	0.13995802	Yes	
row_5	Ctsk	111	3.6155757904052734	0.16996056	Yes	
row_6	Trem2	140	3.156430244445801	0.1902496	Yes	
row_7	Lpl	149	3.043780565261841	0.21382062	Yes	
row_8	Cybb	173	2.8047313690185547	0.23224542	Yes	
row_9	Tyrobp	181	2.731733798980713	0.25343785	Yes	
row_10	Srgn	185	2.7151243686676025	0.27533582	Yes	
row_11	Cd274	213	2.480844497680664	0.2902296	Yes	
row_12	Scd1	215	2.463939905166626	0.3104649	Yes	
row_13	Slpi	220	2.438925266265869	0.32986006	Yes	
row_14	Il1b	240	2.3511602878570557	0.3453644	Yes	
row_15	Wfdc17	241	2.336684465408325	0.36475453	Yes	
row_16	Ctss	247	2.317308187484741	0.38292968	Yes	
row_17	S100a10	263	2.2634570598602295	0.39854962	Yes	
row_18	Fcer1g	272	2.2351198196411133	0.41541025	Yes	
row_19	Ctsb	288	2.1389875411987305	0.4299973	Yes	
row_20	Pirb	330	1.9645235538482666	0.43765485	Yes	
row_21	Cd52	332	1.9633485078811646	0.45373616	Yes	
row_22	S100a4	353	1.8670395612716675	0.46501237	Yes	
row_23	Hexb	384	1.7422534227371216	0.4731447	Yes	
row_24	Apoc1	386	1.7386422157287598	0.48736137	Yes	
row_25	Fcgr4	405	1.6721467971801758	0.497442	Yes	
row_26	Msn	419	1.6279895305633545	0.5082104	Yes	
row_27	Lgals3	447	1.559150218963623	0.51545584	Yes	
row_28	C3	474	1.5019831657409668	0.52243775	Yes	
row_29	Apoe	490	1.4751174449920654	0.5315159	Yes	
row_30	Pycard	499	1.4494993686676025	0.54185736	Yes	
row_31	Psap	510	1.414933681488037	0.5514903	Yes	
row_32	Creg1	533	1.3688734769821167	0.55821097	Yes	
row_33	Emp3	537	1.364911675453186	0.5689047	Yes	
row_34	Prdx5	601	1.1977466344833374	0.565561	Yes	
row_35	Timp2	607	1.1888809204101562	0.57437235	Yes	
row_36	Sat1	614	1.1801872253417969	0.58290064	Yes	
row_37	Rtn4	726	0.9707967042922974	0.5675536	Yes	
row_38	Blvrb	731	0.9623467326164246	0.5746959	Yes	
row_39	Csf1r	747	0.94162917137146	0.57934713	Yes	
row_40	H2-Ab1	778	0.8949776887893677	0.5804486	Yes	
row_41	B2m	794	0.8757144212722778	0.5845529	Yes	
row_42	Cd74	811	0.8564395904541016	0.58828634	Yes	
row_43	Npc2	822	0.8413428068161011	0.59315956	Yes	
row_44	Uba52	896	0.7616032958030701	0.5840883	Yes	
row_45	Fabp4	914	0.7465909123420715	0.5866994	Yes	
row_46	Dynll1	941	0.7165483832359314	0.5871637	Yes	
row_47	Ier3	967	0.6908747553825378	0.58762574	Yes	
row_48	Pkm	970	0.685727059841156	0.5928943	Yes	
row_49	H2-Eb1	976	0.6807833909988403	0.59748936	Yes	
row_50	Igf1	978	0.6739164590835571	0.60287076	Yes	
row_51	H2-D1	1021	0.6317551136016846	0.599258	Yes	
row_52	Pgk1	1029	0.6241614818572998	0.60296154	Yes	
row_53	Litaf	1060	0.5990500450134277	0.6016074	Yes	
row_54	Psmb8	1067	0.5894331336021423	0.6052336	Yes	
row_55	Ahnak	1090	0.565001904964447	0.6052836	Yes	
row_56	Grcc10	1270	-0.5151659846305847	0.5718187	No	
row_57	Mgst1	1519	-0.553851842880249	0.52412707	No	
row_58	Chpt1	1556	-0.5612034201622009	0.52119386	No	
row_59	Micos13	1804	-0.601001501083374	0.47410434	No	
row_60	Calm1	1839	-0.6073464751243591	0.4719757	No	
row_61	Pnrc1	1935	-0.6236505508422852	0.45712134	No	
row_62	Aldh2	2388	-0.7038428783416748	0.3676636	No	
row_63	Krtcap2	2586	-0.7444137334823608	0.33230594	No	
row_64	Sod1	2688	-0.765213668346405	0.31736124	No	
row_65	Ly6e	2739	-0.7752938866615295	0.3132529	No	
row_66	S100a1	3077	-0.8638815879821777	0.24936943	No	
row_67	Cd2ap	3167	-0.8894995450973511	0.23798612	No	
row_68	Uqcc3	3246	-0.9139209389686584	0.22912467	No	
row_69	S100a6	3412	-0.9663337469100952	0.20235533	No	
row_70	Ggh	3487	-0.9924321174621582	0.19498873	No	
row_71	Tanc2	3785	-1.119338870048523	0.14165856	No	
row_72	Serpinb6a	3957	-1.2193636894226074	0.11572387	No	
row_73	Foxp1	4122	-1.350441336631775	0.09235275	No	
row_74	Gstm1	4200	-1.4097791910171509	0.087816834	No	
row_75	Alcam	4291	-1.495877742767334	0.0812545	No	
row_76	Cmbl	4433	-1.707301378250122	0.0656939	No	
row_77	Cd24a	4541	-1.890692114830017	0.058823556	No	
