NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Ctsl	76	4.06423807144165	0.014639739	Yes	
row_1	Ccl9	82	3.943756580352783	0.043413628	Yes	
row_2	Tnfaip2	83	3.933353900909424	0.073168375	Yes	
row_3	S100a8	93	3.7879698276519775	0.09991614	Yes	
row_4	S100a9	110	3.6243386268615723	0.12394272	Yes	
row_5	Clec4d	131	3.2539992332458496	0.14432015	Yes	
row_6	Trem2	140	3.156430244445801	0.1665024	Yes	
row_7	Cybb	173	2.8047313690185547	0.18093832	Yes	
row_8	Csf2rb	176	2.7656092643737793	0.20143558	Yes	
row_9	Fermt3	193	2.6421658992767334	0.21803229	Yes	
row_10	Slpi	220	2.438925266265869	0.23097244	Yes	
row_11	Il1b	240	2.3511602878570557	0.24473205	Yes	
row_12	Wfdc17	241	2.336684465408325	0.26240844	Yes	
row_13	Plek	252	2.3029944896698	0.27771086	Yes	
row_14	S100a10	263	2.2634570598602295	0.29271418	Yes	
row_15	Ctsd	274	2.219188690185547	0.30738264	Yes	
row_16	Ly6a	278	2.197474718093872	0.32337022	Yes	
row_17	Fth1	289	2.129265069961548	0.33735842	Yes	
row_18	Mif	323	1.9909502267837524	0.3454264	Yes	
row_19	Pirb	330	1.9645235538482666	0.35901603	Yes	
row_20	Cd52	332	1.9633485078811646	0.37365633	Yes	
row_21	Bcl2a1b	349	1.8761457204818726	0.3844583	Yes	
row_22	Hp	388	1.735751986503601	0.38953623	Yes	
row_23	Lgals1	400	1.6844379901885986	0.39994755	Yes	
row_24	Fcgr4	405	1.6721467971801758	0.41174924	Yes	
row_25	Ifitm1	427	1.6187670230865479	0.41954467	Yes	
row_26	Lgals3	447	1.559150218963623	0.42731294	Yes	
row_27	Fam111a	455	1.5401915311813354	0.4374807	Yes	
row_28	Syk	459	1.5314842462539673	0.44843024	Yes	
row_29	C3	474	1.5019831657409668	0.45682558	Yes	
row_30	Emb	484	1.4879051446914673	0.466174	Yes	
row_31	Apoe	490	1.4751174449920654	0.4762733	Yes	
row_32	Pycard	499	1.4494993686676025	0.4855431	Yes	
row_33	Creg1	533	1.3688734769821167	0.48890525	Yes	
row_34	Acp5	536	1.365546464920044	0.49881142	Yes	
row_35	Esd	579	1.2534757852554321	0.49939343	Yes	
row_36	Cstb	587	1.2294069528579712	0.5072102	Yes	
row_37	Hck	700	1.0045362710952759	0.49107537	No	
row_38	Blvrb	731	0.9623467326164246	0.491998	No	
row_39	Txn1	743	0.9442817568778992	0.49681023	No	
row_40	Prelid1	751	0.9316416382789612	0.5023745	No	
