NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Cybb	173	2.8047313690185547	0.058794998	Yes	
row_1	Pla2g7	195	2.598666191101074	0.14227083	Yes	
row_2	Slpi	220	2.438925266265869	0.219722	Yes	
row_3	Il1b	240	2.3511602878570557	0.2952473	Yes	
row_4	Fcer1g	272	2.2351198196411133	0.3643514	Yes	
row_5	Ly6a	278	2.197474718093872	0.43759617	Yes	
row_6	Fth1	289	2.129265069961548	0.5074941	Yes	
row_7	Cd52	332	1.9633485078811646	0.5651207	Yes	
row_8	Hp	388	1.735751986503601	0.61234677	Yes	
row_9	Fcgr4	405	1.6721467971801758	0.66554254	Yes	
row_10	Apoe	490	1.4751174449920654	0.69791996	Yes	
row_11	Txn1	743	0.9442817568778992	0.67737424	Yes	
row_12	H2-Ab1	778	0.8949776887893677	0.70055014	Yes	
row_13	Cd74	811	0.8564395904541016	0.72283965	Yes	
row_14	H2-Eb1	976	0.6807833909988403	0.71170825	No	
row_15	Cfh	1075	0.5779787302017212	0.7108429	No	
row_16	Filip1l	2887	-0.8123729825019836	0.36124927	No	
row_17	Rel	3944	-1.2128139734268188	0.18238595	No	
