NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	S100a8	93	3.7879698276519775	0.06332835	Yes	
row_1	S100a9	110	3.6243386268615723	0.13914798	Yes	
row_2	Tyrobp	181	2.731733798980713	0.18420613	Yes	
row_3	Ccl6	187	2.6946818828582764	0.2420165	Yes	
row_4	Slpi	220	2.438925266265869	0.28860775	Yes	
row_5	Spi1	250	2.308957815170288	0.33298635	Yes	
row_6	Orm1	262	2.265390157699585	0.38016888	Yes	
row_7	Fcer1g	272	2.2351198196411133	0.42710757	Yes	
row_8	Lcn2	283	2.1627819538116455	0.4722577	Yes	
row_9	Cd52	332	1.9633485078811646	0.50512385	Yes	
row_10	Pglyrp1	345	1.8943850994110107	0.5439948	Yes	
row_11	Hp	388	1.735751986503601	0.57314193	Yes	
row_12	Lgals3	447	1.559150218963623	0.5950937	Yes	
row_13	Fxyd5	489	1.4756077527999878	0.6187678	Yes	
row_14	Alox5ap	500	1.4450299739837646	0.6482418	Yes	
row_15	Emp3	537	1.364911675453186	0.67054135	Yes	
row_16	Coro1a	546	1.3403804302215576	0.698147	Yes	
row_17	Prdx5	601	1.1977466344833374	0.7130401	Yes	
row_18	B2m	794	0.8757144212722778	0.69210786	No	
row_19	Pkm	970	0.685727059841156	0.670573	No	
row_20	H2-D1	1021	0.6317551136016846	0.67393905	No	
row_21	Lsp1	1023	0.6293749809265137	0.68747634	No	
row_22	Tmsb4x	1258	-0.5139609575271606	0.6498804	No	
row_23	Cebpd	1668	-0.5783239603042603	0.5771786	No	
row_24	Calm1	1839	-0.6073464751243591	0.55497503	No	
row_25	Lrg1	2920	-0.8174974918365479	0.34750107	No	
row_26	S100a6	3412	-0.9663337469100952	0.26616535	No	
row_27	Gmfg	4007	-1.2539782524108887	0.16962229	No	
