NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	S100a8	93	3.7879698276519775	0.03806177	Yes	
row_1	S100a9	110	3.6243386268615723	0.08975408	Yes	
row_2	Cybb	173	2.8047313690185547	0.11937198	Yes	
row_3	Tyrobp	181	2.731733798980713	0.15939239	Yes	
row_4	Anxa1	218	2.455256223678589	0.1891446	Yes	
row_5	Slpi	220	2.438925266265869	0.22597402	Yes	
row_6	Spi1	250	2.308957815170288	0.2549695	Yes	
row_7	Lyz1	254	2.3007519245147705	0.289282	Yes	
row_8	Orm1	262	2.265390157699585	0.32222027	Yes	
row_9	Ltf	264	2.2497050762176514	0.3561761	Yes	
row_10	Fcer1g	272	2.2351198196411133	0.3886547	Yes	
row_11	Lcn2	283	2.1627819538116455	0.41940686	Yes	
row_12	Fth1	289	2.129265069961548	0.45069647	Yes	
row_13	Cd52	332	1.9633485078811646	0.47172254	Yes	
row_14	Pglyrp1	345	1.8943850994110107	0.4979801	Yes	
row_15	Gpsm3	360	1.8541194200515747	0.5232076	Yes	
row_16	Hp	388	1.735751986503601	0.54391664	Yes	
row_17	Lgals3	447	1.559150218963623	0.55545574	Yes	
row_18	AA467197	452	1.544142484664917	0.5780687	Yes	
row_19	Fxyd5	489	1.4756077527999878	0.59294343	Yes	
row_20	Apoe	490	1.4751174449920654	0.6153453	Yes	
row_21	Alox5ap	500	1.4450299739837646	0.6354066	Yes	
row_22	Emp3	537	1.364911675453186	0.6486003	Yes	
row_23	Prdx5	601	1.1977466344833374	0.65360445	Yes	
row_24	Arhgdib	672	1.04845130443573	0.65487623	Yes	
row_25	Spc25	673	1.047394871711731	0.6707825	Yes	
row_26	Cks2	729	0.9673761129379272	0.6739625	Yes	
row_27	Blvrb	731	0.9623467326164246	0.68836784	Yes	
row_28	Cdca3	749	0.9320593476295471	0.6989646	Yes	
row_29	Cdk1	820	0.8424779772758484	0.6971084	Yes	
row_30	1810037I17Rik	857	0.8104421496391296	0.70188165	Yes	
row_31	Nusap1	907	0.7520626783370972	0.7030475	Yes	
row_32	Cdca8	929	0.7219634056091309	0.7096164	Yes	
row_33	Rgcc	943	0.7125529646873474	0.7177168	Yes	
row_34	H2-Eb1	976	0.6807833909988403	0.7213582	Yes	
row_35	Msrb1	982	0.6692854166030884	0.7304758	Yes	
row_36	Grina	1115	0.5428912043571472	0.7110938	No	
row_37	Car2	1171	-0.5004264116287231	0.7071824	No	
row_38	Pgp	1217	-0.5081010460853577	0.7054805	No	
row_39	Cebpd	1668	-0.5783239603042603	0.6200816	No	
row_40	Bsg	2764	-0.7829715013504028	0.4027968	No	
row_41	Lrg1	2920	-0.8174974918365479	0.38277137	No	
row_42	S100a6	3412	-0.9663337469100952	0.29468393	No	
