NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	S100a8	93	3.7879698276519775	0.037247803	Yes	
row_1	S100a9	110	3.6243386268615723	0.088158116	Yes	
row_2	Itgb2	158	2.9367053508758545	0.122287475	Yes	
row_3	Tyrobp	181	2.731733798980713	0.15857953	Yes	
row_4	Ccl6	187	2.6946818828582764	0.19787411	Yes	
row_5	Anxa1	218	2.455256223678589	0.22835316	Yes	
row_6	Slpi	220	2.438925266265869	0.26465592	Yes	
row_7	Lyz1	254	2.3007519245147705	0.2921942	Yes	
row_8	Ltf	264	2.2497050762176514	0.32399026	Yes	
row_9	Ly6a	278	2.197474718093872	0.3541674	Yes	
row_10	Lcn2	283	2.1627819538116455	0.3857084	Yes	
row_11	Ctsb	288	2.1389875411987305	0.4168932	Yes	
row_12	Cd52	332	1.9633485078811646	0.43728787	Yes	
row_13	Pglyrp1	345	1.8943850994110107	0.46313685	Yes	
row_14	Bcl2a1b	349	1.8761457204818726	0.49059603	Yes	
row_15	S100a4	353	1.8670395612716675	0.5179189	Yes	
row_16	Gpsm3	360	1.8541194200515747	0.54442054	Yes	
row_17	Hp	388	1.735751986503601	0.5647559	Yes	
row_18	Lgals3	447	1.559150218963623	0.5759608	Yes	
row_19	Alox5ap	500	1.4450299739837646	0.5867128	Yes	
row_20	Slfn2	544	1.3419831991195679	0.59780526	Yes	
row_21	Vsir	576	1.2605948448181152	0.61019033	Yes	
row_22	Prdx5	601	1.1977466344833374	0.62309927	Yes	
row_23	Sat1	614	1.1801872253417969	0.6382563	Yes	
row_24	H2-Ab1	778	0.8949776887893677	0.6175471	Yes	
row_25	B2m	794	0.8757144212722778	0.62751824	Yes	
row_26	Cd74	811	0.8564395904541016	0.6369916	Yes	
row_27	Ostf1	871	0.7994556427001953	0.63661426	Yes	
row_28	H2-Eb1	976	0.6807833909988403	0.62504405	Yes	
row_29	Msrb1	982	0.6692854166030884	0.63401735	Yes	
row_30	H2-D1	1021	0.6317551136016846	0.6355236	Yes	
row_31	Lsp1	1023	0.6293749809265137	0.64473647	Yes	
row_32	Grina	1115	0.5428912043571472	0.6338222	No	
row_33	Tmsb4x	1258	-0.5139609575271606	0.6118031	No	
row_34	Tmbim6	2111	-0.6554567813873291	0.44333568	No	
row_35	Shisa5	2493	-0.7272042632102966	0.37449855	No	
row_36	Itm2c	2893	-0.8129000067710876	0.3031778	No	
row_37	Vasp	3174	-0.8914675712585449	0.2579339	No	
row_38	S100a6	3412	-0.9663337469100952	0.22280847	No	
row_39	Cd82	3518	-1.004255771636963	0.21587159	No	
row_40	4930523C07Rik	4528	-1.8601261377334595	0.03258664	No	
row_41	Cd24a	4541	-1.890692114830017	0.05838033	No	
