NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	S100a8	93	3.7879698276519775	0.082720526	Yes	
row_1	S100a9	110	3.6243386268615723	0.1770661	Yes	
row_2	Dmkn	112	3.6020243167877197	0.273934	Yes	
row_3	Tyrobp	181	2.731733798980713	0.33339465	Yes	
row_4	Ccl6	187	2.6946818828582764	0.40497628	Yes	
row_5	Slpi	220	2.438925266265869	0.4640425	Yes	
row_6	Ltf	264	2.2497050762176514	0.51571846	Yes	
row_7	Fcer1g	272	2.2351198196411133	0.5744982	Yes	
row_8	Lcn2	283	2.1627819538116455	0.6307036	Yes	
row_9	Cd52	332	1.9633485078811646	0.67362094	Yes	
row_10	Pglyrp1	345	1.8943850994110107	0.7221765	Yes	
row_11	Lgals3	447	1.559150218963623	0.74316335	Yes	
row_12	Fxyd5	489	1.4756077527999878	0.7743935	Yes	
row_13	Cd74	811	0.8564395904541016	0.7306278	No	
row_14	H2-D1	1021	0.6317551136016846	0.70413035	No	
row_15	Atp6v1g1	1116	0.5427803993225098	0.69918334	No	
row_16	Lrg1	2920	-0.8174974918365479	0.3457467	No	
row_17	Son	3098	-0.8705678582191467	0.33234924	No	
row_18	S100a6	3412	-0.9663337469100952	0.2932112	No	
