NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Ctsl	76	4.06423807144165	0.060043577	Yes	
row_1	S100a8	93	3.7879698276519775	0.12744845	Yes	
row_2	S100a9	110	3.6243386268615723	0.19179738	Yes	
row_3	Dmkn	112	3.6020243167877197	0.25885975	Yes	
row_4	Trem2	140	3.156430244445801	0.3121746	Yes	
row_5	Srgn	185	2.7151243686676025	0.3537	Yes	
row_6	Wfdc17	241	2.336684465408325	0.38586226	Yes	
row_7	Spi1	250	2.308957815170288	0.4273147	Yes	
row_8	Ltf	264	2.2497050762176514	0.46661714	Yes	
row_9	Gngt2	273	2.2347705364227295	0.50668406	Yes	
row_10	Lcn2	283	2.1627819538116455	0.54519784	Yes	
row_11	Fth1	289	2.129265069961548	0.5839204	Yes	
row_12	Pim1	319	2.0113155841827393	0.6154318	Yes	
row_13	Mif	323	1.9909502267837524	0.65198857	Yes	
row_14	Pglyrp1	345	1.8943850994110107	0.6829856	Yes	
row_15	Hp	388	1.735751986503601	0.70663774	Yes	
row_16	Apoe	490	1.4751174449920654	0.7131101	Yes	
row_17	Pycard	499	1.4494993686676025	0.7385114	Yes	
row_18	H2-Ab1	778	0.8949776887893677	0.6972126	No	
row_19	Cd74	811	0.8564395904541016	0.70652956	No	
row_20	Psmb8	1067	0.5894331336021423	0.66432405	No	
row_21	Nupr1	1092	0.5623257160186768	0.6698176	No	
row_22	Ptpn1	1126	0.5341338515281677	0.67290664	No	
row_23	Tmem176a	1324	-0.5217586755752563	0.64154077	No	
row_24	Tmem176b	1326	-0.522173285484314	0.6510841	No	
row_25	Calm1	1839	-0.6073464751243591	0.5555821	No	
row_26	Selenos	2616	-0.7518745064735413	0.40768752	No	
row_27	Cirbp	3148	-0.8844494819641113	0.31339574	No	
row_28	Cd24a	4541	-1.890692114830017	0.058222	No	
